mjd,mag,mag_err,UL,filter,detected
58829.642381,19.7639,,True,orange,0
58850.52,20.98,,True,r,0
58850.55,21.62,,True,g,0
58852.57,21.6,,True,r,0
58853.53,21.7,,True,g,0
58856.56,21.73,,True,g,0
58856.57,21.19,,True,r,0
58859.5,20.82,,True,r,0
58863.45,20.63,,True,g,0
58869.526289,20.1085,,True,orange,0
58871.581094,20.585,,True,cyan,0
58872.45,21.39,,True,g,0
58872.56,21.14,,True,r,0
58873.642452,19.8683,,True,orange,0
58875.46,21.56,,True,g,0
58875.53,21.43,,True,r,0
58877.65451,19.8745,,True,orange,0
58878.53,21.4,,True,g,0
58878.56,20.97,,True,r,0
58881.51,21.76,,True,g,0
58881.659231,19.8399,,True,orange,0
58883.610163,19.9383,,True,cyan,0
58884.48,21.15,,True,g,0
58885.612979,19.9687,,True,orange,0
58887.48,20.93,,True,g,0
58887.53,21.13,,True,r,0
58890.46,20.22,,True,r,0
58890.56,20.06,,True,g,0
58893.5,21.18,,True,g,0
58895.5,21.39,,True,r,0
58898.44,21.91,,True,g,0
58901.567244,19.8764,,True,orange,0
58903.409584,20.0023,,True,cyan,0
58903.5,21.83,,True,r,0
58905.626421,20.203,,True,orange,0
58906.48,20.95,,True,r,0
58906.54,20.98,,True,g,0
58906.552348,19.1346,,True,orange,0
58911.43,21.65,,True,g,0
58911.48,21.17,,True,r,0
58911.565417,20.2413,,True,cyan,0
58913.592812,19.817,,True,orange,0
58914.51,21.83,,True,r,0
58917.539349,19.9108,,True,orange,0
58925.607489,19.5719,,True,orange,0
58931.580249,19.3236,0.1155,False,cyan,1
58933.530095,19.1751,0.1418,False,orange,1
58936.45,18.87,0.03,False,r,1
58936.47,18.64,0.02,False,g,1
58937.559143,18.8433,0.1032,False,orange,1
58939.45,18.47,0.07,False,g,1
58940.46,18.77,0.17,False,r,1
58941.35,18.56,0.11,False,r,1
58941.42,18.67,0.03,False,r,1
58941.48,18.53,0.03,False,g,1
58941.491,18.6196,0.1467,False,orange,1
58943.42,18.42,0.03,False,g,1
58943.516837,18.7244,0.1401,False,orange,1
58944.38,18.55,0.05,False,r,1
58944.47,18.42,0.04,False,g,1
58945.513525,18.8891,0.1909,False,orange,1
58947.537094,18.9475,0.1914,False,orange,1
58948.457511,18.6364,0.1257,False,orange,1
58951.507811,18.5851,0.1001,False,orange,1
58951.569004,18.5608,0.14,False,i,1
58953.506629,18.7321,0.1049,False,orange,1
58954.34,18.81,0.05,False,i,1
58954.38,18.55,0.03,False,g,1
58954.46,18.7,0.04,False,r,1
58955.4,18.61,0.03,False,g,1
58955.42,18.66,0.03,False,r,1
58956.31,18.59,0.03,False,r,1
58956.32,18.68,0.03,False,r,1
58956.36,18.57,0.04,False,g,1
58956.36,18.58,0.04,False,g,1
58956.38,18.58,0.02,False,g,1
58957.575512,18.7903,0.1013,False,orange,1
58959.566252,18.6449,0.0651,False,cyan,1
58961.41,18.81,0.04,False,r,1
58961.41,18.83,0.05,False,r,1
58961.43,18.89,0.05,False,r,1
58961.474721,18.9464,0.1156,False,orange,1
58962.31,18.86,0.03,False,r,1
58962.32,18.87,0.04,False,r,1
58962.32,18.89,0.04,False,r,1
58962.36,18.85,0.04,False,g,1
58962.36,18.87,0.03,False,g,1
58962.39,19.01,0.06,False,i,1
58962.4,18.91,0.06,False,i,1
58963.28,18.92,0.03,False,g,1
58963.3,18.88,0.03,False,g,1
58963.3,18.92,0.03,False,g,1
58963.33,18.9,0.03,False,g,1
58963.34,18.96,0.03,False,g,1
58963.36,18.93,0.03,False,g,1
58963.36,18.91,0.09,False,g,1
58963.36,18.92,0.03,False,g,1
58964.26,18.94,0.04,False,r,1
58964.28,18.95,0.04,False,r,1
58964.28,18.97,0.04,False,r,1
58964.28,18.99,0.09,False,r,1
58964.31,19.07,0.06,False,i,1
58964.33,18.97,0.06,False,i,1
58964.34,19.01,0.03,False,g,1
58964.34,19.06,0.04,False,g,1
58964.38,18.95,0.03,False,g,1
58965.26,19.05,0.03,False,g,1
58965.26,19.06,0.04,False,g,1
58965.3,18.99,0.03,False,r,1
58965.31,18.99,0.04,False,r,1
58965.32,18.94,0.04,False,r,1
58965.37,19.12,0.06,False,i,1
58965.39,19.08,0.06,False,i,1
58965.402264,19.1965,0.1512,False,orange,1
58965.41,19.03,0.04,False,g,1
58966.27,19.11,0.07,False,g,1
58966.33,19.18,,True,i,0
58966.34,18.97,0.05,False,r,1
58966.37,19.01,0.03,False,r,1
58966.37,19.01,0.04,False,r,1
58966.4,19.16,0.04,False,g,1
58966.42,19.08,0.03,False,g,1
58967.28,19.2,0.04,False,g,1
58967.29,19.26,0.04,False,g,1
58967.3,19.02,0.06,False,i,1
58967.32,19.19,0.07,False,i,1
58967.34,19.13,0.04,False,r,1
58967.479366,19.1657,0.1019,False,cyan,1
58968.12,19.14,0.06,False,i,1
58968.12,19.14,0.07,False,r,1
58968.12,19.22,0.11,False,z,1
58968.12,19.29,0.05,False,g,1
58968.12,20.67,0.18,False,u,1
58968.29,19.25,0.04,False,g,1
58968.29,19.32,0.04,False,g,1
58968.31,19.26,0.04,False,g,1
58968.31,19.26,0.04,False,g,1
58968.32,19.23,0.07,False,i,1
58968.35,19.1,0.06,False,i,1
58968.38,19.09,0.03,False,r,1
58968.38,19.09,0.04,False,r,1
58968.41,19.17,0.04,False,r,1
58969.25,19.2,0.12,False,i,1
58969.3,18.96,0.06,False,r,1
58969.39,19.48,0.12,False,g,1
58969.543815,19.1713,0.1496,False,orange,1
58970.28,19.42,0.06,False,g,1
58970.28,19.45,0.06,False,g,1
58970.31,19.55,0.07,False,g,1
58970.32,19.08,0.07,False,i,1
58970.33,19.09,0.07,False,i,1
58970.36,19.22,0.05,False,r,1
58970.39,19.23,0.04,False,r,1
58970.39,19.24,0.04,False,r,1
58971.31,19.5,0.08,False,g,1
58971.33,19.29,0.09,False,i,1
58971.33,19.34,0.11,False,i,1
58971.36,19.21,0.05,False,r,1
58971.38,19.15,0.05,False,r,1
58971.38,19.25,0.06,False,r,1
58971.45286,19.3156,0.1779,False,orange,1
58972.26,19.7,0.12,False,g,1
58972.28,19.74,0.1,False,g,1
58972.29,19.12,0.09,False,i,1
58972.29,19.55,0.09,False,g,1
58972.35,19.25,0.09,False,i,1
58972.38,19.32,0.07,False,r,1
58973.23,19.82,0.15,False,g,1
58973.27,19.67,0.12,False,g,1
58973.27,19.92,0.18,False,g,1
58973.31,19.21,0.07,False,r,1
58973.31,19.29,0.07,False,r,1
58973.32,19.38,0.09,False,r,1
58973.388544,19.2358,0.17,False,orange,1
58973.39,19.47,0.13,False,i,1
58973.41,19.22,0.1,False,i,1
58974.28,19.43,0.1,False,r,1
58974.3,19.55,0.11,False,r,1
58974.45,19.66,0.16,False,g,1
58975.25,19.75,0.18,False,g,1
58975.27,19.87,0.26,False,g,1
58975.378552,19.4501,0.2635,False,orange,1
58975.38,19.37,0.11,False,r,1
58976.2,20.27,,True,g,0
58976.3,19.41,0.12,False,r,1
58976.3,19.67,0.19,False,r,1
58977.27,19.58,0.17,False,r,1
58977.51604,19.1428,,True,orange,0
58978.2,19.85,0.1,False,g,1
58978.27,19.42,0.09,False,r,1
58979.24,20.11,0.11,False,g,1
58979.475408,19.0787,,True,orange,0
58980.23,20.21,0.07,False,g,1
58981.25,19.77,0.07,False,r,1
58981.421115,19.8303,0.2693,False,orange,1
58983.45,19.72,0.12,False,r,1
58983.48905,19.6879,0.2456,False,orange,1
58984.404708,20.5376,0.3498,False,cyan,1
58985.28,20.0,0.08,False,r,1
58985.3,20.67,0.13,False,g,1
58985.418453,19.9534,0.2807,False,orange,1
58987.438947,20.2899,0.2842,False,cyan,1
58989.424557,20.0701,0.3216,False,orange,1
58991.23,20.31,0.09,False,r,1
58991.3,20.81,0.15,False,g,1
58993.455203,19.1482,,True,orange,0
58994.25,21.13,0.19,False,g,1
58994.29,20.34,0.09,False,r,1
58995.438026,19.7705,,True,cyan,0
58997.23,20.88,0.16,False,g,1
58997.29,20.36,0.11,False,r,1
58999.363527,20.1211,0.3453,False,orange,1
59001.384659,19.5547,,True,orange,0
59003.402438,19.4194,,True,orange,0
59005.347343,19.2595,,True,orange,0
59007.350823,19.3454,,True,orange,0
59009.3776,19.243,,True,orange,0
59011.381617,19.8663,,True,cyan,0
59012.24,20.68,0.13,False,r,1
59013.409712,19.549,,True,orange,0
59016.2,21.39,0.25,False,g,1
59017.376545,19.5269,,True,orange,0
59019.21,20.92,0.16,False,r,1
59021.32782,19.8279,,True,orange,0
59022.22,20.97,0.15,False,r,1
59023.319317,20.2399,,True,cyan,0
59025.24,21.7,,True,g,0
59025.310798,19.8715,,True,orange,0
59027.32897,20.0391,,True,orange,0
59028.2,21.41,,True,g,0
59028.22,21.3,,True,r,0
59029.19,20.69,,True,g,0
59029.340871,19.4458,,True,orange,0
59031.18,20.84,,True,g,0
59031.22,20.95,,True,r,0
59031.331413,19.5066,,True,orange,0
59033.358552,19.9025,,True,orange,0
59034.2,20.83,,True,g,0
59034.32,20.8,,True,r,0
59035.23,20.57,,True,g,0
59035.3,20.51,,True,r,0
59035.352264,19.8879,,True,orange,0
59036.19,21.06,,True,g,0
59036.27,20.94,,True,r,0
59037.2,21.03,,True,r,0
59037.23,20.75,,True,g,0
59037.320979,19.7208,,True,orange,0
59038.2,21.56,,True,r,0
59038.26,21.15,,True,g,0
59039.2,21.91,,True,g,0
59039.23,21.87,,True,r,0
59039.325134,20.1188,,True,orange,0
59040.2,21.71,,True,r,0
59040.23,21.81,,True,g,0
59041.25,21.59,,True,r,0
59041.356185,20.0764,,True,orange,0
59042.2,21.72,,True,g,0
59042.22,21.55,,True,r,0
59043.2,21.8,,True,g,0
59043.24,21.66,,True,r,0
59043.423525,20.0343,,True,cyan,0
59044.22,21.55,,True,r,0
59045.24,21.81,,True,g,0
59046.2,21.57,,True,r,0
59046.23,21.73,,True,g,0
59047.22,21.72,,True,r,0
59047.337065,20.2875,,True,cyan,0
59048.2,21.67,,True,r,0
59048.26,21.54,,True,g,0
59049.17,21.48,,True,r,0
59049.19,21.76,,True,g,0
59051.342159,20.2719,,True,cyan,0
59055.289584,19.9423,,True,orange,0
59059.317168,19.7411,,True,orange,0
59061.292914,19.9484,,True,orange,0
59065.312855,19.7277,,True,orange,0
59069.26612,20.13,,True,orange,0
59071.259931,20.018,,True,cyan,0
59073.309202,20.1718,,True,orange,0
59075.295336,20.5419,,True,cyan,0
59077.295623,20.1918,,True,orange,0
59079.253962,20.4153,,True,cyan,0
59089.271475,20.0481,,True,orange,0
59097.25229,19.8815,,True,orange,0
59103.250836,20.4723,,True,cyan,0
59105.23766,19.266,,True,orange,0
59107.241718,20.3444,,True,cyan,0
59113.230796,19.3902,,True,orange,0
59115.229984,19.7965,,True,orange,0
59121.22081,19.6644,,True,orange,0
59184.644906,19.4743,,True,orange,0
59205.582662,20.3552,,True,cyan,0
59207.649945,20.2371,,True,cyan,0
59214.651771,19.7394,,True,orange,0
59216.654878,19.8439,,True,orange,0
59217.653691,20.0333,,True,orange,0
59221.646196,19.9309,,True,orange,0
59226.651667,19.9121,,True,cyan,0
59231.592833,20.5384,,True,cyan,0
59242.658751,19.8148,,True,orange,0
59245.564257,19.9117,,True,orange,0
59251.643851,20.1587,,True,orange,0
59253.57264,20.6063,,True,cyan,0
59255.568159,20.3399,,True,cyan,0
