mjd,mag,mag_err,UL,filter,detected
58830.57,20.13,inf,True,g,0
58835.55,20.49,inf,True,g,0
58850.52,20.71,inf,True,r,0
58850.56,21.22,inf,True,g,0
58853.54,21.41,inf,True,g,0
58856.53,21.96,inf,True,r,0
58856.55,21.41,inf,True,g,0
58856.58,20.86,inf,True,r,0
58859.5,20.51,inf,True,r,0
58863.44,20.37,inf,True,g,0
58872.45,21.13,inf,True,g,0
58872.56,21.07,inf,True,r,0
58875.5,21.38,inf,True,g,0
58875.53,21.25,inf,True,r,0
58878.53,21.15,inf,True,g,0
58878.56,20.9,inf,True,r,0
58881.51,20.48,0.15,False,g,1
58881.53,20.85,0.24,False,r,1
58884.46,20.54,0.26,False,g,1
58884.54,20.54,0.25,False,r,1
58887.54,20.07,0.15,False,r,1
58893.52,20.39,0.2,False,r,1
58898.46,20.17,0.09,False,g,1
58898.5,20.1,0.09,False,r,1
58903.5,19.92,0.09,False,r,1
58906.5,20.01,0.15,False,r,1
58906.54,20.03,0.15,False,g,1
58911.43,19.94,0.11,False,g,1
58911.48,19.8,0.11,False,r,1
58914.48,19.72,0.14,False,g,1
58914.51,19.78,0.08,False,r,1
58936.44,19.55,0.06,False,r,1
58936.47,19.67,0.08,False,g,1
58941.4,19.59,0.09,False,r,1
58941.4,19.6,0.15,False,r,1
58941.48,19.91,0.09,False,g,1
58942.564988,19.6202,0.09,False,w,1
58943.42,19.66,0.11,False,g,1
58943.47,19.57,0.1,False,r,1
58943.47,19.63,0.16,False,r,1
58954.35,19.63,0.13,False,i,1
58954.37,19.72,0.1,False,i,1
58954.46,19.74,0.11,False,r,1
58955.37,19.79,0.11,False,i,1
58955.4,19.92,0.09,False,g,1
58955.42,19.66,0.09,False,r,1
58955.42,19.69,0.16,False,r,1
58956.31,19.56,0.08,False,r,1
58956.31,19.59,0.12,False,r,1
58956.36,19.86,0.22,False,g,1
58956.43,19.13,inf,True,i,0
58959.58,19.573,inf,True,cyan,0
58960.532999,19.6202,0.02,False,w,1
58961.41,19.71,0.11,False,r,1
58961.458999,19.4337,0.123,False,orange,1
58962.31,19.59,0.07,False,r,1
58962.34,19.94,0.09,False,g,1
58962.39,19.6,0.19,False,i,1
58962.39,19.61,0.15,False,i,1
58962.39,19.67,0.11,False,i,1
58963.29,19.76,0.07,False,g,1
58963.29,19.84,0.14,False,g,1
58963.33,19.89,0.09,False,g,1
58964.29,19.58,0.07,False,r,1
58964.31,19.59,0.09,False,i,1
58965.26,19.84,0.08,False,g,1
58965.32,19.57,0.06,False,r,1
58965.37,19.64,0.09,False,i,1
58966.29,19.32,inf,True,i,0
58966.34,19.52,0.08,False,r,1
58966.42,19.98,0.09,False,g,1
58967.28,19.92,0.09,False,g,1
58967.31,19.87,0.13,False,i,1
58967.34,19.45,0.06,False,r,1
58968.33,19.59,0.09,False,i,1
58968.38,19.6,0.06,False,r,1
