mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58851.55,20.51,,True,g,AB,0,g,4671.78
58875.49,20.98,,True,g,AB,0,g,4671.78
58878.54,20.98,,True,g,AB,0,g,4671.78
58878.57,20.45,,True,r,AB,0,r,6120.65
58886.49,20.23,,True,g,AB,0,g,4671.78
58886.56,21.05,,True,r,AB,0,r,6120.65
58891.47,20.33,,True,g,AB,0,g,4671.78
58894.53,21.17,,True,r,AB,0,r,6120.65
58894.56,21.22,,True,g,AB,0,g,4671.78
58899.51,21.1,,True,r,AB,0,r,6120.65
58899.54,21.66,,True,g,AB,0,g,4671.78
58904.53,21.06,,True,r,AB,0,r,6120.65
58904.56,20.72,,True,g,AB,0,g,4671.78
58908.51,21.23,,True,r,AB,0,r,6120.65
58908.55,21.44,,True,g,AB,0,g,4671.78
58911.51,21.0,,True,r,AB,0,r,6120.65
58911.54,20.86,,True,g,AB,0,g,4671.78
58914.49,20.16,,True,g,AB,0,g,4671.78
58914.52,20.84,0.16,False,r,AB,1,r,6120.65
58936.49,20.52,0.14,False,g,AB,1,g,4671.78
58936.51,20.58,0.18,False,r,AB,1,r,6120.65
58936.52,20.47,0.16,False,r,AB,1,r,6120.65
58939.48,19.14,,True,g,AB,0,g,4671.78
58943.45,20.51,0.23,False,g,AB,1,g,4671.78
58943.49,20.35,0.14,False,r,AB,1,r,6120.65
58953.43,20.17,0.14,False,g,AB,1,g,4671.78
58953.45,20.21,0.18,False,r,AB,1,r,6120.65
58953.48,20.66,,True,i,AB,0,i,7829.03
58954.51,20.21,0.15,False,r,AB,1,r,6120.65
58956.47,20.16,0.2,False,g,AB,1,g,4671.78
58956.49,19.91,0.15,False,r,AB,1,r,6120.65
58956.5,20.1982,0.08,False,w,AB,1,w,5980.7
58961.44,20.23,0.16,False,r,AB,1,r,6120.65
58962.51,20.15,0.18,False,g,AB,1,g,4671.78
58964.39,20.15,0.09,False,g,AB,1,g,4671.78
58964.43,19.97,0.09,False,r,AB,1,r,6120.65
58967.41,20.07,0.1,False,r,AB,1,r,6120.65
58967.45,20.05,0.07,False,g,AB,1,g,4671.78
58970.41,20.04,0.1,False,r,AB,1,r,6120.65
58970.47,19.97,0.06,False,g,AB,1,g,4671.78
58973.37,20.01,0.14,False,r,AB,1,r,6120.65
58973.47,19.98,0.09,False,g,AB,1,g,4671.78
58976.37,20.53,,True,r,AB,0,r,6120.65
58978.14,19.72,0.1,False,r,AB,1,r,6120.65
58978.14,19.96,0.13,False,g,AB,1,g,4671.78
58978.14,19.99,0.12,False,i,AB,1,i,7829.03
58983.36,19.82,0.08,False,r,AB,1,r,6120.65
58985.41,19.79,0.07,False,r,AB,1,r,6120.65
58985.49,19.74,0.1,False,r,AB,1,r,6120.65
58986.39,19.74,0.06,False,g,AB,1,g,4671.78
58986.46,19.67,0.06,False,r,AB,1,r,6120.65
58986.617999,19.1273,,True,orange,AB,0,orange,
58987.35,19.75,0.07,False,r,AB,1,r,6120.65
58988.08,19.79,0.07,False,r,AB,1,r,6120.65
58988.08,19.83,0.06,False,g,AB,1,g,4671.78
58988.08,19.95,0.09,False,i,AB,1,i,7829.03
58988.455999,19.4284,0.133,False,cyan,AB,1,cyan,5182.42
58991.45,19.89,0.08,False,r,AB,1,r,6120.65
58992.34,19.8,0.06,False,g,AB,1,g,4671.78
58992.42,19.78,0.07,False,r,AB,1,r,6120.65
58992.42,19.81,0.16,False,r,AB,1,r,6120.65
58994.4,19.78,0.07,False,g,AB,1,g,4671.78
58995.32,19.86,0.08,False,g,AB,1,g,4671.78
58995.43,19.75,0.08,False,r,AB,1,r,6120.65
58996.31,19.73,0.06,False,r,AB,1,r,6120.65
58996.33,19.79,0.06,False,g,AB,1,g,4671.78
58997.39,19.83,0.06,False,g,AB,1,g,4671.78
58997.43,19.94,0.08,False,r,AB,1,r,6120.65
58998.33,19.77,0.07,False,r,AB,1,r,6120.65
58999.35,19.87,0.1,False,r,AB,1,r,6120.65
58999.4,19.82,0.08,False,g,AB,1,g,4671.78
59000.31,19.98,0.17,False,g,AB,1,g,4671.78
59000.38,18.87,,True,r,AB,0,r,6120.65
59000.42,19.05,,True,g,AB,0,g,4671.78
59001.41,19.94,0.08,False,g,AB,1,g,4671.78
59001.43,19.86,0.09,False,r,AB,1,r,6120.65
59004.3,19.92,0.18,False,r,AB,1,r,6120.65
59005.22,20.25,,True,g,AB,0,g,4671.78
59008.31,20.41,0.26,False,g,AB,1,g,4671.78
59008.34,19.8,0.14,False,r,AB,1,r,6120.65
59009.29,20.18,0.18,False,g,AB,1,g,4671.78
59009.37,20.19,0.16,False,r,AB,1,r,6120.65
59011.28,20.13,0.1,False,g,AB,1,g,4671.78
59011.32,19.97,0.11,False,r,AB,1,r,6120.65
59012.28,20.18,0.09,False,r,AB,1,r,6120.65
59012.32,20.24,0.09,False,g,AB,1,g,4671.78
59013.34,20.12,0.11,False,r,AB,1,r,6120.65
59014.26,20.06,0.1,False,r,AB,1,r,6120.65
59014.35,20.42,0.11,False,g,AB,1,g,4671.78
59015.33,20.09,0.11,False,r,AB,1,r,6120.65
59016.27,20.38,0.24,False,r,AB,1,r,6120.65
59016.35,20.51,0.12,False,g,AB,1,g,4671.78
59017.29,20.01,0.08,False,r,AB,1,r,6120.65
59017.32,20.42,0.09,False,g,AB,1,g,4671.78
59018.27,20.01,0.08,False,r,AB,1,r,6120.65
59018.35,20.39,0.11,False,g,AB,1,g,4671.78
59019.28,20.34,0.1,False,g,AB,1,g,4671.78
59020.28,20.33,0.11,False,r,AB,1,r,6120.65
59020.28,20.34,0.21,False,r,AB,1,r,6120.65
59020.37,20.5,0.11,False,g,AB,1,g,4671.78
59022.26,20.15,0.09,False,r,AB,1,r,6120.65
59022.34,20.66,0.12,False,g,AB,1,g,4671.78
59023.31,20.2,0.09,False,r,AB,1,r,6120.65
59023.33,20.5,0.12,False,g,AB,1,g,4671.78
59024.26,20.23,0.11,False,r,AB,1,r,6120.65
59024.37,20.62,0.15,False,g,AB,1,g,4671.78
59025.25,20.56,0.11,False,g,AB,1,g,4671.78
59025.37,20.23,0.08,False,r,AB,1,r,6120.65
59026.28,19.36,,True,r,AB,0,r,6120.65
59026.37,20.68,0.13,False,g,AB,1,g,4671.78
59027.24,20.63,0.18,False,g,AB,1,g,4671.78
59027.28,20.3,0.14,False,r,AB,1,r,6120.65
59028.26,20.57,0.17,False,r,AB,1,r,6120.65
59028.34,20.79,0.16,False,g,AB,1,g,4671.78
59029.29,20.83,,True,g,AB,0,g,4671.78
59030.37,20.63,0.21,False,g,AB,1,g,4671.78
59031.25,20.34,0.19,False,r,AB,1,r,6120.65
59031.33,21.07,,True,g,AB,0,g,4671.78
59032.24,20.27,0.18,False,r,AB,1,r,6120.65
59032.38,20.88,,True,g,AB,0,g,4671.78
59033.24,20.46,0.27,False,g,AB,1,g,4671.78
59034.24,20.54,,True,g,AB,0,g,4671.78
