mjd,mag,mag_err,UL,filter,detected
58868.500179,21.3348,,True,cyan,0
58870.451609,20.0946,,True,orange,0
58872.45707,21.1217,,True,cyan,0
58874.497579,20.0807,,True,orange,0
58876.556819,20.9169,,True,cyan,0
58882.49928,19.9974,,True,orange,0
58884.478758,19.9838,,True,orange,0
58894.436372,19.9876,,True,orange,0
58900.21,21.73,,True,r,0
58900.23,21.46,,True,r,0
58900.29,21.72,,True,g,0
58900.31,21.42,,True,g,0
58900.31,21.25,,True,g,0
58900.31,21.36,,True,g,0
58900.435374,20.6419,,True,cyan,0
58902.418771,20.0543,,True,orange,0
58903.22,21.75,,True,r,0
58903.22,21.76,,True,r,0
58903.26,21.79,,True,g,0
58903.27,21.84,,True,g,0
58904.22,21.54,,True,r,0
58904.26,21.92,,True,g,0
58905.22,21.31,,True,r,0
58905.27,21.43,,True,g,0
58906.23,21.18,,True,r,0
58906.23,21.25,,True,r,0
58906.27,21.49,,True,g,0
58906.27,21.59,,True,g,0
58906.491593,19.7737,,True,orange,0
58909.25,21.07,,True,g,0
58909.33,21.7,,True,r,0
58909.33,21.73,,True,r,0
58910.393498,19.8757,,True,orange,0
58912.22,21.19,,True,r,0
58912.22,21.22,,True,r,0
58912.24,21.13,,True,g,0
58912.24,21.14,,True,g,0
58913.19,20.9,,True,r,0
58913.2,20.77,,True,r,0
58913.29,20.93,,True,g,0
58914.2,18.94,,True,g,0
58914.2,18.95,,True,g,0
58914.22,20.4,,True,g,0
58914.363,19.4783,,True,orange,0
58915.16,20.7,,True,r,0
58915.16,20.7,,True,r,0
58915.2,20.44,,True,g,0
58915.2,20.54,,True,g,0
58918.449793,19.7345,,True,orange,0
58920.391099,19.9457,,True,orange,0
58922.342064,19.3199,,True,orange,0
58932.410519,20.6437,,True,cyan,0
58934.334423,19.5175,,True,orange,0
58938.18,20.65,,True,r,0
58939.15,21.28,,True,r,0
58939.18,21.49,,True,r,0
58939.3,20.66,,True,g,0
58940.18,21.2,,True,g,0
58940.18,21.22,,True,g,0
58940.23,20.22,,True,r,0
58941.24,20.71,,True,g,0
58942.373858,19.6738,,True,orange,0
58944.16,20.7,,True,r,0
58944.16,20.8,,True,r,0
58950.347132,19.593,,True,orange,0
58954.2,20.41,0.14,False,r,1
58954.2,20.64,0.15,False,r,1
58955.21,20.38,0.11,False,r,1
58956.18,20.14,0.1,False,r,1
58956.2,20.29,0.11,False,g,1
58956.357428,20.2666,0.2096,False,cyan,1
58960.314353,19.894,0.1441,False,cyan,1
58962.18,20.0,0.09,False,r,1
58962.18,20.08,0.1,False,r,1
58962.22,19.81,0.07,False,g,1
58962.22,19.89,0.07,False,g,1
58963.18,19.67,0.05,False,g,1
58963.24,19.72,0.06,False,g,1
