mjd,mag,mag_err,UL,filter,detected
58876.655784,19.9494,inf,True,orange,0
58882.652195,20.4667,inf,True,cyan,0
58884.619322,19.9034,inf,True,orange,0
58899.52,21.52,inf,True,r,0
58900.609305,19.9104,inf,True,orange,0
58902.600218,20.4953,inf,True,cyan,0
58904.5,21.45,inf,True,r,0
58904.55,21.25,inf,True,g,0
58904.658739,19.8279,inf,True,orange,0
58908.49,21.45,inf,True,r,0
58908.54,20.73,inf,True,g,0
58911.5,20.88,inf,True,r,0
58912.636452,20.011,inf,True,orange,0
58914.46,20.19,inf,True,g,0
58914.52,21.87,inf,True,r,0
58918.558685,19.3953,inf,True,orange,0
58924.623065,19.8618,inf,True,orange,0
58930.619863,20.3211,inf,True,cyan,0
58936.44,21.65,inf,True,r,0
58943.42,20.73,inf,True,g,0
58943.46,21.14,inf,True,r,0
58944.523399,18.9947,inf,True,orange,0
58952.52375,19.5427,inf,True,orange,0
58954.4,21.29,inf,True,g,0
58956.498227,19.513,inf,True,orange,0
58958.492223,20.4601,0.3159,False,cyan,1
58960.493853,19.5414,inf,True,orange,0
58961.4,20.16,0.21,False,r,1
58962.492489,18.8798,inf,True,cyan,0
58964.36,19.91,0.09,False,g,1
58964.4,20.09,0.1,False,r,1
58964.455148,19.191,inf,True,orange,0
58966.451,19.7921,0.06,False,w,1
58966.466186,19.9973,0.2031,False,cyan,1
58967.29,19.77,0.08,False,g,1
58967.33,20.29,0.22,False,i,1
58967.36,20.02,0.1,False,r,1
58968.449631,19.2655,inf,True,orange,0
58970.3,19.5,0.08,False,g,1
58970.36,19.85,0.09,False,r,1
58972.368055,19.7585,0.3146,False,orange,1
58973.27,19.47,0.15,False,g,1
58974.355678,19.124,inf,True,orange,0
58979.32,19.6,0.14,False,r,1
58981.604097,19.4052,0.2612,False,orange,1
58982.462671,19.6247,0.2621,False,orange,1
58984.502994,19.4564,0.2161,False,orange,1
58985.27,19.62,0.08,False,r,1
58986.448369,19.2776,0.1063,False,cyan,1
58988.06,19.29,0.06,False,g,1
58988.06,19.42,0.07,False,r,1
58988.06,19.56,0.08,False,i,1
58988.07,19.52,0.14,False,u,1
58988.449257,19.7483,0.2799,False,orange,1
58990.399088,19.4091,0.1185,False,cyan,1
58991.29,19.4,0.05,False,r,1
58991.31,19.37,0.06,False,g,1
58992.45036,19.7777,0.2891,False,orange,1
58994.27,19.38,0.05,False,g,1
58994.31,19.43,0.05,False,r,1
58994.439656,19.5963,0.1512,False,cyan,1
58996.36411,19.5414,0.3073,False,orange,1
58998.3,19.35,0.05,False,r,1
58998.35,19.41,0.05,False,g,1
58998.388645,19.581,0.2463,False,orange,1
58999.416002,19.2638,0.2115,False,orange,1
59000.37423,19.6819,0.3179,False,orange,1
59001.26,19.24,0.08,False,r,1
59001.37,19.23,0.09,False,g,1
59002.342679,19.3622,0.2935,False,orange,1
59005.28,19.28,0.13,False,r,1
59006.429917,19.3174,0.2786,False,orange,1
59008.32,19.61,0.2,False,r,1
59008.447413,19.331,0.2547,False,orange,1
59010.421233,19.4006,0.2169,False,orange,1
59011.26,19.48,0.06,False,r,1
59011.29,19.6,0.08,False,g,1
59014.23,19.52,0.06,False,r,1
59016.388872,19.7695,0.358,False,orange,1
59017.21,19.78,0.07,False,g,1
59017.26,19.67,0.06,False,r,1
59020.22,19.91,0.08,False,g,1
59020.25,19.81,0.06,False,r,1
59020.360869,19.3622,inf,True,orange,0
59022.3644,19.7534,0.1579,False,cyan,1
59023.2,19.71,0.06,False,r,1
59023.23,20.01,0.08,False,g,1
59024.38113,19.9718,0.3607,False,orange,1
59026.23,20.18,inf,True,g,0
59026.26,19.5,0.21,False,r,1
59026.386347,19.8482,0.1851,False,cyan,1
59028.310135,19.4061,inf,True,orange,0
59029.21,19.97,0.17,False,r,1
59032.25,19.73,0.13,False,r,1
59032.36,19.74,inf,True,g,0
59034.394128,19.2182,inf,True,orange,0
59035.2,20.11,inf,True,g,0
59035.29,20.16,inf,True,r,0
59036.365855,19.215,inf,True,orange,0
59037.451937,19.1612,inf,True,orange,0
59038.21,20.35,0.13,False,r,1
59038.23,20.77,0.25,False,g,1
59038.336515,19.3486,inf,True,orange,0
59040.368538,19.5435,inf,True,orange,0
59041.21,21.11,inf,True,g,0
59041.380288,19.916,inf,True,cyan,0
59043.9,20.94,0.09,False,g,1
59043.91,20.18,0.08,False,i,1
59043.91,20.35,0.08,False,r,1
59044.21,20.2,0.1,False,r,1
59044.345652,19.4595,inf,True,orange,0
59047.21,20.7,0.14,False,r,1
59048.19,20.37,0.11,False,r,1
59048.332612,19.5054,inf,True,orange,0
59049.19,20.55,0.13,False,r,1
59050.19,21.46,inf,True,g,0
59050.25,21.04,inf,True,r,0
59050.332252,19.919,inf,True,cyan,0
59051.17,20.91,inf,True,g,0
59051.17,21.13,inf,True,g,0
59051.19,20.71,0.16,False,r,1
59053.19,21.79,inf,True,g,0
59054.345212,19.8618,inf,True,cyan,0
59055.19,20.85,0.27,False,r,1
59057.17,21.17,inf,True,r,0
59058.274941,19.2731,inf,True,orange,0
59059.17,20.82,inf,True,r,0
59059.28,20.19,inf,True,g,0
59060.19,20.55,0.24,False,r,1
59060.302263,19.2057,inf,True,orange,0
59061.304339,19.7834,inf,True,orange,0
59062.19,20.53,inf,True,g,0
59062.25,20.34,inf,True,r,0
59062.310598,19.4429,inf,True,orange,0
59063.17,20.92,inf,True,r,0
59063.308537,19.573,inf,True,orange,0
59064.19,19.99,inf,True,g,0
59064.19,19.85,inf,True,g,0
59064.27,19.86,inf,True,r,0
59064.27,19.91,inf,True,r,0
59064.32357,19.7345,inf,True,orange,0
59065.17,20.62,inf,True,r,0
59066.21,20.67,inf,True,r,0
59067.15,20.83,inf,True,r,0
59067.23,20.46,inf,True,g,0
59068.27,20.34,inf,True,r,0
59068.282868,19.5845,inf,True,orange,0
59069.19,20.89,0.19,False,r,1
59070.272232,20.0814,inf,True,cyan,0
59072.207031,21.4739,0.2966,False,g,1
59072.210937,20.9978,0.2473,False,r,1
59072.214843,20.7595,0.34,False,i,1
59072.23,21.09,inf,True,g,0
59072.333606,19.8514,inf,True,orange,0
59073.17,20.79,0.2,False,r,1
59073.21,21.32,inf,True,g,0
59074.17,21.28,inf,True,r,0
59074.308478,20.2114,inf,True,cyan,0
