mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58876.655784,19.9494,,True,orange,AB,0,orange,6629.82
58882.652195,20.4667,,True,cyan,AB,0,cyan,5182.42
58884.619322,19.9034,,True,orange,AB,0,orange,6629.82
58899.52,21.52,,True,r,AB,0,r,6141.12
58900.609305,19.9104,,True,orange,AB,0,orange,6629.82
58902.600218,20.4953,,True,cyan,AB,0,cyan,5182.42
58904.5,21.45,,True,r,AB,0,r,6141.12
58904.55,21.25,,True,g,AB,0,g,4793.46
58904.658739,19.8279,,True,orange,AB,0,orange,6629.82
58908.49,21.45,,True,r,AB,0,r,6141.12
58908.54,20.73,,True,g,AB,0,g,4793.46
58911.5,20.88,,True,r,AB,0,r,6141.12
58912.636452,20.011,,True,orange,AB,0,orange,6629.82
58914.46,20.19,,True,g,AB,0,g,4793.46
58914.52,21.87,,True,r,AB,0,r,6141.12
58918.558685,19.3953,,True,orange,AB,0,orange,6629.82
58924.623065,19.8618,,True,orange,AB,0,orange,6629.82
58930.619863,20.3211,,True,cyan,AB,0,cyan,5182.42
58936.44,21.65,,True,r,AB,0,r,6141.12
58943.42,20.73,,True,g,AB,0,g,4793.46
58943.46,21.14,,True,r,AB,0,r,6141.12
58944.523399,18.9947,,True,orange,AB,0,orange,6629.82
58952.52375,19.5427,,True,orange,AB,0,orange,6629.82
58954.4,21.29,,True,g,AB,0,g,4793.46
58956.498227,19.513,,True,orange,AB,0,orange,6629.82
58958.492223,20.4601,0.3159,False,cyan,AB,1,cyan,5182.42
58960.493853,19.5414,,True,orange,AB,0,orange,6629.82
58961.4,20.16,0.21,False,r,AB,1,r,6141.12
58962.492489,18.8798,,True,cyan,AB,0,cyan,5182.42
58964.36,19.91,0.09,False,g,AB,1,g,4793.46
58964.4,20.09,0.1,False,r,AB,1,r,6141.12
58964.455148,19.191,,True,orange,AB,0,orange,6629.82
58966.451,19.7921,0.06,False,w,AB,1,w,5980.7
58966.466186,19.9973,0.2031,False,cyan,AB,1,cyan,5182.42
58967.29,19.77,0.08,False,g,AB,1,g,4793.46
58967.33,20.29,0.22,False,i,AB,1,i,7457.89
58967.36,20.02,0.1,False,r,AB,1,r,6141.12
58968.449631,19.2655,,True,orange,AB,0,orange,6629.82
58970.3,19.5,0.08,False,g,AB,1,g,4793.46
58970.36,19.85,0.09,False,r,AB,1,r,6141.12
58972.368055,19.7585,0.3146,False,orange,AB,1,orange,6629.82
58973.27,19.47,0.15,False,g,AB,1,g,4793.46
58974.355678,19.124,,True,orange,AB,0,orange,6629.82
58979.32,19.6,0.14,False,r,AB,1,r,6141.12
58981.604097,19.4052,0.2612,False,orange,AB,1,orange,6629.82
58982.462671,19.6247,0.2621,False,orange,AB,1,orange,6629.82
58984.502994,19.4564,0.2161,False,orange,AB,1,orange,6629.82
58985.27,19.62,0.08,False,r,AB,1,r,6141.12
58986.448369,19.2776,0.1063,False,cyan,AB,1,cyan,5182.42
58988.06,19.29,0.06,False,g,AB,1,g,4793.46
58988.06,19.42,0.07,False,r,AB,1,r,6141.12
58988.06,19.56,0.08,False,i,AB,1,i,7457.89
58988.07,19.52,0.14,False,u,AB,1,u,3513.68
58988.449257,19.7483,0.2799,False,orange,AB,1,orange,6629.82
58990.399088,19.4091,0.1185,False,cyan,AB,1,cyan,5182.42
58991.29,19.4,0.05,False,r,AB,1,r,6141.12
58991.31,19.37,0.06,False,g,AB,1,g,4793.46
58992.45036,19.7777,0.2891,False,orange,AB,1,orange,6629.82
58994.27,19.38,0.05,False,g,AB,1,g,4793.46
58994.31,19.43,0.05,False,r,AB,1,r,6141.12
58994.439656,19.5963,0.1512,False,cyan,AB,1,cyan,5182.42
58996.36411,19.5414,0.3073,False,orange,AB,1,orange,6629.82
58998.3,19.35,0.05,False,r,AB,1,r,6141.12
58998.35,19.41,0.05,False,g,AB,1,g,4793.46
58998.388645,19.581,0.2463,False,orange,AB,1,orange,6629.82
58999.416002,19.2638,0.2115,False,orange,AB,1,orange,6629.82
59000.37423,19.6819,0.3179,False,orange,AB,1,orange,6629.82
59001.26,19.24,0.08,False,r,AB,1,r,6141.12
59001.37,19.23,0.09,False,g,AB,1,g,4793.46
59002.342679,19.3622,0.2935,False,orange,AB,1,orange,6629.82
59005.28,19.28,0.13,False,r,AB,1,r,6141.12
59006.429917,19.3174,0.2786,False,orange,AB,1,orange,6629.82
59008.32,19.61,0.2,False,r,AB,1,r,6141.12
59008.447413,19.331,0.2547,False,orange,AB,1,orange,6629.82
