mjd,mag,mag_err,UL,filter,detected
58956.461133,20.2305,,True,cyan,0
58960.460916,20.3245,,True,cyan,0
58962.523365,19.8896,,True,orange,0
58964.456934,20.0873,,True,cyan,0
58966.471503,20.1102,,True,orange,0
58970.460981,20.118,,True,orange,0
58972.442474,20.0726,,True,orange,0
58974.452692,19.9626,,True,orange,0
58976.386892,19.1381,,True,orange,0
58978.439159,20.0146,,True,orange,0
58980.453452,19.9867,,True,orange,0
58982.425988,20.4405,,True,orange,0
58984.407165,20.1287,,True,cyan,0
58986.425688,20.0552,,True,orange,0
58988.408707,20.555,,True,cyan,0
58990.378955,20.2007,,True,orange,0
58992.373066,20.6021,,True,cyan,0
58994.388143,20.1605,,True,orange,0
58998.366814,20.0043,,True,orange,0
59000.25,21.12,,True,g,0
59000.25,21.12,,True,g,0
59000.27,21.09,,True,g,0
59000.34,20.37,,True,r,0
59000.37255,19.9955,,True,orange,0
59002.390763,20.049,,True,orange,0
59004.26,20.82,,True,r,0
59004.426217,19.7431,,True,orange,0
59006.355333,19.8203,,True,orange,0
59009.22,21.31,,True,r,0
59010.348039,20.1322,,True,orange,0
59011.002,21.4411,,True,G,0
59011.332098,20.5673,,True,cyan,0
59012.21,21.9,,True,g,0
59012.26,21.93,,True,r,0
59014.343928,20.1535,,True,orange,0
59015.340823,20.5556,,True,cyan,0
59016.24,21.47,,True,r,0
59018.359931,20.1248,,True,orange,0
59019.22,21.78,,True,r,0
59020.337263,19.8323,,True,cyan,0
59022.23,21.81,,True,r,0
59023.25,21.76,,True,g,0
59025.21,21.31,,True,r,0
59025.24,21.77,,True,g,0
59026.326329,20.1465,,True,orange,0
59028.22,21.36,,True,r,0
59028.359373,19.8806,,True,orange,0
59029.21,21.06,,True,g,0
59030.311434,19.8491,,True,orange,0
59031.22,21.08,,True,r,0
59032.308464,19.4481,,True,orange,0
59034.2,20.12,0.21,False,g,1
59034.32,20.12,0.2,False,r,1
59034.332041,19.2578,,True,orange,0
59036.2,19.87,0.14,False,g,1
59036.26,19.89,0.13,False,r,1
59036.331868,19.3904,,True,orange,0
59037.24,20.09,0.26,False,g,1
59037.27,19.97,0.22,False,g,1
59038.2,19.89,0.09,False,r,1
59038.24,19.91,0.11,False,g,1
59038.300274,20.0033,0.2982,False,orange,1
59039.2,19.72,0.06,False,g,1
59039.24,19.83,0.08,False,r,1
59040.23,19.64,0.06,False,g,1
59040.297452,19.6901,0.1667,False,cyan,1
59041.21,19.51,0.08,False,g,1
59041.24,19.62,0.07,False,r,1
59042.21,19.43,0.05,False,g,1
59042.23,19.45,0.05,False,r,1
59042.292002,19.9001,0.3174,False,orange,1
59043.2,19.47,0.05,False,g,1
59043.24,19.56,0.06,False,r,1
59044.337842,19.4424,0.127,False,cyan,1
59046.2,19.29,0.05,False,r,1
59046.22,19.29,0.05,False,g,1
59046.496739,19.3111,0.0366,False,G,1
59046.570739,19.2911,0.0362,False,G,1
59048.318558,19.1995,0.1027,False,cyan,1
59049.18,19.15,0.04,False,r,1
59049.2,19.13,0.04,False,g,1
59050.270249,19.138,0.1329,False,orange,1
59054.261898,18.9777,0.1209,False,orange,1
59058.283345,18.8153,0.1136,False,orange,1
59060.271628,18.7748,0.1142,False,orange,1
59064.2,18.39,0.09,False,g,1
59064.255856,18.6131,0.1117,False,orange,1
59064.28,18.52,0.08,False,r,1
59067.16,18.38,0.03,False,r,1
59067.22,18.33,0.04,False,g,1
59067.24,18.51,0.03,False,i,1
59067.26,18.52,0.04,False,i,1
59067.28,18.39,0.05,False,r,1
59070.249533,18.524,0.0892,False,orange,1
59071.18,18.28,0.02,False,r,1
59073.16,18.33,0.03,False,i,1
59073.17,18.3,0.03,False,r,1
59073.22,18.27,0.03,False,g,1
59073.26,18.39,0.03,False,i,1
59074.18,18.27,0.13,False,r,1
59075.934719,18.3411,0.0246,False,G,1
59076.008729,18.3211,0.0244,False,G,1
59079.18,18.27,0.03,False,g,1
59079.2,18.22,0.03,False,r,1
59079.24,18.42,0.04,False,i,1
59081.14,18.24,0.04,False,i,1
59081.16,18.29,0.03,False,i,1
59081.18,18.22,0.03,False,r,1
59081.25,18.26,0.05,False,g,1
59082.249881,18.4701,0.0793,False,orange,1
59084.296583,18.3796,0.0799,False,orange,1
59092.243848,18.5791,0.1273,False,orange,1
59108.235102,19.0721,0.1332,False,cyan,1
59120.99231,19.3911,0.0379,False,G,1
59121.168469,19.4111,0.0382,False,G,1
59121.24248,19.4811,0.0394,False,G,1
59145.173719,20.1611,0.054,False,G,1
59145.247719,20.1211,0.053,False,G,1
59178.51,21.31,,True,g,0
59182.633118,19.2671,,True,orange,0
59183.981819,20.7311,0.0707,False,G,1
59184.52,20.27,0.27,False,r,1
59184.53,20.34,,True,g,0
59188.49,20.14,0.27,False,i,1
59188.53,20.55,,True,g,0
59193.47,20.91,,True,g,0
59193.53,20.55,0.17,False,r,1
59195.55,20.76,,True,g,0
59198.54,21.29,,True,g,0
59201.55,20.74,,True,i,0
59204.55,20.73,0.21,False,i,1
59206.639116,19.7853,,True,cyan,0
59208.643453,20.2769,,True,cyan,0
59214.579877,19.722,,True,orange,0
59216.585661,19.7729,,True,orange,0
59222.615558,20.0216,,True,orange,0
59226.655336,20.0713,,True,cyan,0
59228.65274,20.1533,,True,cyan,0
59230.612034,20.448,,True,cyan,0
59238.481846,19.8919,,True,orange,0
59242.623494,19.7793,,True,orange,0
59244.605013,19.7745,,True,orange,0
59246.602965,20.0339,,True,orange,0
