mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59004.600717,19.5536,,True,orange,AB,0,orange,6629.82
59007.600523,19.4837,,True,orange,AB,0,orange,6629.82
59009.600965,19.4285,,True,orange,AB,0,orange,6629.82
59020.601581,19.7658,,True,orange,AB,0,orange,6629.82
59021.597282,20.0036,,True,cyan,AB,0,cyan,5182.42
59023.60054,19.0889,,True,orange,AB,0,orange,6629.82
59028.600384,19.9159,,True,orange,AB,0,orange,6629.82
59030.573785,20.8931,,True,cyan,AB,0,cyan,5182.42
59031.57929,20.0037,,True,orange,AB,0,orange,6629.82
59032.605583,19.837,,True,orange,AB,0,orange,6629.82
59033.568318,20.1807,,True,orange,AB,0,orange,6629.82
59035.590194,19.6738,,True,orange,AB,0,orange,6629.82
59036.563764,19.5366,,True,orange,AB,0,orange,6629.82
59037.592512,19.35,,True,orange,AB,0,orange,6629.82
59038.553173,19.3678,,True,orange,AB,0,orange,6629.82
59039.53517,19.301,,True,orange,AB,0,orange,6629.82
59042.574034,19.6244,,True,orange,AB,0,orange,6629.82
59043.570458,19.87,,True,orange,AB,0,orange,6629.82
59044.608491,19.6583,,True,orange,AB,0,orange,6629.82
59047.584972,19.9938,,True,orange,AB,0,orange,6629.82
59048.42,21.29,,True,r,AB,0,r,6141.12
59048.46,21.39,,True,g,AB,0,g,4793.46
59048.606198,19.5932,,True,orange,AB,0,orange,6629.82
59050.577689,20.1326,,True,cyan,AB,0,cyan,5182.42
59051.42,21.24,,True,r,AB,0,r,6141.12
59051.44,21.34,,True,g,AB,0,g,4793.46
59051.527666,19.5688,,True,orange,AB,0,orange,6629.82
59054.42,21.41,,True,r,AB,0,r,6141.12
59055.533501,19.5573,,True,orange,AB,0,orange,6629.82
59057.42,20.71,0.19,False,g,AB,1,g,4793.46
59057.44,20.68,0.22,False,r,AB,1,r,6141.12
59059.546495,19.7568,,True,orange,AB,0,orange,6629.82
59060.512715,20.2285,0.3411,False,orange,AB,1,orange,6629.82
59061.43,20.08,0.13,False,r,AB,1,r,6141.12
59061.544932,19.465,,True,orange,AB,0,orange,6629.82
59062.596445,19.3108,,True,orange,AB,0,orange,6629.82
59063.44,20.34,,True,g,AB,0,g,4793.46
59063.486602,19.2615,0.3584,False,orange,AB,1,orange,6629.82
59064.537443,19.1467,,True,orange,AB,0,orange,6629.82
59070.566971,19.1955,,True,orange,AB,0,orange,6629.82
59072.584081,19.2357,,True,orange,AB,0,orange,6629.82
59073.535781,19.6578,0.2709,False,orange,AB,1,orange,6629.82
59075.534978,19.8321,0.3166,False,orange,AB,1,orange,6629.82
59076.599077,19.7231,0.3311,False,orange,AB,1,orange,6629.82
59077.509296,19.4686,0.1306,False,cyan,AB,1,cyan,5182.42
59080.528495,19.7616,0.2964,False,orange,AB,1,orange,6629.82
59082.512203,19.3325,0.1164,False,cyan,AB,1,cyan,5182.42
59084.44,19.13,0.05,False,g,AB,1,g,4793.46
59084.522172,19.4647,0.2182,False,orange,AB,1,orange,6629.82
59088.502883,19.4892,0.2285,False,orange,AB,1,orange,6629.82
59090.506803,19.4359,0.2394,False,orange,AB,1,orange,6629.82
59091.461971,19.5026,0.3587,False,orange,AB,1,orange,6629.82
59092.44759,19.1986,0.2467,False,orange,AB,1,orange,6629.82
59092.46,19.02,0.1,False,g,AB,1,g,4793.46
59098.38,19.03,0.1,False,r,AB,1,r,6141.12
59098.550042,19.1874,0.2266,False,orange,AB,1,orange,6629.82
59099.553968,19.1069,0.1809,False,orange,AB,1,orange,6629.82
59101.471271,19.1358,0.1701,False,orange,AB,1,orange,6629.82
59102.467768,19.1174,0.1672,False,orange,AB,1,orange,6629.82
59103.392495,19.056,0.1512,False,orange,AB,1,orange,6629.82
59104.39,18.87,0.11,False,r,AB,1,r,6141.12
59104.504281,19.0766,0.1533,False,orange,AB,1,orange,6629.82
59105.49871,18.7885,0.0762,False,cyan,AB,1,cyan,5182.42
59106.33,18.71,0.06,False,g,AB,1,g,4793.46
59106.37,18.88,0.08,False,r,AB,1,r,6141.12
59106.503327,18.8824,0.0804,False,cyan,AB,1,cyan,5182.42
59107.31,18.82,0.06,False,r,AB,1,r,6141.12
59107.35,18.69,0.05,False,g,AB,1,g,4793.46
59107.522152,19.035,0.1482,False,orange,AB,1,orange,6629.82
59108.36,18.75,0.05,False,g,AB,1,g,4793.46
59108.38,18.82,0.06,False,r,AB,1,r,6141.12
59108.449695,19.0671,0.152,False,orange,AB,1,orange,6629.82
59109.34,18.74,0.07,False,g,AB,1,g,4793.46
59109.39,18.86,0.08,False,r,AB,1,r,6141.12
59109.526223,18.8826,0.0804,False,cyan,AB,1,cyan,5182.42
59110.34,18.73,0.1,False,g,AB,1,g,4793.46
59110.34,18.75,0.06,False,g,AB,1,g,4793.46
59110.36,18.88,0.06,False,r,AB,1,r,6141.12
59110.444911,18.8643,0.0828,False,cyan,AB,1,cyan,5182.42
59111.4,18.86,0.05,False,r,AB,1,r,6141.12
59111.521453,18.7676,0.2297,False,orange,AB,1,orange,6629.82
59112.31,18.63,0.03,False,g,AB,1,g,4793.46
59112.36,18.76,0.03,False,r,AB,1,r,6141.12
59113.31,18.8,0.05,False,r,AB,1,r,6141.12
59113.39,18.68,0.04,False,g,AB,1,g,4793.46
59113.437281,18.9071,0.1181,False,cyan,AB,1,cyan,5182.42
59113.99,19.18,0.08,False,i,AB,1,i,7457.89
59114.0,18.85,0.07,False,r,AB,1,r,6141.12
59114.31,18.74,0.04,False,g,AB,1,g,4793.46
59114.441439,19.0624,0.0982,False,cyan,AB,1,cyan,5182.42
59115.31,18.92,0.05,False,r,AB,1,r,6141.12
59115.423134,18.9672,0.1368,False,orange,AB,1,orange,6629.82
59116.29,18.72,0.04,False,g,AB,1,g,4793.46
59116.33,18.88,0.04,False,r,AB,1,r,6141.12
59117.35,18.76,0.04,False,r,AB,1,r,6141.12
59117.429427,19.0537,0.1561,False,orange,AB,1,orange,6629.82
59120.36,18.67,0.07,False,g,AB,1,g,4793.46
59120.416141,19.2028,0.1689,False,orange,AB,1,orange,6629.82
59121.25,18.84,0.23,False,B,AB,1,B,4345.28
59121.25,19.47,0.21,False,U,AB,1,U,3520.88
59121.25,20.93,0.3,False,UVW1,AB,1,UVW1,2681.67
59121.25,21.78,,True,UVW2,AB,0,UVW2,2083.95
59121.32,21.58,0.34,False,UVM2,AB,1,UVM2,2245.03
59125.38,18.7,0.12,False,g,AB,1,g,4793.46
59126.473737,19.0806,0.2009,False,orange,AB,1,orange,6629.82
59126.62,18.84,0.19,False,B,AB,1,B,4345.28
59126.62,19.6,0.2,False,U,AB,1,U,3520.88
59126.62,21.09,0.29,False,UVW1,AB,1,UVW1,2681.67
59126.63,18.59,0.32,False,V,AB,1,V,5411.45
59126.63,21.74,0.28,False,UVM2,AB,1,UVM2,2245.03
59126.63,22.0,0.33,False,UVW2,AB,1,UVW2,2083.95
59127.362316,19.1161,0.1371,False,orange,AB,1,orange,6629.82
59128.25,18.78,0.07,False,r,AB,1,r,6141.12
59128.25,18.85,0.07,False,r,AB,1,r,6141.12
59128.3,18.76,0.08,False,g,AB,1,g,4793.46
59128.3,18.84,0.09,False,g,AB,1,g,4793.46
59128.501025,19.2323,0.2188,False,orange,AB,1,orange,6629.82
59129.33,18.84,0.06,False,g,AB,1,g,4793.46
59129.440093,19.1384,0.1751,False,orange,AB,1,orange,6629.82
59130.25,18.87,0.04,False,r,AB,1,r,6141.12
59130.25,18.89,0.05,False,r,AB,1,r,6141.12
59130.36,18.8,0.05,False,g,AB,1,g,4793.46
59130.431397,19.0465,0.1583,False,orange,AB,1,orange,6629.82
59131.44,20.2,0.26,False,UVW1,AB,1,UVW1,2681.67
59131.44,19.03,,True,B,AB,0,B,4345.28
59131.44,21.4,,True,UVW2,AB,0,UVW2,2083.95
59131.44,21.66,,True,UVM2,AB,0,UVM2,2245.03
59131.44,19.64,0.34,False,U,AB,1,U,3520.88
59132.412916,18.9535,0.1477,False,orange,AB,1,orange,6629.82
59132.49,19.09,0.27,False,B,AB,1,B,4345.28
59132.49,19.63,0.24,False,U,AB,1,U,3520.88
59132.49,21.25,,True,UVW1,AB,0,UVW1,2681.67
59132.49,21.93,,True,UVW2,AB,0,UVW2,2083.95
59132.5,21.63,0.32,False,UVM2,AB,1,UVM2,2245.03
59133.414138,19.0251,0.095,False,cyan,AB,1,cyan,5182.42
59133.97,19.17,0.08,False,i,AB,1,i,7457.89
59133.98,18.82,0.05,False,g,AB,1,g,4793.46
59133.98,18.9,0.06,False,r,AB,1,r,6141.12
59133.98,19.19,0.11,False,z,AB,1,z,8970.57
59134.25,18.89,0.05,False,g,AB,1,g,4793.46
59135.25,18.85,0.04,False,g,AB,1,g,4793.46
59135.25,18.91,0.04,False,r,AB,1,r,6141.12
59135.39,18.97,0.05,False,r,AB,1,r,6141.12
59135.449892,19.0232,0.2656,False,orange,AB,1,orange,6629.82
59136.31,18.84,0.04,False,r,AB,1,r,6141.12
59136.34,18.83,0.04,False,g,AB,1,g,4793.46
59136.413098,19.0766,0.1578,False,orange,AB,1,orange,6629.82
59136.8,18.69,0.16,False,B,AB,1,B,4345.28
59136.8,20.21,0.29,False,U,AB,1,U,3520.88
59136.8,21.46,0.34,False,UVW1,AB,1,UVW1,2681.67
59136.81,18.82,0.35,False,V,AB,1,V,5411.45
59136.81,22.16,0.34,False,UVM2,AB,1,UVM2,2245.03
59136.81,22.22,0.35,False,UVW2,AB,1,UVW2,2083.95
59137.23,18.89,0.06,False,g,AB,1,g,4793.46
59137.24,18.91,0.07,False,g,AB,1,g,4793.46
59137.27,18.83,0.05,False,g,AB,1,g,4793.46
59137.27,18.85,0.05,False,g,AB,1,g,4793.46
59137.34,18.79,0.05,False,r,AB,1,r,6141.12
59137.34,18.88,0.05,False,r,AB,1,r,6141.12
59137.364986,18.9621,0.0866,False,cyan,AB,1,cyan,5182.42
59138.25,18.89,0.06,False,g,AB,1,g,4793.46
59138.29,18.88,0.05,False,r,AB,1,r,6141.12
59138.421763,19.0823,0.1685,False,cyan,AB,1,cyan,5182.42
59139.21,18.83,0.04,False,g,AB,1,g,4793.46
59139.21,18.94,0.05,False,g,AB,1,g,4793.46
59139.27,18.88,0.05,False,r,AB,1,r,6141.12
59139.27,18.91,0.05,False,r,AB,1,r,6141.12
59139.32,18.9,0.1,False,r,AB,1,r,6141.12
59139.34,18.88,0.05,False,r,AB,1,r,6141.12
59139.35,18.88,0.06,False,g,AB,1,g,4793.46
59139.35,19.18,0.05,False,i,AB,1,i,7457.89
59139.429669,19.0513,0.1624,False,orange,AB,1,orange,6629.82
59140.25,18.91,0.04,False,r,AB,1,r,6141.12
59140.3,18.89,0.04,False,g,AB,1,g,4793.46
59140.418946,19.2814,0.1827,False,orange,AB,1,orange,6629.82
59140.93,19.21,,True,B,AB,0,B,4345.28
59140.93,21.81,,True,UVW2,AB,0,UVW2,2083.95
59140.93,19.9,0.35,False,U,AB,1,U,3520.88
