mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59060.307293,19.3226,,True,orange,AB,0,orange,6629.82
59062.298878,19.8043,,True,orange,AB,0,orange,6629.82
59064.2876,19.4637,,True,orange,AB,0,orange,6629.82
59068.328599,19.617,,True,orange,AB,0,orange,6629.82
59070.272074,20.1301,,True,orange,AB,0,orange,6629.82
59072.268791,20.0871,,True,cyan,AB,0,cyan,5182.42
59074.316782,19.9292,,True,orange,AB,0,orange,6629.82
59076.263672,20.4165,,True,cyan,AB,0,cyan,5182.42
59078.250491,20.0572,,True,orange,AB,0,orange,6629.82
59080.167968,20.4385,,True,r,AB,0,r,6366.38
59080.248786,19.909,,True,cyan,AB,0,cyan,5182.42
59080.300781,19.8555,,True,r,AB,0,r,6366.38
59081.175781,20.6054,,True,r,AB,0,r,6366.38
59081.214843,20.4357,,True,g,AB,0,g,4671.78
59081.246093,20.04,,True,g,AB,0,g,4671.78
59082.257812,20.0535,,True,r,AB,0,r,6366.38
59082.282257,20.1038,,True,orange,AB,0,orange,6629.82
59084.171875,20.4874,,True,g,AB,0,g,4671.78
59084.199218,20.4703,,True,r,AB,0,r,6366.38
59084.24736,19.7709,,True,orange,AB,0,orange,6629.82
59085.175781,20.0081,,True,r,AB,0,r,6366.38
59085.25,20.5832,,True,g,AB,0,g,4671.78
59085.261718,20.4607,,True,g,AB,0,g,4671.78
59086.164062,20.7315,,True,r,AB,0,r,6366.38
59086.1875,20.5127,,True,r,AB,0,r,6366.38
59086.195312,20.5449,,True,g,AB,0,g,4671.78
59086.24743,19.6422,,True,orange,AB,0,orange,6629.82
59086.285156,19.7521,,True,g,AB,0,g,4671.78
59087.15625,20.5219,,True,r,AB,0,r,6366.38
59087.183593,20.2191,,True,g,AB,0,g,4671.78
59087.257812,19.6063,,True,r,AB,0,r,6366.38
59088.164062,20.172,,True,r,AB,0,r,6366.38
59088.179687,20.1267,,True,r,AB,0,r,6366.38
59088.243768,19.9474,,True,orange,AB,0,orange,6629.82
59088.261718,19.1873,,True,g,AB,0,g,4671.78
59089.140625,20.0671,,True,r,AB,0,r,6366.38
59089.242187,19.1219,,True,g,AB,0,g,4671.78
59090.160156,20.36,,True,r,AB,0,r,6366.38
59090.238281,19.7005,,True,g,AB,0,g,4671.78
59090.244969,19.8953,,True,orange,AB,0,orange,6629.82
59090.25,19.5409,,True,g,AB,0,g,4671.78
59091.207031,20.1325,,True,r,AB,0,r,6366.38
59091.214843,20.001,,True,g,AB,0,g,4671.78
59091.25,19.5689,,True,g,AB,0,g,4671.78
59092.21875,20.2304,,True,r,AB,0,r,6366.38
59092.230468,20.0853,,True,r,AB,0,r,6366.38
59092.253906,19.5992,,True,g,AB,0,g,4671.78
59092.265186,20.0536,,True,orange,AB,0,orange,6629.82
59093.136718,20.3496,,True,r,AB,0,r,6366.38
59093.15625,20.089,,True,g,AB,0,g,4671.78
59093.164062,19.9226,,True,g,AB,0,g,4671.78
59093.203125,19.8211,,True,r,AB,0,r,6366.38
59093.207031,19.9082,,True,r,AB,0,r,6366.38
59094.160156,20.2535,,True,r,AB,0,r,6366.38
59094.160156,20.296,,True,r,AB,0,r,6366.38
59094.183593,19.5142,,True,g,AB,0,g,4671.78
59094.1875,19.5551,,True,g,AB,0,g,4671.78
59095.164062,20.2195,,True,r,AB,0,r,6366.38
59095.164062,20.231,,True,r,AB,0,r,6366.38
59095.183593,19.7877,,True,g,AB,0,g,4671.78
59095.183593,20.5036,0.1665,False,g,AB,1,g,4671.78
59096.235294,19.7406,,True,orange,AB,0,orange,6629.82
59097.207031,19.7275,,True,g,AB,0,g,4671.78
59098.234514,19.8633,,True,orange,AB,0,orange,6629.82
59100.238499,20.222,,True,cyan,AB,0,cyan,5182.42
59104.239606,18.6199,0.0962,False,cyan,AB,1,cyan,5182.42
59106.231204,18.3784,0.0587,False,orange,AB,1,orange,6629.82
59108.248881,17.777,0.0252,False,cyan,AB,1,cyan,5182.42
59109.15625,18.0196,0.0927,False,r,AB,1,r,6366.38
59111.117187,17.4995,0.0528,False,g,AB,1,g,4671.78
59111.15625,17.4487,0.055,False,g,AB,1,g,4671.78
59111.222656,17.7838,0.0799,False,r,AB,1,r,6366.38
59116.408,21.4456,,True,G,AB,0,G,5850.88
59122.219401,16.5421,0.0196,False,orange,AB,1,orange,6629.82
59125.072259,16.4261,0.1044,False,g,AB,1,g,4671.78
