mjd,mag,mag_err,UL,filter,detected
59093.60352,19.1703,,True,orange,0
59094.613833,19.3645,,True,orange,0
59096.620404,19.4739,,True,orange,0
59102.603596,19.9172,,True,orange,0
59110.611157,19.62,,True,orange,0
59111.528101,19.5518,,True,r,0
59114.527175,19.6977,,True,g,0
59114.620718,19.8723,,True,orange,0
59116.42221,20.0111,,True,r,0
59116.517696,20.3951,,True,g,0
59118.525416,20.1551,,True,r,0
59118.623026,19.8045,,True,orange,0
59119.474849,20.3478,,True,r,0
59119.507963,16.168,,True,g,0
59120.527847,19.8582,,True,r,0
59120.616194,19.8613,,True,orange,0
59121.406678,19.25,,True,g,0
59122.490659,19.6956,,True,r,0
59122.624467,19.6416,,True,orange,0
59123.429201,19.0808,,True,g,0
59123.504571,19.4904,,True,r,0
59124.378356,19.083,,True,r,0
59125.446516,19.5088,,True,g,0
59125.497627,20.3445,0.3602,False,r,1
59126.407511,19.3365,,True,r,0
59126.565231,19.7637,,True,orange,0
59127.453437,17.2592,,True,g,0
59127.492129,17.984,,True,r,0
59127.543973,19.1628,,True,orange,0
59128.613572,19.1724,,True,orange,0
59129.442106,19.6012,0.254,False,g,1
59129.494849,19.8058,,True,r,0
59133.610343,19.0166,,True,orange,0
59135.427256,19.195,0.099,False,g,1
59135.485578,19.4091,0.1027,False,r,1
59136.613459,19.4631,0.2214,False,cyan,1
59137.469965,19.2203,0.1136,False,g,1
59137.496701,19.2839,0.1165,False,r,1
59137.633375,19.2706,0.2202,False,orange,1
59138.608183,19.6838,0.3431,False,orange,1
59139.446446,19.0975,0.1269,False,g,1
59140.579879,19.2786,0.1826,False,cyan,1
59140.59,19.1458,0.06,False,w,1
59141.444421,19.2094,0.0933,False,g,1
59141.492963,19.1638,0.0828,False,r,1
59141.5446,19.4103,0.2105,False,orange,1
59143.405636,19.1802,0.0996,False,g,1
59143.444213,19.237,0.1077,False,r,1
59144.561124,19.4357,0.1804,False,cyan,1
59145.489606,19.186,0.1167,False,r,1
59146.590115,19.454,0.2154,False,orange,1
59148.593757,19.162,0.1989,False,cyan,1
59149.422419,19.1573,0.1267,False,r,1
59149.521238,19.458,0.1418,False,g,1
59150.595491,19.5776,0.2332,False,orange,1
59153.570972,19.4645,0.2694,False,orange,1
59156.515935,19.6477,0.3566,False,orange,1
59162.551833,19.2207,,True,orange,0
59168.627951,19.9695,,True,cyan,0
59179.578087,19.1925,,True,orange,0
59191.500562,19.7766,,True,orange,0
59194.471141,20.2312,,True,cyan,0
59209.409479,20.004,,True,orange,0
59218.468952,19.7991,,True,orange,0
59220.469607,19.9332,,True,orange,0
59222.43712,20.2508,,True,cyan,0
59223.397357,20.099,,True,cyan,0
59226.442957,20.2976,,True,cyan,0
59228.478038,20.0595,,True,cyan,0
59246.374453,19.7821,,True,orange,0
59250.364021,20.168,,True,cyan,0
59252.40436,20.2215,,True,cyan,0
59254.389024,20.2699,,True,cyan,0
59256.383907,20.2701,,True,cyan,0
59258.386797,20.146,,True,cyan,0
59262.328808,20.0286,,True,orange,0
59277.324976,20.0087,,True,cyan,0
59278.308489,19.9681,,True,cyan,0
59288.306715,20.1889,,True,cyan,0
59304.27561,19.7726,,True,orange,0
59310.263422,20.2312,,True,cyan,0
59314.242402,20.1558,,True,cyan,0
59320.242595,19.9209,,True,orange,0
59337.264852,19.8672,,True,orange,0
59701.132812,22.1378,,True,r,0
