mjd,mag,mag_err,UL,filter,detected
59001.38,20.52,inf,True,g,0
59001.48,21.41,inf,True,r,0
59002.44,21.26,inf,True,g,0
59002.45,21.38,inf,True,g,0
59002.47,21.26,inf,True,r,0
59010.47,20.95,inf,True,g,0
59013.36,21.01,inf,True,r,0
59016.4,20.54,inf,True,g,0
59016.47,21.75,inf,True,r,0
59019.34,21.62,inf,True,g,0
59022.39,21.6,inf,True,g,0
59022.48,21.56,inf,True,r,0
59025.34,21.5,inf,True,g,0
59025.39,21.18,inf,True,r,0
59028.39,21.23,inf,True,g,0
59028.48,21.46,inf,True,r,0
59031.34,20.7,inf,True,g,0
59031.44,21.77,inf,True,r,0
59032.34,20.77,inf,True,r,0
59034.38,20.79,inf,True,r,0
59034.46,20.98,inf,True,g,0
59037.46,20.66,inf,True,r,0
59040.38,21.31,inf,True,r,0
59042.48,21.21,inf,True,r,0
59043.34,21.47,inf,True,g,0
59043.4,21.57,inf,True,r,0
59044.48,21.64,inf,True,r,0
59046.42,21.83,inf,True,r,0
59047.44,22.11,inf,True,g,0
59047.46,21.75,inf,True,g,0
59047.511434,20.4963,inf,True,cyan,0
59048.41,21.93,inf,True,r,0
59048.44,21.99,inf,True,g,0
59048.49,21.05,inf,True,g,0
59048.49,21.13,inf,True,g,0
59049.41,21.86,inf,True,r,0
59050.41,21.86,inf,True,g,0
59050.45,21.84,inf,True,r,0
59050.45,21.85,inf,True,r,0
59051.39,21.71,inf,True,r,0
59051.4,21.84,inf,True,r,0
59051.46,21.81,inf,True,g,0
59051.488662,20.5419,inf,True,cyan,0
59052.4,21.93,inf,True,r,0
59052.49,21.16,inf,True,g,0
59052.49,21.17,inf,True,g,0
59053.38,22.05,inf,True,g,0
59053.38,22.11,inf,True,g,0
59053.38,22.16,inf,True,g,0
59053.44,21.86,inf,True,r,0
59053.44,21.96,inf,True,r,0
59053.478194,20.111,inf,True,orange,0
59054.39,21.88,inf,True,r,0
59054.4,21.9,inf,True,r,0
59054.49,21.08,inf,True,g,0
59055.37,21.79,inf,True,r,0
59055.41,21.89,inf,True,g,0
59055.42,21.83,inf,True,g,0
59055.46,21.84,inf,True,r,0
59056.38,21.86,inf,True,r,0
59056.38,21.87,inf,True,r,0
59056.42,21.87,inf,True,g,0
59056.42,21.93,inf,True,g,0
59056.43,21.95,inf,True,g,0
59056.49,21.37,inf,True,r,0
59057.36,21.75,inf,True,r,0
59057.37,21.77,inf,True,r,0
59057.4,21.79,inf,True,g,0
59059.33,21.5,inf,True,r,0
59059.41,21.59,inf,True,g,0
59059.41,21.66,inf,True,g,0
59059.41,21.98,inf,True,g,0
59059.45,21.76,inf,True,r,0
59059.45,21.83,inf,True,r,0
59059.533513,20.5761,inf,True,cyan,0
59060.35,21.21,inf,True,g,0
59060.38,22.01,inf,True,g,0
59060.42,21.8,0.27,False,r,1
59060.43,21.93,inf,True,r,0
59061.31,21.29,inf,True,r,0
59061.42,21.67,inf,True,r,0
59061.46,21.83,inf,True,g,0
59061.464941,20.0007,inf,True,orange,0
59062.39,20.96,inf,True,g,0
59062.46,21.47,inf,True,g,0
59062.46,21.67,inf,True,g,0
59062.47,21.63,inf,True,r,0
59062.47,21.64,inf,True,r,0
59063.33,20.83,inf,True,r,0
59063.39,20.87,inf,True,r,0
59063.45,20.76,inf,True,g,0
59064.35,20.46,inf,True,r,0
59064.43,20.73,inf,True,r,0
59064.47,20.39,inf,True,g,0
59065.25,19.7,inf,True,g,0
59065.26,19.85,inf,True,g,0
59065.38,20.51,inf,True,r,0
59065.41,20.38,inf,True,r,0
59065.41,20.44,inf,True,r,0
59065.538885,19.5964,inf,True,orange,0
59066.37,20.41,inf,True,g,0
59066.38,20.5,inf,True,g,0
59066.45,20.64,inf,True,r,0
59067.37,20.75,inf,True,g,0
59067.38,20.84,inf,True,g,0
59067.42,21.01,inf,True,r,0
59068.39,21.16,inf,True,r,0
59068.39,21.16,inf,True,r,0
59068.46,20.81,inf,True,g,0
59069.31,21.06,inf,True,g,0
59069.41,21.4,inf,True,r,0
59069.411971,19.5006,inf,True,orange,0
59069.45,21.3,inf,True,r,0
59070.31,21.38,inf,True,r,0
59070.33,21.36,inf,True,g,0
59071.34,21.42,inf,True,r,0
59071.34,21.49,inf,True,r,0
59071.39,21.47,inf,True,r,0
59071.43,21.22,inf,True,g,0
59071.43,21.32,inf,True,g,0
59071.43,21.41,inf,True,g,0
59071.452392,19.7394,inf,True,orange,0
59072.33,21.78,inf,True,r,0
59072.42,21.37,inf,True,g,0
59073.31,21.79,inf,True,r,0
59073.33,21.7,inf,True,g,0
59073.34,21.57,inf,True,g,0
59073.511749,20.28,inf,True,orange,0
59075.33,21.69,inf,True,r,0
