mjd,mag,mag_err,UL,filter,System,detected
59079.574937,19.8028,,True,orange,AB,0
59083.544403,19.8034,,True,orange,AB,0
59115.439082,19.8579,,True,orange,AB,0
59131.435474,19.8404,,True,orange,AB,0
59137.452773,20.2515,,True,cyan,AB,0
59141.440135,19.8398,,True,cyan,AB,0
59145.43885,19.9105,0.2208,False,cyan,AB,1
59147.363554,19.0116,,True,orange,AB,0
59157.436408,18.9777,0.2346,False,orange,AB,1
59161.425522,18.8241,0.1531,False,orange,AB,1
59163.420928,18.9474,0.1624,False,orange,AB,1
59169.374537,18.8835,0.0901,False,cyan,AB,1
59181.399707,18.9391,0.2319,False,orange,AB,1
59183.340867,19.1162,0.2819,False,orange,AB,1
59185.34009,19.2205,0.2574,False,orange,AB,1
59187.311472,19.3283,0.2508,False,orange,AB,1
59191.312515,19.7183,0.3247,False,orange,AB,1
59193.314415,19.4562,0.1832,False,cyan,AB,1
59195.297402,19.7266,0.1957,False,cyan,AB,1
59197.292071,19.6383,0.2352,False,cyan,AB,1
59203.307412,19.4938,0.1956,False,orange,AB,1
59205.29968,19.6511,0.3266,False,orange,AB,1
59207.288224,19.5295,0.2327,False,orange,AB,1
59219.268157,19.763,0.1925,False,cyan,AB,1
59227.265237,20.1975,0.2818,False,cyan,AB,1
59229.251583,19.9968,0.2895,False,cyan,AB,1
59231.268423,19.6382,0.1863,False,cyan,AB,1
59243.233285,19.4084,,True,orange,AB,0
59245.226417,19.1792,,True,orange,AB,0
