mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59139.310642,20.202,,True,cyan,AB,0,cyan,5182.42
59141.27377,19.9387,,True,orange,AB,0,orange,6629.82
59143.241522,19.7248,,True,orange,AB,0,orange,6629.82
59145.300266,19.8777,,True,orange,AB,0,orange,6629.82
59147.301747,19.7252,,True,orange,AB,0,orange,6629.82
59153.296148,19.2528,,True,orange,AB,0,orange,6629.82
59154.333936,19.1239,,True,orange,AB,0,orange,6629.82
59157.244971,19.9319,,True,orange,AB,0,orange,6629.82
59159.218049,19.157,,True,cyan,AB,0,cyan,5182.42
59161.288488,19.5914,,True,orange,AB,0,orange,6629.82
59163.308083,20.038,,True,cyan,AB,0,cyan,5182.42
59165.259583,19.8831,,True,orange,AB,0,orange,6629.82
59169.24402,19.7058,,True,orange,AB,0,orange,6629.82
59181.196875,19.2834,,True,orange,AB,0,orange,6629.82
59185.236899,19.7565,,True,orange,AB,0,orange,6629.82
59187.242788,19.3465,,True,orange,AB,0,orange,6629.82
59193.217071,19.7177,,True,orange,AB,0,orange,6629.82
59194.602002,21.1953,,True,G,AB,0,G,5850.88
59195.222578,20.0265,,True,cyan,AB,0,cyan,5182.42
59201.210876,19.3482,,True,cyan,AB,0,cyan,5182.42
59209.217061,18.929,,True,orange,AB,0,orange,6629.82
59211.209237,18.8252,,True,orange,AB,0,orange,6629.82
59256.562442,18.2226,0.1138,False,r,AB,1,r,6141.12
59256.564826,18.103,0.1339,False,r,AB,1,r,6141.12
59256.56721,18.0685,0.1408,False,r,AB,1,r,6141.12
59258.560439,17.9115,0.3102,False,r,AB,1,r,6141.12
59258.5628,15.5974,,True,r,AB,0,r,6141.12
59258.56515,16.405,,True,r,AB,0,r,6141.12
59258.567511,15.5719,,True,r,AB,0,r,6141.12
59262.559178,17.716,0.0963,False,r,AB,1,r,6141.12
59262.561608,17.6411,0.1124,False,r,AB,1,r,6141.12
59262.564039,17.8213,0.1017,False,r,AB,1,r,6141.12
59263.560659,17.6636,0.1647,False,r,AB,1,r,6141.12
59263.563078,17.6304,0.1905,False,r,AB,1,r,6141.12
59264.554861,17.6408,0.0913,False,r,AB,1,r,6141.12
59264.557303,17.6518,0.0645,False,r,AB,1,r,6141.12
59264.559733,17.6519,0.0934,False,r,AB,1,r,6141.12
59264.562164,17.5606,0.0872,False,r,AB,1,r,6141.12
59265.555277,17.6997,0.098,False,r,AB,1,r,6141.12
59265.55765,17.6586,0.1197,False,r,AB,1,r,6141.12
59265.560023,17.6423,0.1361,False,r,AB,1,r,6141.12
59265.562395,17.5652,0.1248,False,r,AB,1,r,6141.12
59275.533055,17.3162,0.0639,False,r,AB,1,r,6141.12
59275.535995,17.3508,0.0837,False,r,AB,1,r,6141.12
59275.538935,17.3382,0.049,False,r,AB,1,r,6141.12
59275.541886,17.3658,0.0682,False,r,AB,1,r,6141.12
59275.546713,17.3314,0.0602,False,r,AB,1,r,6141.12
59276.533749,17.3337,0.0583,False,r,AB,1,r,6141.12
59276.536666,17.3602,0.0738,False,r,AB,1,r,6141.12
59276.539606,17.334,0.0583,False,r,AB,1,r,6141.12
59276.542534,17.3494,0.0548,False,r,AB,1,r,6141.12
59276.545462,17.3559,0.0606,False,r,AB,1,r,6141.12
59278.535046,17.3433,0.0743,False,r,AB,1,r,6141.12
59278.538009,17.3253,0.0739,False,r,AB,1,r,6141.12
59278.540972,17.2813,0.0658,False,r,AB,1,r,6141.12
59278.543946,17.3035,0.0623,False,r,AB,1,r,6141.12
59278.546909,17.3039,0.0877,False,r,AB,1,r,6141.12
59280.52956,17.262,0.0568,False,r,AB,1,r,6141.12
59280.532025,17.2621,0.0562,False,r,AB,1,r,6141.12
59280.534502,17.2848,0.0491,False,r,AB,1,r,6141.12
59280.536967,17.2683,0.0701,False,r,AB,1,r,6141.12
59280.539444,17.3136,0.0771,False,r,AB,1,r,6141.12
59282.529374,17.265,0.049,False,r,AB,1,r,6141.12
59282.53184,17.29,0.0412,False,r,AB,1,r,6141.12
59282.534317,17.2813,0.0527,False,r,AB,1,r,6141.12
59282.536793,17.2737,0.0475,False,r,AB,1,r,6141.12
59282.53927,17.2194,0.0524,False,r,AB,1,r,6141.12
59293.635236,17.5242,0.0451,False,orange,AB,1,orange,6629.82
59300.469224,17.6184,0.0836,False,r,AB,1,r,6141.12
59300.505821,17.5287,0.1435,False,g,AB,1,g,4746.48
59303.619273,17.714,0.0651,False,orange,AB,1,orange,6629.82
59305.465266,17.7605,0.0987,False,r,AB,1,r,6141.12
59305.502013,17.7093,0.0727,False,g,AB,1,g,4746.48
59308.476273,17.8746,0.0807,False,g,AB,1,g,4746.48
59308.501006,17.9091,0.0951,False,r,AB,1,r,6141.12
59311.456157,18.019,0.108,False,g,AB,1,g,4746.48
59311.495694,17.9673,0.0775,False,r,AB,1,r,6141.12
59313.09645,18.0353,0.024,False,G,AB,1,G,5850.88
59313.17045,18.0453,0.0241,False,G,AB,1,G,5850.88
59314.477905,18.0039,0.0661,False,r,AB,1,r,6141.12
59314.477905,18.004,0.0661,False,r,AB,1,r,6141.12
59314.497569,18.1704,0.0761,False,g,AB,1,g,4746.48
59314.497569,18.1705,0.0761,False,g,AB,1,g,4746.48
59317.456863,18.0723,0.0866,False,r,AB,1,r,6141.12
59317.484039,18.2666,0.0782,False,g,AB,1,g,4746.48
59317.606947,18.2402,0.0763,False,cyan,AB,1,cyan,5182.42
59319.60802,18.1833,0.0786,False,orange,AB,1,orange,6629.82
59320.456377,18.3875,0.0982,False,g,AB,1,g,4746.48
59320.490682,18.1819,0.0862,False,r,AB,1,r,6141.12
59321.2025,18.1272,,False,B,Vega,1,B,4357.405
59321.2064,18.5953,,False,V,Vega,1,V,5439.51
59321.618107,18.444,0.0767,False,cyan,AB,1,cyan,5182.42
59323.473541,18.677,0.1126,False,g,AB,1,g,4746.48
59323.490347,18.3899,0.0921,False,r,AB,1,r,6141.12
59323.575012,18.294,0.0883,False,orange,AB,1,orange,6629.82
59327.559236,18.7902,0.1834,False,orange,AB,1,orange,6629.82
59328.1531,17.3265,,False,B,Vega,1,B,4357.405
59328.1546,17.7344,,False,V,Vega,1,V,5439.51
