mjd,mag,mag_err,UL,filter,detected
59179.624449,19.9452,inf,True,orange,0
59181.547198,19.7139,inf,True,orange,0
59183.562244,19.2478,inf,True,orange,0
59184.539029,19.4597,inf,True,orange,0
59185.606106,19.7808,inf,True,orange,0
59186.62554,19.4924,inf,True,orange,0
59187.615541,19.4129,inf,True,orange,0
59191.587406,19.766,inf,True,orange,0
59193.606066,19.6982,inf,True,orange,0
59194.631004,19.9411,inf,True,cyan,0
59195.60849,20.1657,inf,True,cyan,0
59197.530059,20.3487,inf,True,cyan,0
59205.55983,20.3466,inf,True,cyan,0
59207.544741,20.3088,inf,True,cyan,0
59209.561481,19.8858,inf,True,orange,0
59212.523036,19.4904,inf,True,orange,0
59214.472506,19.3807,inf,True,orange,0
59219.598585,19.6911,inf,True,orange,0
59221.618907,19.7297,inf,True,orange,0
59222.394618,20.7529,inf,True,g,0
59222.442395,20.2935,inf,True,r,0
59222.501041,20.1657,inf,True,cyan,0
59224.454293,19.9409,inf,True,g,0
59224.49221,20.2671,inf,True,r,0
59226.456898,20.4442,inf,True,g,0
59226.487222,20.3515,inf,True,r,0
59227.619558,20.1515,inf,True,cyan,0
59228.435463,20.717,inf,True,g,0
59228.467453,20.479,inf,True,r,0
59229.578579,20.175,inf,True,cyan,0
59230.457048,20.5156,inf,True,r,0
59230.471886,20.7083,inf,True,g,0
59231.435825,20.3887,inf,True,cyan,0
59232.415231,20.6027,inf,True,r,0
59232.433449,20.815,inf,True,g,0
59235.554834,19.4079,inf,True,cyan,0
59238.543713,19.4353,inf,True,orange,0
59249.287604,18.9653,inf,True,g,0
59249.350995,19.5187,inf,True,r,0
59249.351053,19.5251,inf,True,r,0
59249.654585,19.6708,0.3575,False,orange,1
59250.414305,20.2422,0.24,False,g,1
59251.406898,20.1157,0.1875,False,g,1
59251.447916,20.1523,0.2244,False,r,1
59251.551181,19.8731,0.3305,False,orange,1
59252.529207,19.9274,0.2476,False,cyan,1
59253.349606,20.0375,0.1493,False,r,1
59253.36199,20.0565,0.1718,False,g,1
59253.40584,19.5731,inf,True,cyan,0
59255.363078,19.9761,0.1473,False,g,1
59255.452845,19.5764,inf,True,cyan,0
59257.413402,20.0376,0.2062,False,r,1
59257.490509,20.1537,0.2331,False,cyan,1
59261.442337,19.848,0.1794,False,cyan,1
59262.326493,19.7889,0.1292,False,g,1
59262.339386,19.9965,0.181,False,r,1
59264.29743,19.8956,0.1796,False,r,1
59264.329791,19.7879,0.1775,False,g,1
59266.306643,19.8751,0.1827,False,g,1
59266.331111,19.8423,0.339,False,r,1
59267.463479,19.3887,inf,True,orange,0
59268.22133,19.7218,0.1904,False,g,1
59268.322812,19.8074,0.1501,False,r,1
59270.287696,19.9522,0.3421,False,g,1
59270.320833,19.8403,0.3461,False,r,1
59272.280173,18.9539,inf,True,r,0
59272.381041,18.9189,inf,True,g,0
59274.201805,18.8037,inf,True,g,0
59274.382384,19.253,inf,True,r,0
59276.234976,19.5755,0.1234,False,g,1
59277.460559,19.2061,inf,True,orange,0
59280.235937,19.5954,0.1095,False,g,1
59280.235937,19.5954,0.1095,False,g,1
59280.281238,19.7006,0.1269,False,r,1
59280.281238,19.7006,0.1269,False,r,1
59290.258541,19.6684,0.1187,False,r,1
59290.312384,19.695,0.127,False,g,1
59291.440301,19.642,0.1944,False,cyan,1
59292.311331,19.6527,0.1627,False,g,1
59292.340694,19.7495,0.1266,False,r,1
59293.431007,19.1351,inf,True,orange,0
59296.319143,19.5249,0.2816,False,g,1
59296.338831,19.9149,0.3112,False,r,1
59301.258125,18.975,inf,True,g,0
59301.299629,19.2635,0.2452,False,r,1
59303.259305,19.725,0.2388,False,g,1
59303.323958,19.7822,inf,True,r,0
59303.390564,19.4374,0.2658,False,orange,1
59305.451158,19.8015,0.3366,False,orange,1
59306.25177,19.7716,0.1366,False,r,1
59306.304733,19.6635,0.1285,False,g,1
59308.228148,19.7803,0.1297,False,r,1
59308.265902,19.8196,0.1157,False,g,1
59309.35113,19.8612,0.2362,False,cyan,1
59310.248657,19.7562,0.1441,False,g,1
59310.311944,19.7424,0.2364,False,r,1
59312.23662,19.7434,0.1772,False,g,1
59312.290046,19.7278,0.1492,False,r,1
59313.379341,20.0355,0.3098,False,cyan,1
59314.2364,19.8152,0.133,False,g,1
59314.268368,19.8111,0.1374,False,r,1
59316.288784,19.7858,0.1381,False,r,1
59316.332291,19.9875,0.1402,False,g,1
59319.213182,19.7317,0.1638,False,r,1
59319.270868,19.9503,inf,True,g,0
59319.325759,19.8126,0.3176,False,orange,1
59321.334073,19.7079,0.2102,False,orange,1
59322.19353,19.8656,0.1872,False,g,1
59322.237662,20.0454,0.2358,False,r,1
59323.311249,19.2076,inf,True,orange,0
59324.214525,19.7864,0.1852,False,r,1
59324.214525,19.7864,0.1852,False,r,1
59328.21537,19.4105,inf,True,g,0
59328.23412,19.6594,0.2546,False,r,1
59329.348602,19.2521,inf,True,orange,0
59334.1764,20.0998,0.1626,False,g,1
59334.284745,19.841,0.1455,False,r,1
59335.318227,19.7808,0.3138,False,orange,1
59336.194039,19.8904,0.1451,False,r,1
59336.194039,19.8904,0.1451,False,r,1
59336.246909,20.2834,0.2081,False,g,1
59336.246909,20.2834,0.2081,False,g,1
59338.196018,20.1783,0.191,False,g,1
59338.217719,19.9341,0.1299,False,r,1
59340.195057,20.33,0.1967,False,g,1
59340.25905,20.1216,0.201,False,r,1
59342.223125,20.2917,0.1744,False,g,1
59342.267835,20.2551,inf,True,r,0
59344.180544,20.4638,0.1766,False,g,1
59344.220381,20.0725,0.1677,False,r,1
59346.196608,20.1205,0.1849,False,r,1
59346.351909,19.6247,inf,True,g,0
59348.206724,20.0184,0.1449,False,r,1
59348.234536,20.309,0.2002,False,g,1
59350.203472,20.5257,0.331,False,g,1
59350.22493,19.9762,0.2788,False,r,1
59355.218969,19.4745,inf,True,r,0
59358.245393,19.189,inf,True,g,0
59359.264443,19.5761,0.3284,False,orange,1
59361.19787,19.8948,inf,True,r,0
59361.287372,18.8086,inf,True,g,0
59363.194178,19.9705,0.1541,False,r,1
59363.223888,20.7345,0.2856,False,g,1
59363.314734,19.9367,0.2778,False,orange,1
59365.187222,20.0995,0.2335,False,r,1
59365.201307,20.6655,0.2509,False,g,1
59367.204965,20.0615,0.188,False,r,1
59367.260647,19.7876,0.3459,False,orange,1
59369.33364,19.8924,inf,True,cyan,0
59371.297759,19.324,inf,True,orange,0
59373.298496,19.6719,inf,True,cyan,0
59377.251984,19.644,inf,True,cyan,0
59397.266567,19.2034,inf,True,orange,0
59509.612756,19.5233,inf,True,orange,0
59525.586053,19.4945,inf,True,orange,0
59526.633024,19.9407,inf,True,orange,0
59528.635944,20.121,inf,True,cyan,0
59536.623268,19.5935,inf,True,orange,0
59538.633813,19.4815,inf,True,orange,0
59539.640052,19.5388,inf,True,orange,0
59540.638368,19.155,inf,True,orange,0
59541.565271,19.5681,inf,True,orange,0
59543.555364,19.6891,inf,True,orange,0
59544.628361,19.6883,inf,True,orange,0
59545.582765,19.5233,inf,True,orange,0
59561.592807,20.0242,inf,True,orange,0
59562.626358,19.9063,inf,True,orange,0
59564.63557,19.5159,inf,True,orange,0
59565.514865,19.6299,inf,True,orange,0
59573.556693,19.6528,inf,True,orange,0
59587.529505,20.2614,inf,True,cyan,0
59589.304687,20.715,inf,True,g,0
59589.3125,20.737,inf,True,g,0
59589.316406,20.8757,inf,True,r,0
59589.316406,20.9922,inf,True,r,0
59589.320312,20.5998,inf,True,i,0
59589.324218,20.6816,inf,True,i,0
59589.493601,19.5976,inf,True,orange,0
59591.474467,19.5149,inf,True,orange,0
59593.531942,19.7963,inf,True,orange,0
59594.467042,19.6272,inf,True,orange,0
59601.523437,20.0536,inf,True,g,0
59601.527343,19.9157,inf,True,g,0
59601.53125,21.1819,inf,True,r,0
59601.535156,21.2699,inf,True,r,0
59601.539062,20.6461,inf,True,i,0
59601.542968,20.8538,inf,True,i,0
59601.57301,19.6543,inf,True,orange,0
59603.554707,19.587,inf,True,orange,0
59606.475126,19.8957,inf,True,orange,0
59607.472432,19.6072,inf,True,orange,0
59609.462216,19.9497,inf,True,orange,0
59610.513461,19.9114,inf,True,orange,0
59612.464054,19.896,inf,True,orange,0
59613.53932,20.3167,inf,True,cyan,0
59614.45463,20.2849,inf,True,cyan,0
59615.466059,19.8908,inf,True,orange,0
59616.378744,19.8498,inf,True,orange,0
59617.434966,20.0786,inf,True,cyan,0
59618.491739,19.5794,inf,True,cyan,0
59619.534084,20.1281,inf,True,orange,0
59620.406368,20.0598,inf,True,orange,0
59621.44049,20.2225,inf,True,orange,0
59622.374068,19.7926,inf,True,orange,0
59623.402008,20.1217,inf,True,orange,0
59624.404385,19.2311,inf,True,orange,0
59629.632303,19.3077,inf,True,orange,0
59630.511658,19.9118,inf,True,orange,0
59631.398334,19.8729,inf,True,orange,0
59632.519638,19.0946,inf,True,orange,0
59633.413576,19.7887,inf,True,cyan,0
59633.463707,19.1167,inf,True,orange,0
59634.550262,19.8585,inf,True,orange,0
