mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59106.551712,20.4184,,True,cyan,AB,0,cyan,5182.42
59108.523983,19.9592,,True,orange,AB,0,orange,6629.82
59109.512556,20.1442,,True,cyan,AB,0,cyan,5182.42
59110.538925,20.4624,,True,cyan,AB,0,cyan,5182.42
59112.514469,19.9596,,True,orange,AB,0,orange,6629.82
59113.497661,20.2856,,True,cyan,AB,0,cyan,5182.42
59114.538229,20.4395,,True,cyan,AB,0,cyan,5182.42
59117.466122,20.4146,,True,cyan,AB,0,cyan,5182.42
59119.487614,19.7702,,True,orange,AB,0,orange,6629.82
59120.451054,19.6778,,True,orange,AB,0,orange,6629.82
59121.431997,19.7165,,True,orange,AB,0,orange,6629.82
59123.45738,19.6268,,True,orange,AB,0,orange,6629.82
59128.56805,19.7773,,True,orange,AB,0,orange,6629.82
59130.601071,19.9008,,True,orange,AB,0,orange,6629.82
59132.479163,19.9363,,True,orange,AB,0,orange,6629.82
59134.595679,19.653,,True,orange,AB,0,orange,6629.82
59136.480516,20.119,,True,orange,AB,0,orange,6629.82
59138.471293,19.3975,,True,cyan,AB,0,cyan,5182.42
59140.466244,20.3046,,True,orange,AB,0,orange,6629.82
59142.433877,20.2249,,True,cyan,AB,0,cyan,5182.42
59144.44151,19.8223,,True,orange,AB,0,orange,6629.82
59146.514385,20.0486,,True,cyan,AB,0,cyan,5182.42
59147.430751,19.925,,True,orange,AB,0,orange,6629.82
59148.434048,19.1986,,True,orange,AB,0,orange,6629.82
59156.481549,19.4936,,True,orange,AB,0,orange,6629.82
59157.498256,19.4626,,True,orange,AB,0,orange,6629.82
59160.460069,19.8735,,True,orange,AB,0,orange,6629.82
59161.490385,19.8693,,True,orange,AB,0,orange,6629.82
59164.57664,19.4267,,True,orange,AB,0,orange,6629.82
59170.470309,20.7605,,True,cyan,AB,0,cyan,5182.42
59173.433903,20.6577,,True,cyan,AB,0,cyan,5182.42
59178.498143,19.0949,,True,orange,AB,0,orange,6629.82
59179.370241,19.7605,,True,orange,AB,0,orange,6629.82
59184.47632,19.5758,,True,orange,AB,0,orange,6629.82
59186.418328,19.6014,,True,orange,AB,0,orange,6629.82
59188.214351,19.4888,,True,g,AB,0,g,4671.78
59188.277951,19.6836,,True,r,AB,0,r,6141.12
59188.279363,19.7943,,True,r,AB,0,r,6141.12
59189.401594,19.7314,,True,orange,AB,0,orange,6629.82
59190.182372,20.011,,True,r,AB,0,r,6141.12
59190.194143,20.1126,,True,r,AB,0,r,6141.12
59190.282511,20.0498,,True,g,AB,0,g,4671.78
59190.361248,20.4386,,True,cyan,AB,0,cyan,5182.42
59191.342078,19.7878,,True,orange,AB,0,orange,6629.82
59192.404472,19.7339,,True,orange,AB,0,orange,6629.82
59193.190254,19.0819,,True,g,AB,0,g,4671.78
59193.195416,19.3505,,True,g,AB,0,g,4671.78
59193.232268,20.0643,,True,r,AB,0,r,6141.12
59193.256296,20.2003,,True,r,AB,0,r,6141.12
59193.371599,20.4146,,True,cyan,AB,0,cyan,5182.42
59194.373304,20.5096,,True,cyan,AB,0,cyan,5182.42
59195.227858,20.0388,,True,r,AB,0,r,6141.12
59195.247893,20.1575,,True,g,AB,0,g,4671.78
59195.259178,20.0813,,True,r,AB,0,r,6141.12
59195.288472,17.1093,,True,g,AB,0,g,4671.78
59195.379452,20.3831,,True,cyan,AB,0,cyan,5182.42
59196.426044,19.9565,,True,cyan,AB,0,cyan,5182.42
59198.152557,19.5628,,True,g,AB,0,g,4671.78
59198.212141,19.5517,,True,r,AB,0,r,6141.12
59198.232442,19.3064,,True,r,AB,0,r,6141.12
59198.296967,19.8127,,True,g,AB,0,g,4671.78
59198.369779,19.8647,,True,cyan,AB,0,cyan,5182.42
59200.189571,19.5678,,True,g,AB,0,g,4671.78
59200.22853,20.3168,,True,g,AB,0,g,4671.78
59200.232326,20.1885,,True,r,AB,0,r,6141.12
59200.233263,19.979,,True,r,AB,0,r,6141.12
59200.37818,20.3692,,True,cyan,AB,0,cyan,5182.42
