mjd,mag,mag_err,UL,filter,System,detected
59120.199218,20.2073,,True,r,AB,0
59120.222656,19.5338,,True,g,AB,0
59121.171875,20.8819,,True,r,AB,0
59121.179687,19.9258,,True,g,AB,0
59122.207031,20.333,,True,r,AB,0
59123.113281,20.1061,,True,g,AB,0
59124.136718,19.8663,,True,g,AB,0
59125.117187,20.6718,,True,r,AB,0
59125.199218,19.7077,,True,g,AB,0
59128.15625,20.8654,,True,g,AB,0
59128.217624,19.8601,,True,orange,AB,0
59129.117187,20.6729,,True,r,AB,0
59130.136718,20.6095,,True,r,AB,0
59130.15625,20.3619,,True,g,AB,0
59130.269779,20.0799,,True,orange,AB,0
59131.203125,20.2545,,True,g,AB,0
59132.263213,20.258,,True,cyan,AB,0
59134.160156,20.1894,,True,r,AB,0
59134.21875,21.691,,True,g,AB,0
59134.260065,19.9942,,True,orange,AB,0
59135.117187,20.7814,,True,g,AB,0
59135.171875,21.5406,0.3803,False,r,AB,1
59136.144531,20.5024,,True,g,AB,0
59136.164062,20.665,,True,r,AB,0
59137.136718,20.7404,,True,g,AB,0
59137.144531,21.2798,,True,r,AB,0
59138.207031,19.6733,,True,g,AB,0
59138.248923,20.2337,,True,orange,AB,0
59139.132812,20.6931,,True,r,AB,0
59139.148437,20.6503,,True,g,AB,0
59140.1875,20.2047,,True,g,AB,0
59140.242513,20.1433,,True,cyan,AB,0
59141.132812,20.6323,,True,r,AB,0
59142.117187,20.5333,,True,g,AB,0
59142.132812,20.8074,,True,r,AB,0
59143.15625,20.5154,,True,g,AB,0
59144.136718,20.2395,,True,g,AB,0
59145.144531,20.2603,,True,g,AB,0
59145.152343,21.6604,0.4088,False,r,AB,1
59146.109375,20.2401,,True,r,AB,0
59148.208027,20.0508,,True,orange,AB,0
59150.117187,19.9626,,True,r,AB,0
59150.15625,19.5482,,True,g,AB,0
59152.117187,20.1187,,True,g,AB,0
59153.082031,20.1079,,True,r,AB,0
59153.136718,19.7089,,True,g,AB,0
59154.160156,19.6676,,True,r,AB,0
59154.208986,19.6154,,True,orange,AB,0
59155.132812,19.6547,,True,g,AB,0
59156.234046,20.1169,,True,orange,AB,0
59157.09375,21.1371,0.3359,False,r,AB,1
59162.208186,20.2362,,True,orange,AB,0
59226.51037,20.0343,0.2768,False,r,AB,1
59226.549502,20.3537,,True,g,AB,0
59226.550781,20.4512,0.198,False,g,AB,1
59228.512013,20.1696,,True,g,AB,0
59230.549467,19.9423,,True,r,AB,0
59230.653241,20.3596,0.3349,False,cyan,AB,1
59232.512453,20.0248,0.2013,False,r,AB,1
59232.546875,20.4668,0.2673,False,g,AB,1
59232.548611,20.5691,0.2512,False,g,AB,1
59249.514016,19.8359,0.226,False,r,AB,1
59249.544849,20.6867,0.332,False,g,AB,1
59249.546875,20.3577,0.1609,False,g,AB,1
59250.515625,19.8488,0.1841,False,i,AB,1
59252.535439,20.4418,0.2184,False,g,AB,1
59254.536006,18.1005,,True,g,AB,0
59256.625597,20.1315,0.2235,False,cyan,AB,1
59258.526331,20.3685,0.2136,False,g,AB,1
59258.527343,20.2017,0.1564,False,g,AB,1
59262.591897,20.3276,0.2711,False,cyan,AB,1
59263.492453,19.8074,0.2624,False,r,AB,1
59263.538854,20.4163,0.3762,False,g,AB,1
59266.520636,19.634,,True,g,AB,0
59266.531354,19.6634,0.3062,False,r,AB,1
59267.511718,20.2101,0.2752,False,i,AB,1
59268.447233,19.9042,0.2096,False,r,AB,1
59268.449218,19.6683,0.2996,False,r,AB,1
59268.513564,20.2565,0.1987,False,g,AB,1
59268.515625,20.141,0.1223,False,g,AB,1
59270.45206,18.9036,,True,g,AB,0
59270.511718,19.8328,0.1928,False,r,AB,1
59270.512673,19.7955,0.2677,False,r,AB,1
59270.583427,19.6826,0.2782,False,orange,AB,1
59272.432453,18.7458,,True,g,AB,0
59272.494791,19.5945,0.2358,False,r,AB,1
59272.496093,19.7423,0.1531,False,r,AB,1
59274.468506,18.948,,True,g,AB,0
59274.53125,19.5315,0.1607,False,r,AB,1
59275.527343,20.0326,0.2275,False,r,AB,1
59280.41059,20.1201,0.2937,False,g,AB,1
59280.454421,19.8871,0.1696,False,r,AB,1
59288.585205,20.2637,0.2557,False,cyan,AB,1
59290.429687,20.1492,0.1036,False,g,AB,1
59291.389143,19.8727,0.15,False,r,AB,1
59291.49074,20.2435,0.1949,False,g,AB,1
59291.492187,20.1586,0.0957,False,g,AB,1
59292.453125,20.0539,0.151,False,g,AB,1
59292.544245,20.5744,0.3407,False,cyan,AB,1
59294.625211,19.713,0.2487,False,orange,AB,1
59295.326076,19.2092,,True,g,AB,0
59295.491145,19.8015,0.1562,False,r,AB,1
59297.347696,19.1579,,True,g,AB,0
59297.428379,19.7358,0.2248,False,r,AB,1
59297.429687,19.7426,0.3005,False,r,AB,1
59298.40625,20.0517,0.2687,False,r,AB,1
59298.59829,19.9443,0.2689,False,orange,AB,1
59301.390428,19.1094,,True,r,AB,0
59301.464942,19.2819,,True,g,AB,0
59303.412002,19.3421,,True,g,AB,0
59303.414062,19.8796,0.2925,False,g,AB,1
59303.445312,20.0223,0.1966,False,r,AB,1
59303.446932,20.0973,0.3102,False,r,AB,1
59303.496093,20.4734,0.316,False,i,AB,1
59304.549078,19.3389,,True,orange,AB,0
59306.414062,20.4338,0.1969,False,i,AB,1
59306.429687,21.0007,0.3558,False,g,AB,1
59306.430393,20.4373,0.3177,False,g,AB,1
59306.488506,20.0306,0.2513,False,r,AB,1
59308.402343,20.3167,0.1468,False,g,AB,1
59308.402696,20.33,0.214,False,g,AB,1
59310.472656,20.6502,0.1371,False,g,AB,1
59310.57504,19.5789,,True,orange,AB,0
59312.371093,20.5291,0.182,False,i,AB,1
59312.429687,20.8631,0.2362,False,g,AB,1
59314.498207,19.8865,,True,cyan,AB,0
59316.390625,21.2228,0.2593,False,g,AB,1
59318.565002,20.0728,,True,cyan,AB,0
59319.429687,21.0141,0.195,False,g,AB,1
59319.492187,20.4989,0.3694,False,i,AB,1
59320.548956,19.4914,,True,orange,AB,0
59322.28125,20.945,0.32,False,r,AB,1
59322.429687,21.1264,0.223,False,g,AB,1
59322.499799,20.1047,,True,cyan,AB,0
59324.261718,20.3468,0.2649,False,r,AB,1
59324.410156,21.1262,0.2337,False,g,AB,1
59324.563968,19.63,,True,orange,AB,0
59326.516141,19.5015,,True,orange,AB,0
59328.484437,19.9091,,True,orange,AB,0
59330.527929,19.0738,,True,orange,AB,0
59332.576428,19.6535,,True,orange,AB,0
59334.502575,19.7472,,True,orange,AB,0
59338.367187,20.6752,0.2571,False,i,AB,1
59339.386718,21.0599,0.2396,False,g,AB,1
59342.394531,21.2975,0.162,False,g,AB,1
59342.485099,19.4032,,True,orange,AB,0
59344.363281,20.6869,0.2609,False,i,AB,1
59346.491304,19.9744,,True,orange,AB,0
59348.605468,19.9484,,True,cyan,AB,0
59350.481966,19.7743,,True,orange,AB,0
59354.510745,19.7938,,True,orange,AB,0
59356.462306,19.7395,,True,orange,AB,0
59358.450712,19.8702,,True,orange,AB,0
59360.43895,20.3999,0.3586,False,orange,AB,1
59362.5088,19.5525,,True,orange,AB,0
59363.367187,20.6529,0.201,False,r,AB,1
59364.453045,19.8948,,True,orange,AB,0
59365.390625,20.5949,0.2401,False,i,AB,1
59366.566948,19.6535,,True,orange,AB,0
59368.332031,20.7423,0.3256,False,i,AB,1
59368.415618,19.7813,,True,orange,AB,0
59372.433491,19.8662,,True,orange,AB,0
59376.463801,19.7007,,True,orange,AB,0
59384.441276,20.5248,0.3447,False,orange,AB,1
59386.265625,20.8673,0.406,False,i,AB,1
59386.324218,21.0022,0.353,False,g,AB,1
59386.396623,19.8211,,True,orange,AB,0
59388.430114,19.8132,,True,orange,AB,0
59390.387894,19.6997,,True,orange,AB,0
59391.359375,20.5481,0.2259,False,i,AB,1
59392.382565,19.5109,,True,orange,AB,0
59394.261718,20.7254,0.2667,False,i,AB,1
59394.347656,20.8511,0.335,False,g,AB,1
59394.436994,19.9013,,True,orange,AB,0
59396.304687,21.6137,0.3284,False,g,AB,1
59398.42694,20.0599,,True,orange,AB,0
59399.289062,21.2866,0.179,False,g,AB,1
59402.431052,19.8458,,True,orange,AB,0
59404.429511,20.1105,,True,cyan,AB,0
59405.324218,21.206,0.4017,False,g,AB,1
59406.392636,19.938,,True,orange,AB,0
59408.424663,20.1589,,True,cyan,AB,0
59410.391368,19.9047,,True,orange,AB,0
59412.373203,20.1388,,True,orange,AB,0
59414.371371,19.8594,,True,orange,AB,0
59416.368752,19.0376,,True,orange,AB,0
59418.385202,19.3398,,True,orange,AB,0
59420.353965,19.7634,,True,orange,AB,0
59422.37564,19.6783,,True,orange,AB,0
59424.349749,19.6175,,True,orange,AB,0
59426.319349,20.3504,,True,cyan,AB,0
59428.469338,20.2051,,True,orange,AB,0
59429.308593,21.2472,0.2214,False,g,AB,1
59430.34681,20.029,,True,cyan,AB,0
59432.365517,19.6854,,True,orange,AB,0
59434.242187,21.2096,0.2538,False,g,AB,1
59434.348837,20.0659,,True,cyan,AB,0
59436.347775,19.5951,,True,orange,AB,0
59438.34175,20.2902,,True,cyan,AB,0
59440.310776,19.9872,,True,orange,AB,0
59442.309967,19.8337,,True,orange,AB,0
59444.342552,19.725,,True,orange,AB,0
59446.311043,19.7807,,True,orange,AB,0
59448.301939,19.3686,,True,orange,AB,0
59452.285156,20.932,0.4036,False,g,AB,1
59452.316516,20.2175,,True,orange,AB,0
59453.195312,21.412,0.245,False,g,AB,1
59454.203125,20.9076,0.1899,False,g,AB,1
59454.299592,20.0832,,True,orange,AB,0
59456.283159,19.8349,,True,cyan,AB,0
59458.322204,19.8017,,True,orange,AB,0
59460.257812,20.9955,0.2577,False,g,AB,1
59460.317971,19.88,,True,cyan,AB,0
59461.207031,20.8537,0.2262,False,g,AB,1
59462.276228,19.8477,,True,orange,AB,0
59464.298038,20.5358,,True,cyan,AB,0
59464.304687,20.6437,0.2685,False,r,AB,1
59466.345853,19.6333,,True,orange,AB,0
59468.160156,21.4713,0.2447,False,g,AB,1
59468.306864,20.2687,,True,cyan,AB,0
59470.21875,20.7747,0.1669,False,g,AB,1
59470.258768,19.7688,,True,orange,AB,0
59476.258728,19.4284,,True,orange,AB,0
59478.236806,19.3731,,True,orange,AB,0
59480.242993,19.9542,,True,orange,AB,0
59484.275091,20.129,,True,orange,AB,0
59486.144531,20.9797,0.2482,False,g,AB,1
59486.290793,19.6107,,True,orange,AB,0
59488.26811,19.8932,,True,orange,AB,0
59490.175781,20.7522,0.234,False,g,AB,1
59490.267212,19.7166,,True,orange,AB,0
59492.268445,19.8903,,True,orange,AB,0
59494.215928,19.8911,,True,orange,AB,0
59498.140625,20.9124,0.2744,False,g,AB,1
59498.226321,19.4064,,True,orange,AB,0
59521.152343,20.708,0.2401,False,r,AB,1
59525.117187,20.8341,0.2689,False,g,AB,1
59525.140625,21.1077,0.286,False,r,AB,1
59529.136718,20.1097,,True,r,AB,0
59600.550781,19.4717,,True,g,AB,0
59623.472656,20.305,,True,r,AB,0
59623.535156,20.2605,,True,g,AB,0
59625.453125,19.8473,,True,r,AB,0
59628.492187,19.3831,,True,g,AB,0
