mjd,mag,mag_err,UL,filter,System,detected
59182.630103,19.5947,,True,orange,AB,0
59184.620096,19.8644,,True,orange,AB,0
59190.622844,20.0823,,True,orange,AB,0
59192.646034,19.7205,,True,orange,AB,0
59206.618441,21.1305,,True,cyan,AB,0
59208.646326,21.5003,,True,cyan,AB,0
59212.646201,19.3328,,True,orange,AB,0
59214.575466,19.9128,,True,orange,AB,0
59216.572749,19.8024,,True,orange,AB,0
59218.654285,19.9781,,True,orange,AB,0
59222.594503,20.2553,,True,orange,AB,0
59226.633319,21.1234,,True,cyan,AB,0
59228.636427,20.6419,,True,cyan,AB,0
59230.589184,20.9651,,True,cyan,AB,0
59238.541165,19.9167,,True,orange,AB,0
59238.581628,20.7361,,True,cyan,AB,0
59242.564624,19.8513,,True,orange,AB,0
59244.587411,19.6733,,True,orange,AB,0
59246.572449,20.1307,,True,orange,AB,0
59250.633347,20.616,,True,orange,AB,0
59252.570855,20.2764,,True,orange,AB,0
59254.573767,21.5038,,True,cyan,AB,0
59256.516718,21.2164,,True,cyan,AB,0
59258.555986,21.0987,,True,cyan,AB,0
59262.36956,20.5295,,True,r,AB,0
59262.49751,20.8524,,True,cyan,AB,0
59262.505578,20.5792,,True,g,AB,0
59264.404224,20.873,,True,g,AB,0
59264.518009,20.6169,,True,r,AB,0
59266.38559,20.0381,,True,r,AB,0
59266.491655,20.0746,,True,g,AB,0
59268.370729,20.1882,,True,r,AB,0
59268.496701,20.7612,,True,g,AB,0
59270.368194,19.6955,,True,r,AB,0
59270.405266,19.6166,,True,g,AB,0
59270.479388,20.0352,,True,orange,AB,0
59272.399907,19.2273,,True,g,AB,0
59272.445381,19.3682,,True,r,AB,0
59274.236076,18.4333,,True,g,AB,0
59274.403993,19.357,,True,r,AB,0
59276.391319,20.1022,,True,r,AB,0
59276.430451,19.9853,,True,g,AB,0
59276.633394,19.7943,,True,orange,AB,0
59278.515771,19.6727,,True,orange,AB,0
59280.311469,20.4705,,True,r,AB,0
59280.370601,20.5607,,True,g,AB,0
59280.370694,20.5625,,True,g,AB,0
59286.473258,19.8266,,True,orange,AB,0
59288.462704,20.9816,0.2728,False,cyan,AB,1
59290.369594,20.7037,,True,r,AB,0
59290.409919,21.0202,0.3159,False,g,AB,1
59292.326574,20.4606,0.2026,False,g,AB,1
59292.384317,20.6535,0.2746,False,r,AB,1
59292.421844,20.3785,0.1874,False,cyan,AB,1
59294.576891,19.4374,,True,orange,AB,0
59295.243414,20.4814,0.3333,False,r,AB,1
59295.296909,19.8894,,True,g,AB,0
59297.260497,19.5521,,True,r,AB,0
59297.306157,19.6406,,True,g,AB,0
59298.449988,19.6591,,True,orange,AB,0
59300.348229,19.1373,,True,g,AB,0
59302.259328,19.4437,,True,r,AB,0
59303.574004,19.8744,0.1,False,i,AB,1
59304.247384,19.8724,0.28,False,g,AB,1
59304.336157,19.6675,0.2417,False,r,AB,1
59304.39876,19.3499,,True,orange,AB,0
59306.54943,19.6996,0.2277,False,orange,AB,1
59307.26537,19.8683,0.1373,False,r,AB,1
59307.330161,19.8507,0.1431,False,g,AB,1
59308.443261,19.549,0.2301,False,orange,AB,1
59309.286909,19.7811,0.1274,False,r,AB,1
59309.32353,19.825,0.1947,False,g,AB,1
59310.4337,19.8956,0.0932,False,cyan,AB,1
59311.280648,19.7871,0.1272,False,g,AB,1
59311.32081,19.8269,0.1127,False,r,AB,1
