mjd,mag,mag_err,UL,filter,System,detected
59343.601374,19.5861,,True,cyan,AB,0
59349.591247,20.0783,,True,orange,AB,0
59353.580819,19.0422,,True,orange,AB,0
59359.604179,19.3642,,True,orange,AB,0
59364.580539,19.4624,,True,orange,AB,0
59367.576234,19.4634,,True,orange,AB,0
59373.404178,20.3183,0.2556,False,r,AB,1
59373.440613,19.8084,0.1756,False,g,AB,1
59375.414236,19.9401,0.1841,False,r,AB,1
59375.432708,19.852,0.182,False,g,AB,1
59377.43265,19.8389,0.1243,False,r,AB,1
59377.455486,19.6859,0.1536,False,g,AB,1
59377.587726,19.5959,0.1544,False,cyan,AB,1
59380.425729,17.9159,,True,g,AB,0
59380.452361,18.05,,True,r,AB,0
59381.583521,19.5176,0.1405,False,cyan,AB,1
59383.561709,19.746,0.2791,False,orange,AB,1
59384.36177,19.6348,0.2113,False,r,AB,1
59384.385567,19.4773,0.2715,False,g,AB,1
59386.380949,19.3882,0.2578,False,r,AB,1
59386.457743,19.3218,0.1455,False,g,AB,1
59386.554,19.499,0.03,False,w,AB,1
59386.574167,19.5201,0.2402,False,orange,AB,1
59387.587941,19.4336,0.1959,False,orange,AB,1
59388.526303,19.4527,0.2393,False,orange,AB,1
59389.552545,19.7168,0.3262,False,orange,AB,1
59390.529864,19.5727,0.3463,False,orange,AB,1
59391.403425,19.2419,0.1876,False,r,AB,1
59391.442199,19.2083,0.2228,False,g,AB,1
59393.366585,18.8695,,True,g,AB,0
59393.458425,19.371,0.1234,False,r,AB,1
59393.594125,19.5777,0.257,False,orange,AB,1
59396.402338,19.469,0.1515,False,r,AB,1
59396.434398,19.1236,0.1611,False,g,AB,1
59396.607249,19.3757,0.2064,False,orange,AB,1
59397.596073,19.558,0.2286,False,orange,AB,1
59399.385208,19.3633,0.0923,False,r,AB,1
59399.416597,16.9433,,True,g,AB,0
59400.538703,19.4746,0.1935,False,orange,AB,1
59401.435659,19.4457,0.1314,False,r,AB,1
59403.399143,19.3211,0.1308,False,g,AB,1
59403.422071,19.4421,0.1002,False,r,AB,1
59403.577346,19.4808,0.1434,False,cyan,AB,1
59404.5311,19.4424,0.1889,False,orange,AB,1
59405.42368,19.4627,0.0949,False,r,AB,1
59405.443888,19.3545,0.1281,False,g,AB,1
59407.422685,19.4358,0.1697,False,r,AB,1
59407.545872,19.4626,0.2679,False,cyan,AB,1
59409.421296,19.4052,0.1263,False,g,AB,1
59409.446134,19.4654,0.1072,False,r,AB,1
59409.561701,19.4854,0.1966,False,orange,AB,1
59411.401504,19.3507,0.1222,False,g,AB,1
59411.456886,19.5102,0.1176,False,r,AB,1
59413.546198,19.5974,0.2353,False,orange,AB,1
59414.422453,19.5755,0.1184,False,g,AB,1
59414.444629,19.5434,0.1119,False,r,AB,1
59415.530418,19.3375,0.1486,False,cyan,AB,1
59416.435798,19.2222,,True,r,AB,0
59417.572206,19.1898,,True,orange,AB,0
59419.405995,18.36,,True,g,AB,0
59419.4514,17.5564,,True,r,AB,0
59420.470752,19.5896,0.2622,False,orange,AB,1
59424.426018,19.5165,0.1913,False,g,AB,1
59424.578175,19.1777,0.3019,False,orange,AB,1
59425.57254,19.7401,0.2496,False,orange,AB,1
59426.385763,19.7181,0.1663,False,g,AB,1
59426.405752,19.7176,0.1455,False,r,AB,1
59428.383229,19.739,0.1093,False,r,AB,1
59428.427106,19.9347,0.1824,False,g,AB,1
59429.552701,20.1129,0.3158,False,orange,AB,1
59430.378958,19.9995,0.1408,False,r,AB,1
59430.407164,20.3894,0.2286,False,g,AB,1
59431.610612,19.7421,0.2653,False,orange,AB,1
59433.538912,19.878,,True,cyan,AB,0
59434.458578,19.7028,,True,orange,AB,0
59435.361134,20.4377,0.179,False,r,AB,1
59437.538248,19.9383,,True,cyan,AB,0
59438.468567,19.6839,,True,orange,AB,0
59440.473381,19.9581,,True,cyan,AB,0
59441.476835,20.0395,,True,cyan,AB,0
59442.459327,20.1545,,True,orange,AB,0
59444.41645,20.048,,True,orange,AB,0
59445.466268,19.7832,,True,orange,AB,0
59446.396677,19.2017,,True,orange,AB,0
59452.489743,20.012,,True,orange,AB,0
59453.473073,19.4586,,True,orange,AB,0
59455.426552,19.9815,,True,orange,AB,0
59457.412639,20.0284,,True,orange,AB,0
59461.424112,20.1731,,True,orange,AB,0
59462.406995,20.4645,,True,cyan,AB,0
59464.40925,20.1605,,True,orange,AB,0
59465.394662,20.0081,,True,orange,AB,0
59466.395473,20.3212,,True,cyan,AB,0
59467.400138,20.3755,,True,cyan,AB,0
59468.395013,20.0635,,True,orange,AB,0
59470.367827,19.5004,,True,orange,AB,0
59474.438395,19.7156,,True,orange,AB,0
59480.499368,19.3955,,True,orange,AB,0
59481.48003,19.7819,,True,orange,AB,0
59484.420362,19.8361,,True,orange,AB,0
59485.391328,19.6139,,True,orange,AB,0
59486.328325,20.1347,,True,orange,AB,0
59487.430165,20.1142,,True,orange,AB,0
59488.415106,19.571,,True,orange,AB,0
59489.523247,19.4229,,True,orange,AB,0
59491.407021,20.0436,,True,orange,AB,0
59492.437143,19.5693,,True,orange,AB,0
59493.437441,19.9218,,True,orange,AB,0
59496.385082,20.0025,,True,orange,AB,0
59497.458558,19.9631,,True,orange,AB,0
59501.40013,19.607,,True,orange,AB,0
59508.370584,18.9534,,True,orange,AB,0
59509.353154,19.6292,,True,orange,AB,0
59510.35872,19.8212,,True,orange,AB,0
59511.372373,19.5271,,True,orange,AB,0
59512.371827,19.7486,,True,orange,AB,0
59513.356022,20.0336,,True,orange,AB,0
59515.377959,20.1839,,True,cyan,AB,0
59516.418972,20.0271,,True,orange,AB,0
59517.348446,20.093,,True,orange,AB,0
59518.352363,20.4618,,True,cyan,AB,0
59519.353143,20.4094,,True,cyan,AB,0
59521.365029,19.9792,,True,orange,AB,0
59522.132812,22.3404,,True,g,AB,0
59522.136718,22.3126,,True,g,AB,0
59522.140625,22.4705,0.3081,False,r,AB,1
59522.144531,22.5526,0.4369,False,r,AB,1
59522.148437,21.9677,,True,i,AB,0
59522.152343,21.8028,,True,i,AB,0
59523.382085,19.8285,,True,cyan,AB,0
59525.290975,19.9867,,True,orange,AB,0
59526.121093,22.7561,0.3033,False,g,AB,1
59526.125,22.3571,,True,g,AB,0
59526.128906,22.2426,0.2983,False,r,AB,1
59526.132812,22.3523,0.2628,False,r,AB,1
59526.136718,22.2186,0.3888,False,i,AB,1
59526.140625,21.7776,,True,i,AB,0
59527.298611,19.8976,,True,orange,AB,0
59528.339409,19.469,,True,orange,AB,0
59530.101562,21.829,,True,g,AB,0
59530.105468,21.8715,,True,g,AB,0
59530.109375,22.0395,,True,r,AB,0
59530.109375,22.1625,,True,r,AB,0
59530.113281,21.6242,,True,i,AB,0
59530.117187,21.6675,,True,i,AB,0
59534.342292,19.2352,,True,orange,AB,0
59538.382633,19.4709,,True,orange,AB,0
59539.341415,19.9098,,True,orange,AB,0
59541.260311,19.9981,,True,orange,AB,0
59543.259835,19.946,,True,orange,AB,0
59545.315854,19.9712,,True,orange,AB,0
59546.329424,20.1002,,True,orange,AB,0
59551.271555,19.9552,,True,orange,AB,0
59552.3362,19.0237,,True,orange,AB,0
59560.281678,19.7759,,True,orange,AB,0
59561.31872,19.5802,,True,orange,AB,0
59564.233873,19.5423,,True,orange,AB,0
59565.259203,19.7599,,True,orange,AB,0
59593.243166,19.1455,,True,orange,AB,0
59600.223026,19.2409,,True,orange,AB,0
59708.606106,19.8012,,True,orange,AB,0
59711.603148,19.7952,,True,orange,AB,0
59721.600933,19.6837,,True,orange,AB,0
59727.59689,19.4522,,True,orange,AB,0
59729.595544,19.8098,,True,cyan,AB,0
59733.600449,19.9971,,True,cyan,AB,0
59736.574366,20.2982,,True,cyan,AB,0
59737.600791,20.1959,,True,cyan,AB,0
59740.576549,20.1641,,True,cyan,AB,0
59742.554338,19.5769,,True,orange,AB,0
59744.543089,19.3615,,True,orange,AB,0
59746.558143,19.3683,,True,orange,AB,0
59758.606193,19.8147,,True,orange,AB,0
59766.549261,20.3633,,True,orange,AB,0
59768.539684,20.0903,,True,cyan,AB,0
59769.097116,19.9128,,True,orange,AB,0
59770.510772,19.9736,,True,orange,AB,0
59772.533203,19.9362,,True,orange,AB,0
59773.036599,19.4136,,True,orange,AB,0
59774.484958,19.1955,,True,orange,AB,0
59781.119978,20.0561,,True,orange,AB,0
59783.342942,20.1001,,True,orange,AB,0
59784.527585,20.3983,,True,cyan,AB,0
59785.035259,20.8063,,True,cyan,AB,0
59786.510196,19.6146,,True,orange,AB,0
59787.491796,20.2691,,True,orange,AB,0
59788.506529,20.1344,,True,cyan,AB,0
59791.328807,20.4223,,True,cyan,AB,0
59792.506157,20.3113,,True,cyan,AB,0
59794.610385,19.9628,,True,orange,AB,0
59796.562695,20.475,,True,cyan,AB,0
59797.129689,20.3238,,True,cyan,AB,0
59799.251728,19.3165,,True,orange,AB,0
