mjd,mag,mag_err,UL,filter,detected
59353.60216,19.4493,,True,orange,0
59359.604769,18.9073,,True,orange,0
59367.602769,19.0373,,True,orange,0
59383.595098,19.3395,,True,orange,0
59385.430671,19.8895,,True,g,0
59388.583282,19.49,,True,orange,0
59390.452407,19.1507,,True,g,0
59391.575165,19.3429,,True,orange,0
59393.454652,19.7798,,True,r,0
59395.435196,18.9949,,True,g,0
59399.420659,18.8033,,True,g,0
59401.416504,20.1245,,True,g,0
59401.439664,20.0668,,True,r,0
59403.403391,20.2044,,True,g,0
59403.424444,20.4886,0.2279,False,r,1
59403.607232,19.5283,,True,cyan,0
59405.434305,20.2411,0.2434,False,r,1
59405.459178,20.1574,,True,g,0
59405.547011,19.0182,,True,orange,0
59407.564727,18.9859,,True,cyan,0
59408.446134,19.7598,,True,r,0
59408.46125,18.5464,,True,g,0
59409.551952,19.1199,,True,orange,0
59411.415231,20.4563,0.4087,False,g,1
59411.461388,19.7492,0.1293,False,r,1
59414.416643,20.0849,0.178,False,g,1
59414.457731,19.7493,0.1434,False,r,1
59415.565418,19.0409,,True,cyan,0
59416.420972,18.9926,,True,r,0
59417.549135,19.2153,,True,orange,0
59418.403993,19.1466,,True,r,0
59418.460474,18.909,,True,g,0
59420.521966,18.8194,0.2802,False,orange,1
59421.507528,19.1812,0.3553,False,orange,1
59422.412349,19.2166,0.1342,False,r,1
59422.471608,19.3972,,True,g,0
59425.61209,19.2792,0.2895,False,orange,1
59426.475011,19.3762,0.1507,False,g,1
59429.399351,18.9424,0.0693,False,r,1
59429.454409,19.2461,0.1061,False,g,1
59429.570667,19.0085,0.2137,False,orange,1
59431.578546,18.9042,0.1967,False,orange,1
59433.541791,18.9262,0.1791,False,cyan,1
59434.371319,18.8993,0.0747,False,r,1
59436.379502,18.8466,0.0751,False,r,1
59436.423506,18.906,0.0841,False,g,1
59437.486,18.7412,0.01,False,w,1
59437.574982,18.8319,0.1422,False,cyan,1
59439.421736,18.8328,0.1276,False,g,1
59439.462338,18.6844,0.0722,False,r,1
59441.530943,18.8285,0.1307,False,cyan,1
59442.424143,18.5893,0.0727,False,r,1
59442.463229,18.7159,0.1065,False,g,1
59443.62886,18.4437,0.2488,False,orange,1
59445.488117,18.6679,0.1906,False,orange,1
59446.361642,18.4986,0.2093,False,orange,1
59446.378877,18.5076,0.0863,False,r,1
59446.474571,18.6445,0.0808,False,g,1
59447.589121,18.5115,0.1563,False,orange,1
59448.460568,18.4387,0.1626,False,orange,1
59449.259189,18.5903,,True,g,0
59449.359178,17.9743,0.129,False,r,1
59453.39081,18.5511,0.0849,False,g,1
59453.462109,18.6872,0.2129,False,orange,1
59453.467939,18.4395,0.0707,False,r,1
59455.475604,18.3398,0.1431,False,orange,1
59455.636718,18.4411,0.0418,False,g,1
59455.640625,18.4316,0.0548,False,r,1
59455.644531,18.5193,0.0463,False,i,1
59457.479303,18.6157,0.1713,False,orange,1
59458.359224,18.4907,0.0682,False,r,1
59460.37449,18.5595,0.0676,False,r,1
59460.413472,18.64,0.0777,False,g,1
59461.464843,18.6248,0.0561,False,g,1
59461.46875,18.5017,0.0677,False,r,1
59461.472656,18.5687,0.0825,False,i,1
59461.538562,18.7293,0.3373,False,orange,1
59462.343402,18.7745,0.0782,False,g,1
59462.381296,18.6113,0.0737,False,r,1
59463.569717,18.7432,0.2195,False,cyan,1
59464.379328,18.6902,0.0572,False,r,1
59464.379328,18.6902,0.0572,False,r,1
59464.43081,18.8894,0.0876,False,g,1
59464.43081,18.8895,0.0876,False,g,1
59465.635138,18.6003,0.324,False,orange,1
59466.366111,18.7191,0.0778,False,r,1
59466.41287,18.9845,0.0957,False,g,1
59467.480468,18.9913,0.0575,False,g,1
59467.484375,18.7919,0.0722,False,r,1
59467.488281,18.8203,0.0708,False,i,1
59468.39574,18.8552,0.0814,False,r,1
59468.425786,19.2132,0.0902,False,g,1
59470.395335,19.3428,0.1223,False,g,1
59470.417002,18.9351,0.0955,False,r,1
59472.393182,18.9964,0.088,False,r,1
59472.414826,19.5485,0.1141,False,g,1
59473.558593,19.5313,0.0796,False,g,1
59473.5625,19.0386,0.0485,False,r,1
59473.566406,19.0455,0.0614,False,i,1
59474.278645,19.0302,0.0945,False,r,1
59474.383888,19.7254,0.1768,False,g,1
59477.252847,18.9955,0.1399,False,r,1
59477.318993,19.6597,0.2606,False,g,1
59480.585937,19.5519,0.0713,False,g,1
59480.59375,19.0729,0.0617,False,r,1
59480.601562,19.0654,0.0738,False,i,1
59481.510985,19.1941,0.3509,False,orange,1
59485.31831,18.1344,,True,g,0
59485.366018,18.3527,,True,r,0
59486.332584,18.7834,0.3545,False,orange,1
59487.495195,19.2502,0.2786,False,orange,1
59488.275393,19.4914,0.1425,False,g,1
59488.320127,19.1529,0.1011,False,r,1
59489.167968,19.422,0.061,False,g,1
59489.175781,19.0534,0.0487,False,r,1
59489.183593,18.9983,0.0476,False,i,1
59490.342488,19.4709,0.1243,False,g,1
59491.428249,18.6277,0.1607,False,orange,1
59496.342942,18.7383,0.2003,False,orange,1
59497.175781,19.1485,0.055,False,g,1
59497.183593,18.9031,0.0503,False,r,1
59497.301874,18.9641,0.0743,False,r,1
59497.48566,18.7615,0.2635,False,orange,1
59501.425825,18.8949,0.235,False,orange,1
59502.366469,18.8373,0.1036,False,r,1
59502.392349,19.0778,0.1374,False,g,1
59504.230624,19.0754,0.1722,False,g,1
59504.299294,18.6808,,True,r,0
59505.121093,19.0351,0.0998,False,g,1
59505.132812,18.9155,0.1046,False,r,1
59505.140625,18.8519,0.0856,False,i,1
59509.428572,18.9345,0.3011,False,orange,1
59510.247673,18.9903,0.1324,False,g,1
59510.39556,18.7965,0.2385,False,orange,1
59511.390253,18.9906,0.2635,False,orange,1
59513.25,18.9731,0.0644,False,g,1
59513.257812,18.8871,0.0712,False,r,1
59513.265625,18.8338,0.082,False,i,1
59513.429864,18.7033,0.24,False,orange,1
59515.388842,18.7786,0.1624,False,cyan,1
59517.21515,19.1003,0.113,False,g,1
59517.236111,18.8232,0.0779,False,r,1
59517.38662,18.6078,0.1492,False,orange,1
59518.397384,19.0231,0.3391,False,cyan,1
