mjd,mag,mag_err,UL,filter,detected
59370.470582,20.5206,inf,True,cyan,0
59372.433627,20.2397,inf,True,orange,0
59374.469095,20.7453,inf,True,cyan,0
59376.463159,19.8384,inf,True,orange,0
59378.522166,20.6763,inf,True,cyan,0
59382.503369,20.5205,inf,True,cyan,0
59384.438866,19.7265,inf,True,orange,0
59386.395302,19.8803,inf,True,orange,0
59388.428707,19.5784,inf,True,orange,0
59390.382089,19.5776,inf,True,orange,0
59392.385085,19.7418,inf,True,orange,0
59394.448822,20.2187,inf,True,orange,0
59398.440467,20.0633,inf,True,orange,0
59402.435121,19.8633,inf,True,orange,0
59404.427464,20.4456,inf,True,cyan,0
59406.392158,20.0898,inf,True,orange,0
59408.402557,20.5487,inf,True,cyan,0
59409.324398,20.5529,inf,True,g,0
59410.39872,20.1546,inf,True,orange,0
59411.261967,20.3345,inf,True,r,0
59411.312361,20.4225,inf,True,g,0
59412.366178,20.1347,inf,True,orange,0
59414.301192,20.2817,inf,True,r,0
59414.375964,20.3818,inf,True,orange,0
59414.388136,20.5216,inf,True,g,0
59416.365833,19.743,inf,True,orange,0
59417.285451,16.3019,inf,True,r,0
59417.346169,16.2583,inf,True,g,0
59418.3836,19.6844,inf,True,orange,0
59419.291331,18.8969,inf,True,r,0
59419.353888,18.4095,inf,True,g,0
59420.383538,19.2402,inf,True,orange,0
59422.36787,19.8277,inf,True,orange,0
59423.238263,20.2355,inf,True,r,0
59423.340798,19.1472,inf,True,g,0
59424.360732,20.1234,inf,True,orange,0
59425.260902,20.5866,inf,True,g,0
59426.33762,20.3327,inf,True,cyan,0
59427.258113,20.5884,inf,True,g,0
59427.327361,20.4789,inf,True,r,0
59428.475822,19.6962,inf,True,orange,0
59429.245821,20.8557,0.3663,False,r,1
59429.307592,20.9844,0.318,False,g,1
59430.380717,19.9318,inf,True,cyan,0
59432.377317,19.6151,inf,True,orange,0
59434.203472,20.5781,0.2858,False,r,1
59434.242604,20.6011,0.2394,False,g,1
59434.361551,20.1892,0.2283,False,cyan,1
59436.35449,20.3235,inf,True,g,0
59436.36822,19.4508,inf,True,orange,0
59436.373819,20.1814,inf,True,r,0
59438.352294,20.0171,0.1901,False,cyan,1
59439.202719,19.953,0.1982,False,r,1
59439.345347,20.0392,inf,True,g,0
59440.324161,19.7651,0.2709,False,orange,1
59441.201782,20.1292,0.2024,False,r,1
59441.238125,19.8766,0.2017,False,g,1
59442.321571,20.1438,0.3494,False,orange,1
59443.197326,19.7664,inf,True,g,0
59443.284143,19.8605,inf,True,r,0
59444.343892,19.3889,inf,True,orange,0
59446.28206,19.3584,0.2179,False,g,1
59446.318358,19.9279,0.3548,False,orange,1
59448.18699,19.4074,0.1962,False,g,1
59448.301706,19.4924,0.2738,False,orange,1
59450.268912,19.2658,0.2324,False,g,1
59450.30221,19.5841,0.2745,False,r,1
59452.20346,19.5046,inf,True,r,0
59452.284293,20.0243,inf,True,g,0
59452.329582,19.4773,0.2274,False,orange,1
59454.202719,19.3757,0.1082,False,g,1
59454.260763,19.5413,0.1493,False,r,1
59454.300161,19.7556,0.2288,False,orange,1
59456.294,19.4622,0.131,False,cyan,1
59458.18206,19.2683,0.1043,False,g,1
59458.240034,19.5018,0.1541,False,r,1
59458.32229,19.6542,0.2297,False,orange,1
59460.243032,19.4323,0.1231,False,r,1
59460.305798,19.213,0.1114,False,g,1
59460.31707,19.3877,0.1387,False,cyan,1
59462.23978,19.3575,0.1464,False,r,1
59462.274797,19.5296,0.1882,False,orange,1
59462.285868,19.1967,0.1131,False,g,1
59464.185705,19.1493,0.0866,False,g,1
59464.185705,19.1494,0.0866,False,g,1
59464.296451,19.1107,0.0934,False,cyan,1
59464.302141,19.3968,0.1379,False,r,1
59464.302141,19.3968,0.1379,False,r,1
59466.159444,19.2722,0.1188,False,r,1
59466.32765,19.0352,0.0994,False,g,1
59466.346005,19.2233,0.1621,False,orange,1
59468.157245,19.1261,0.095,False,g,1
59468.30667,19.0457,0.0967,False,cyan,1
59468.325648,19.2669,0.1881,False,r,1
59470.159768,19.2659,0.1046,False,r,1
59470.22287,19.0822,0.0857,False,g,1
59470.258862,19.3774,0.2083,False,orange,1
59473.236504,19.1798,0.143,False,r,1
59473.286678,19.0144,0.1406,False,g,1
59476.20228,19.3354,0.2046,False,r,1
59476.217847,19.0476,0.2256,False,g,1
59476.261291,19.6766,0.3135,False,orange,1
59478.180914,19.0796,0.1307,False,r,1
59478.302002,19.146,0.2273,False,g,1
59480.182245,19.1282,0.1652,False,r,1
59480.240269,19.2123,0.1313,False,orange,1
59480.305763,18.7494,0.149,False,g,1
59481.109375,18.9653,0.0375,False,g,1
59481.117187,19.1733,0.0454,False,r,1
59481.125,19.5215,0.0752,False,i,1
59484.177569,18.986,0.0914,False,g,1
59484.239918,19.0815,0.1176,False,r,1
59484.288538,19.0249,0.1264,False,orange,1
59486.105468,18.9194,0.0334,False,g,1
59486.113281,19.1175,0.0444,False,r,1
59486.121093,19.4875,0.0582,False,i,1
59486.29133,19.1885,0.167,False,orange,1
59487.143634,19.0701,0.1163,False,r,1
59487.205243,19.0288,0.1487,False,g,1
59488.273776,19.1608,0.1463,False,orange,1
59489.204236,18.9834,0.1324,False,g,1
59489.204236,18.9834,0.1324,False,g,1
59490.101562,18.941,0.0423,False,g,1
59490.109375,19.0994,0.0435,False,r,1
59490.117187,19.4291,0.061,False,i,1
59490.259531,19.1264,0.1565,False,orange,1
59491.101562,18.9439,0.0422,False,g,1
59491.109375,19.103,0.0493,False,r,1
59491.117187,19.5562,0.1443,False,i,1
59491.156851,19.1088,0.1113,False,r,1
59491.260671,19.0126,0.1541,False,g,1
59492.270062,19.2922,0.169,False,orange,1
59494.085937,18.949,0.038,False,g,1
59494.09375,19.137,0.0473,False,r,1
59494.101562,19.4217,0.0579,False,i,1
59494.21812,19.2901,0.1967,False,orange,1
59495.085937,18.9281,0.0381,False,g,1
59495.101562,19.4699,0.0588,False,i,1
59497.082031,18.9389,0.0318,False,g,1
59497.089843,19.1359,0.0436,False,r,1
59498.13721,18.9888,0.082,False,g,1
59498.229124,19.7082,0.2777,False,orange,1
59500.097656,19.4751,0.1186,False,i,1
59502.155474,19.0467,0.1559,False,r,1
59502.209473,19.4499,0.2858,False,orange,1
59504.078125,19.0065,0.0434,False,g,1
59504.085937,19.1318,0.0456,False,r,1
59504.09375,19.561,0.0692,False,i,1
59504.197581,18.9699,0.153,False,g,1
59504.208889,19.2313,0.1891,False,orange,1
59507.074218,18.9615,0.0588,False,g,1
59507.082031,19.1327,0.0501,False,r,1
59507.089843,19.5025,0.0713,False,i,1
59508.074218,18.9996,0.0514,False,g,1
59508.082031,19.1667,0.0463,False,r,1
59508.089843,19.4701,0.0742,False,i,1
59508.254383,19.3363,0.3097,False,orange,1
59510.173935,16.507,inf,True,r,0
59510.200069,19.3113,inf,True,g,0
59511.074218,19.0406,0.0364,False,g,1
59511.082031,19.1715,0.0376,False,r,1
59511.089843,19.509,0.0619,False,i,1
59512.070312,19.0632,0.0473,False,g,1
59512.078125,19.1773,0.041,False,r,1
59512.132106,19.1924,0.1233,False,r,1
59512.201388,19.0741,0.1331,False,g,1
59512.585937,19.5334,0.0566,False,i,1
59513.070312,19.0715,0.0398,False,g,1
59513.078125,19.1804,0.0414,False,r,1
59513.085937,19.5367,0.0696,False,i,1
59514.074218,19.1021,0.0344,False,g,1
59514.082031,19.1343,0.0492,False,r,1
59514.089843,19.6985,0.1093,False,i,1
59514.206943,19.1466,0.185,False,orange,1
59519.066406,19.243,0.0403,False,g,1
59519.074218,19.233,0.0344,False,r,1
59519.082031,19.5663,0.0568,False,i,1
59521.066406,19.2261,0.0377,False,g,1
59521.074218,19.2585,0.0372,False,r,1
59521.122766,19.2626,0.1163,False,g,1
59521.139907,19.2942,0.1247,False,r,1
59522.066406,19.2397,0.0536,False,g,1
59522.074218,19.2845,0.0479,False,r,1
59522.082031,19.5816,0.0648,False,i,1
59522.216632,18.9607,0.1824,False,orange,1
59523.097997,19.1559,0.113,False,r,1
59523.156527,19.3205,0.1153,False,g,1
59524.22112,19.3217,0.1336,False,cyan,1
59525.066406,19.2827,0.0558,False,g,1
59525.074218,19.262,0.0591,False,r,1
59525.078125,19.6073,0.0771,False,i,1
59525.119849,19.2926,0.1024,False,g,1
59525.156192,19.2321,0.1219,False,r,1
59526.0625,19.2645,0.0529,False,g,1
59526.070312,19.2636,0.0449,False,r,1
59526.078125,19.6112,0.0669,False,i,1
59527.0625,19.3055,0.0393,False,g,1
59527.070312,19.2594,0.0463,False,r,1
59527.078125,19.5814,0.0637,False,i,1
59527.136006,19.1963,0.1179,False,g,1
59529.120613,19.2017,0.1345,False,g,1
59530.0625,19.3147,0.0676,False,g,1
59530.070312,19.317,0.0621,False,r,1
59530.078125,19.6624,0.082,False,i,1
59530.215009,19.0218,0.3233,False,orange,1
59532.0625,19.338,0.0587,False,g,1
59532.070312,19.3461,0.0534,False,r,1
59532.078125,19.6368,0.0875,False,i,1
59533.0625,19.3321,0.0628,False,g,1
59533.070312,19.2863,0.0525,False,r,1
59533.078125,19.589,0.0752,False,i,1
59536.066406,19.4664,0.0905,False,g,1
59536.074218,19.3304,0.0862,False,r,1
59536.082031,19.4857,0.0743,False,i,1
59537.0625,19.4597,0.1201,False,g,1
59537.066406,19.199,0.065,False,r,1
59537.074218,19.721,0.1458,False,i,1
59538.058593,19.4579,0.1212,False,g,1
59538.066406,19.342,0.0765,False,r,1
59538.074218,19.5303,0.1741,False,i,1
59540.203794,19.5237,0.2853,False,orange,1
59590.651455,19.455,0.249,False,orange,1
59592.655377,19.2755,inf,True,cyan,0
59608.527343,20.3129,0.0577,False,g,1
59608.535156,19.9679,0.0538,False,r,1
59608.542968,20.3439,0.1245,False,i,1
59608.636572,19.4288,inf,True,orange,0
59613.624257,20.0368,0.254,False,orange,1
59615.624468,19.8082,inf,True,cyan,0
59621.604965,19.7772,0.2917,False,orange,1
59623.664187,19.9701,0.3171,False,orange,1
59631.608547,19.3681,inf,True,orange,0
59637.597122,19.4095,inf,True,orange,0
59639.598943,20.461,0.3419,False,cyan,1
59640.460937,20.5783,0.0663,False,g,1
59640.46875,20.3028,0.0731,False,r,1
59640.476562,20.3758,0.0985,False,i,1
59641.635493,19.5468,inf,True,orange,0
59643.644463,19.6496,inf,True,cyan,0
59645.578031,19.5172,inf,True,orange,0
59647.644728,19.7252,inf,True,cyan,0
59649.633504,19.5406,inf,True,orange,0
59653.582035,19.4306,inf,True,orange,0
59654.507812,20.9382,0.1605,False,g,1
59654.515625,20.5484,0.1032,False,r,1
59654.523437,20.6573,0.1589,False,i,1
59657.599316,19.2836,inf,True,orange,0
59665.601326,20.0571,0.3494,False,orange,1
59669.600733,19.7669,inf,True,orange,0
59671.54208,19.9331,inf,True,cyan,0
59675.535876,20.0204,inf,True,cyan,0
59677.595814,19.5874,inf,True,orange,0
59679.512814,20.0238,0.3447,False,cyan,1
59681.558382,19.5049,inf,True,orange,0
59687.509511,19.4065,inf,True,orange,0
59689.538727,19.1173,inf,True,orange,0
59693.495189,19.416,inf,True,orange,0
59695.490087,19.8377,inf,True,cyan,0
59697.600257,20.0373,inf,True,orange,0
59701.464843,21.0687,inf,True,g,0
59701.472656,21.2949,0.1242,False,r,1
59701.480468,20.8501,inf,True,i,0
59709.48609,19.3582,inf,True,orange,0
59711.48288,19.7653,inf,True,orange,0
59713.511741,19.3608,inf,True,orange,0
59715.498633,19.7429,inf,True,orange,0
59717.475715,19.2238,inf,True,orange,0
59719.453431,19.5169,inf,True,orange,0
59721.49205,19.736,inf,True,orange,0
59723.457758,20.2949,inf,True,cyan,0
59725.412226,19.5747,inf,True,orange,0
59727.399609,20.0472,inf,True,cyan,0
59729.501632,19.7756,inf,True,orange,0
59731.499087,20.102,inf,True,cyan,0
59732.410156,22.0492,0.1522,False,g,1
59732.417968,21.4265,0.1091,False,r,1
59732.425781,21.7788,0.2237,False,i,1
59733.443217,19.6792,inf,True,orange,0
59735.414989,20.0304,inf,True,cyan,0
59737.488292,19.8829,inf,True,orange,0
