mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59370.470582,20.5206,,True,cyan,AB,0,cyan,5182.42
59372.433627,20.2397,,True,orange,AB,0,orange,6629.82
59374.469095,20.7453,,True,cyan,AB,0,cyan,5182.42
59376.463159,19.8384,,True,orange,AB,0,orange,6629.82
59378.522166,20.6763,,True,cyan,AB,0,cyan,5182.42
59382.503369,20.5205,,True,cyan,AB,0,cyan,5182.42
59384.438866,19.7265,,True,orange,AB,0,orange,6629.82
59386.395302,19.8803,,True,orange,AB,0,orange,6629.82
59388.428707,19.5784,,True,orange,AB,0,orange,6629.82
59390.382089,19.5776,,True,orange,AB,0,orange,6629.82
59392.385085,19.7418,,True,orange,AB,0,orange,6629.82
59394.448822,20.2187,,True,orange,AB,0,orange,6629.82
59398.440467,20.0633,,True,orange,AB,0,orange,6629.82
59402.435121,19.8633,,True,orange,AB,0,orange,6629.82
59404.427464,20.4456,,True,cyan,AB,0,cyan,5182.42
59406.392158,20.0898,,True,orange,AB,0,orange,6629.82
59408.402557,20.5487,,True,cyan,AB,0,cyan,5182.42
59409.324398,20.5529,,True,g,AB,0,g,4671.78
59410.39872,20.1546,,True,orange,AB,0,orange,6629.82
59411.261967,20.3345,,True,r,AB,0,r,6141.12
59411.312361,20.4225,,True,g,AB,0,g,4671.78
59412.366178,20.1347,,True,orange,AB,0,orange,6629.82
59414.301192,20.2817,,True,r,AB,0,r,6141.12
59414.375964,20.3818,,True,orange,AB,0,orange,6629.82
59414.388136,20.5216,,True,g,AB,0,g,4671.78
59416.365833,19.743,,True,orange,AB,0,orange,6629.82
59417.285451,16.3019,,True,r,AB,0,r,6141.12
59417.346169,16.2583,,True,g,AB,0,g,4671.78
59418.3836,19.6844,,True,orange,AB,0,orange,6629.82
59419.291331,18.8969,,True,r,AB,0,r,6141.12
59419.353888,18.4095,,True,g,AB,0,g,4671.78
59420.383538,19.2402,,True,orange,AB,0,orange,6629.82
59422.36787,19.8277,,True,orange,AB,0,orange,6629.82
59423.238263,20.2355,,True,r,AB,0,r,6141.12
59423.340798,19.1472,,True,g,AB,0,g,4671.78
59424.360732,20.1234,,True,orange,AB,0,orange,6629.82
59425.260902,20.5866,,True,g,AB,0,g,4671.78
59426.33762,20.3327,,True,cyan,AB,0,cyan,5182.42
59427.258113,20.5884,,True,g,AB,0,g,4671.78
59427.327361,20.4789,,True,r,AB,0,r,6141.12
59428.475822,19.6962,,True,orange,AB,0,orange,6629.82
59429.245821,20.8557,0.3663,False,r,AB,1,r,6141.12
59429.307592,20.9844,0.318,False,g,AB,1,g,4671.78
59430.380717,19.9318,,True,cyan,AB,0,cyan,5182.42
59432.377317,19.6151,,True,orange,AB,0,orange,6629.82
59434.203472,20.5781,0.2858,False,r,AB,1,r,6141.12
59434.242604,20.6011,0.2394,False,g,AB,1,g,4671.78
59434.361551,20.1892,0.2283,False,cyan,AB,1,cyan,5182.42
59436.35449,20.3235,,True,g,AB,0,g,4671.78
59436.36822,19.4508,,True,orange,AB,0,orange,6629.82
59436.373819,20.1814,,True,r,AB,0,r,6141.12
59438.352294,20.0171,0.1901,False,cyan,AB,1,cyan,5182.42
59439.202719,19.953,0.1982,False,r,AB,1,r,6141.12
59439.345347,20.0392,,True,g,AB,0,g,4671.78
59440.324161,19.7651,0.2709,False,orange,AB,1,orange,6629.82
59441.201782,20.1292,0.2024,False,r,AB,1,r,6141.12
59441.238125,19.8766,0.2017,False,g,AB,1,g,4671.78
59442.321571,20.1438,0.3494,False,orange,AB,1,orange,6629.82
59443.197326,19.7664,,True,g,AB,0,g,4671.78
59443.284143,19.8605,,True,r,AB,0,r,6141.12
59444.343892,19.3889,,True,orange,AB,0,orange,6629.82
59446.28206,19.3584,0.2179,False,g,AB,1,g,4671.78
59446.318358,19.9279,0.3548,False,orange,AB,1,orange,6629.82
59448.18699,19.4074,0.1962,False,g,AB,1,g,4671.78
59448.301706,19.4924,0.2738,False,orange,AB,1,orange,6629.82
59450.268912,19.2658,0.2324,False,g,AB,1,g,4671.78
59450.30221,19.5841,0.2745,False,r,AB,1,r,6141.12
