mjd,mag,mag_err,UL,filter,System,detected
59383.596442,19.8451,,True,orange,AB,0
59389.591729,19.405,,True,orange,AB,0
59403.609166,20.1665,,True,cyan,AB,0
59405.566794,19.7364,,True,orange,AB,0
59407.572881,19.3278,,True,cyan,AB,0
59409.577453,20.1126,,True,orange,AB,0
59413.580622,20.0441,,True,orange,AB,0
59415.586224,20.3458,,True,cyan,AB,0
59417.610091,20.0246,,True,orange,AB,0
59421.560001,19.9451,,True,orange,AB,0
59428.450601,20.2984,,True,g,AB,0
59428.469143,20.3388,,True,r,AB,0
59429.584314,20.0858,,True,orange,AB,0
59431.559926,19.9428,,True,orange,AB,0
59433.576485,20.4598,,True,cyan,AB,0
59434.45456,20.6081,,True,g,AB,0
59434.476423,20.4993,,True,r,AB,0
59435.551997,20.0367,,True,orange,AB,0
59438.44655,20.7709,0.3459,False,g,AB,1
59438.475798,20.3888,,True,r,AB,0
59440.421794,18.7178,,True,g,AB,0
59440.479386,19.8768,,True,r,AB,0
59441.554669,19.8603,,True,cyan,AB,0
59443.457407,20.2879,,True,g,AB,0
59443.463356,20.3126,,True,r,AB,0
59443.539978,19.767,,True,orange,AB,0
59445.516648,19.3936,,True,orange,AB,0
59447.50687,19.6357,,True,orange,AB,0
59449.265324,18.635,,True,g,AB,0
59449.381296,18.9226,,True,r,AB,0
59452.462453,19.5031,,True,g,AB,0
59453.521514,19.2476,,True,orange,AB,0
59454.388171,19.9829,0.2444,False,g,AB,1
59454.431863,19.8645,0.1926,False,r,AB,1
59455.48974,19.3373,,True,orange,AB,0
59457.533199,19.9844,0.3197,False,orange,AB,1
59458.363506,19.8802,0.182,False,r,AB,1
59460.364317,20.4228,,True,r,AB,0
59460.404039,19.967,0.1532,False,g,AB,1
59461.576942,19.6908,0.28,False,orange,AB,1
59462.408113,19.7929,0.1574,False,r,AB,1
59462.475289,20.1172,0.1744,False,g,AB,1
59464.407557,19.6343,0.1554,False,r,AB,1
59464.407557,19.6343,0.1554,False,r,AB,1
59464.426527,19.8904,0.1838,False,g,AB,1
59464.426527,19.8905,0.1838,False,g,AB,1
59465.595668,19.7457,0.2644,False,orange,AB,1
59466.388935,19.7511,0.1438,False,r,AB,1
59466.401944,20.0439,0.1829,False,g,AB,1
59467.447296,19.9106,0.2251,False,cyan,AB,1
59468.392893,19.7039,0.146,False,r,AB,1
59468.450057,20.0395,0.175,False,g,AB,1
59469.483715,19.6434,0.2554,False,orange,AB,1
59470.392002,20.2833,0.2603,False,g,AB,1
59470.403078,19.7079,0.1376,False,r,AB,1
59472.378657,19.5719,0.128,False,r,AB,1
59472.4189,19.8952,0.1666,False,g,AB,1
59474.327314,19.6407,0.1676,False,r,AB,1
59474.417129,20.1586,0.1788,False,g,AB,1
59475.50335,18.5302,0.3144,False,orange,AB,1
59477.283541,19.6085,0.2737,False,r,AB,1
59477.322291,19.7214,0.292,False,g,AB,1
59479.219861,18.629,,True,g,AB,0
59479.384583,19.2388,,True,r,AB,0
59484.317268,19.6337,0.1592,False,r,AB,1
59485.502627,19.6321,0.3111,False,orange,AB,1
59486.297824,19.59,0.2213,False,r,AB,1
59487.486406,19.478,0.2238,False,orange,AB,1
59488.277303,20.3721,0.2784,False,g,AB,1
59488.329791,19.7178,0.1493,False,r,AB,1
59489.621054,19.2143,0.3273,False,orange,AB,1
59491.237557,19.624,0.1457,False,r,AB,1
59491.466218,19.6277,0.1743,False,orange,AB,1
59493.399226,19.613,0.3375,False,orange,AB,1
59494.507999,19.6969,0.08,False,w,AB,1
59497.381736,20.3748,0.2523,False,g,AB,1
59497.43449,19.6515,0.197,False,r,AB,1
59497.506536,19.5631,0.2947,False,orange,AB,1
59501.376066,19.4771,0.2887,False,orange,AB,1
59501.384814,19.6472,0.1738,False,r,AB,1
59501.410173,20.5418,0.2516,False,g,AB,1
59503.303356,19.9035,0.2506,False,r,AB,1
59503.324942,19.6845,,True,g,AB,0
59503.374402,19.7442,0.2233,False,orange,AB,1
59505.2025,19.2541,,True,g,AB,0
59505.303703,19.7295,0.2281,False,r,AB,1
59505.453833,18.8789,,True,orange,AB,0
59511.246134,19.6751,,True,r,AB,0
59512.35331,19.3309,0.2615,False,orange,AB,1
59513.463909,19.7427,0.3139,False,orange,AB,1
59515.430593,19.2793,,True,orange,AB,0
59517.223715,20.575,,True,g,AB,0
59517.277638,19.7943,0.1355,False,r,AB,1
59517.473877,19.2989,,True,orange,AB,0
59519.41992,20.311,0.3444,False,cyan,AB,1
59520.262858,19.9307,0.1826,False,r,AB,1
59520.302314,20.8167,0.3504,False,g,AB,1
59521.377139,19.2438,,True,orange,AB,0
59522.26699,20.7994,0.2995,False,g,AB,1
59522.308622,19.9365,0.1786,False,r,AB,1
59523.406921,20.2549,0.3576,False,cyan,AB,1
59524.240046,20.1865,0.195,False,r,AB,1
59524.320983,20.8822,0.2865,False,g,AB,1
59525.406365,19.0907,,True,orange,AB,0
59526.257048,20.0498,0.1728,False,r,AB,1
59526.324965,21.0192,0.3498,False,g,AB,1
59527.399436,19.9967,,True,cyan,AB,0
59529.323252,20.24,,True,g,AB,0
59529.342152,20.2838,0.2144,False,r,AB,1
59529.379277,19.1792,,True,orange,AB,0
59539.402166,19.3968,,True,orange,AB,0
59540.392513,19.4438,,True,orange,AB,0
59541.376754,19.4141,,True,orange,AB,0
59543.369738,19.4084,,True,orange,AB,0
59545.367096,19.2233,,True,orange,AB,0
59551.303442,19.4481,,True,orange,AB,0
59557.297796,19.5001,,True,orange,AB,0
59560.097656,21.4749,0.2573,False,g,AB,1
59560.105468,20.6379,0.114,False,r,AB,1
59560.109375,20.5421,0.0907,False,r,AB,1
59560.113281,20.4387,0.121,False,i,AB,1
59560.117187,20.4128,0.1218,False,i,AB,1
59561.301399,18.877,,True,orange,AB,0
59565.148437,21.2213,0.3801,False,g,AB,1
59565.15625,20.788,0.2116,False,r,AB,1
59565.160156,20.6999,0.1604,False,r,AB,1
59565.164062,20.1715,0.1543,False,i,AB,1
59565.167968,20.2791,0.1654,False,i,AB,1
59565.336717,19.1821,,True,orange,AB,0
59569.28125,20.4426,,True,g,AB,0
59569.289062,20.2591,0.2079,False,r,AB,1
59569.292968,20.6881,0.2002,False,r,AB,1
59569.296875,20.4829,0.2157,False,i,AB,1
59569.296875,20.5335,0.1909,False,i,AB,1
59569.399756,19.0613,,True,orange,AB,0
59573.254352,19.2722,,True,orange,AB,0
59587.300862,20.0294,,True,orange,AB,0
59589.236987,19.5037,,True,orange,AB,0
59591.247634,19.0664,,True,orange,AB,0
59593.278008,19.415,,True,orange,AB,0
59597.228022,19.494,,True,orange,AB,0
59601.26562,19.6352,,True,orange,AB,0
59603.322465,19.455,,True,orange,AB,0
59606.224575,19.4852,,True,orange,AB,0
59607.226437,19.5502,,True,orange,AB,0
59609.226299,19.8622,,True,orange,AB,0
59610.272267,19.2082,,True,orange,AB,0
59611.272737,18.8932,,True,orange,AB,0
59613.256562,20.0988,,True,cyan,AB,0
59614.229914,19.5241,,True,cyan,AB,0
59615.231903,19.1997,,True,orange,AB,0
59618.253972,19.9061,,True,orange,AB,0
59619.25205,19.1778,,True,orange,AB,0
59621.252429,19.708,,True,orange,AB,0
59624.246274,19.5169,,True,orange,AB,0
59626.239636,19.5386,,True,orange,AB,0
59632.232578,19.777,,True,orange,AB,0
59635.09375,19.8266,,True,g,AB,0
59635.097656,20.3401,,True,g,AB,0
59635.101562,20.6964,,True,r,AB,0
59635.105468,20.7228,,True,r,AB,0
59635.109375,20.6096,,True,i,AB,0
59635.113281,20.6152,,True,i,AB,0
59635.235118,19.5454,,True,orange,AB,0
59637.235272,19.8149,,True,cyan,AB,0
59639.097656,21.8876,0.4137,False,g,AB,1
59639.105468,21.4258,0.2042,False,r,AB,1
59639.113281,21.3889,0.3183,False,i,AB,1
59640.236152,19.1027,,True,orange,AB,0
59641.097656,20.186,,True,g,AB,0
59641.101562,20.8097,,True,g,AB,0
59641.105468,21.4012,0.272,False,r,AB,1
59641.109375,21.3476,0.2549,False,r,AB,1
59641.113281,20.9295,0.3033,False,i,AB,1
59641.117187,20.8795,,True,i,AB,0
59733.593707,19.5386,,True,cyan,AB,0
59748.596868,19.394,,True,orange,AB,0
59751.597703,19.2328,,True,orange,AB,0
59758.59272,20.1873,,True,cyan,AB,0
59759.586071,19.8895,,True,orange,AB,0
59763.569398,19.8535,,True,orange,AB,0
59764.583869,19.9236,,True,orange,AB,0
59766.566633,20.2592,,True,cyan,AB,0
59767.572479,19.9052,,True,orange,AB,0
59768.6058,19.9339,,True,orange,AB,0
59769.569385,20.1077,,True,cyan,AB,0
59770.605668,19.9358,,True,orange,AB,0
59771.601764,19.8965,,True,orange,AB,0
59772.563235,19.6277,,True,orange,AB,0
59775.572533,19.7159,,True,orange,AB,0
59776.602197,19.6344,,True,orange,AB,0
59778.605721,19.8839,,True,orange,AB,0
59779.556844,19.3775,,True,orange,AB,0
59780.530849,19.568,,True,orange,AB,0
59782.607488,19.8071,,True,orange,AB,0
59783.592588,19.9211,,True,orange,AB,0
59785.578595,20.4073,,True,cyan,AB,0
59786.584076,20.3773,,True,cyan,AB,0
59787.568792,20.3641,,True,orange,AB,0
59788.540965,20.124,,True,orange,AB,0
59789.579088,20.2328,,True,cyan,AB,0
59790.532816,20.3283,,True,cyan,AB,0
59791.539625,20.297,,True,orange,AB,0
59792.524902,20.3298,,True,orange,AB,0
59793.531517,20.3281,,True,cyan,AB,0
59795.55106,20.115,,True,orange,AB,0
59796.524126,20.1435,,True,orange,AB,0
59799.516081,20.2355,,True,orange,AB,0
59800.515075,19.8072,,True,orange,AB,0
59801.499165,19.7545,,True,orange,AB,0
