mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59431.571479,20.3416,,True,cyan,AB,0,cyan,5182.42
59433.559819,19.7657,,True,orange,AB,0,orange,6629.82
59434.605791,19.9516,,True,orange,AB,0,orange,6629.82
59435.605233,20.0534,,True,cyan,AB,0,cyan,5182.42
59438.456134,19.809,,True,g,AB,0,g,4671.78
59439.588966,20.2415,,True,cyan,AB,0,cyan,5182.42
59440.443877,19.8181,,True,g,AB,0,g,4671.78
59441.582205,19.9537,,True,orange,AB,0,orange,6629.82
59442.611561,20.0285,,True,orange,AB,0,orange,6629.82
59443.441701,19.4612,,True,g,AB,0,g,4671.78
59443.556493,20.4976,,True,cyan,AB,0,cyan,5182.42
59445.561444,19.9951,,True,orange,AB,0,orange,6629.82
59447.521984,19.6328,,True,orange,AB,0,orange,6629.82
59449.400775,18.2427,,True,r,AB,0,r,6141.12
59449.442812,18.1355,,True,g,AB,0,g,4671.78
59450.617055,19.7449,,True,orange,AB,0,orange,6629.82
59451.462384,19.4204,,True,r,AB,0,r,6141.12
59451.573376,19.8647,,True,orange,AB,0,orange,6629.82
59453.440196,19.3273,,True,g,AB,0,g,4671.78
59453.621621,19.0432,,True,orange,AB,0,orange,6629.82
59455.565838,19.7946,,True,orange,AB,0,orange,6629.82
59456.440624,19.8996,,True,r,AB,0,r,6141.12
59457.495467,19.9267,,True,orange,AB,0,orange,6629.82
59459.420902,20.1444,,True,g,AB,0,g,4671.78
59461.439155,20.2499,,True,g,AB,0,g,4671.78
59461.462719,20.2396,,True,r,AB,0,r,6141.12
59461.574026,19.8512,,True,cyan,AB,0,cyan,5182.42
59463.414143,20.1658,,True,r,AB,0,r,6141.12
59463.439386,20.4447,0.2703,False,g,AB,1,g,4671.78
59463.469001,19.5853,,True,orange,AB,0,orange,6629.82
59465.438773,20.1001,0.3095,False,g,AB,1,g,4671.78
59465.56308,20.2871,0.3075,False,cyan,AB,1,cyan,5182.42
59467.398483,20.2185,0.3023,False,r,AB,1,r,6141.12
59467.4575,19.9983,0.1982,False,g,AB,1,g,4671.78
59467.471832,19.2294,,True,orange,AB,0,orange,6629.82
59469.399386,20.0934,0.2039,False,r,AB,1,r,6141.12
59469.436238,19.8628,0.1815,False,g,AB,1,g,4671.78
59470.506,19.831,0.04,False,w,AB,1,w,5980.7
59471.379942,19.5783,0.2423,False,g,AB,1,g,4671.78
59471.440659,19.717,0.1973,False,r,AB,1,r,6141.12
59471.505946,19.24,,True,orange,AB,0,orange,6629.82
59475.45684,19.3729,0.1684,False,g,AB,1,g,4671.78
59477.354733,18.7789,,True,g,AB,0,g,4671.78
