mjd,mag,mag_err,UL,filter,detected
59404.583978,19.9485,inf,True,cyan,0
59406.579799,18.9945,inf,True,orange,0
59408.563861,20.0461,inf,True,cyan,0
59410.584104,19.9363,inf,True,orange,0
59412.596794,20.2331,inf,True,cyan,0
59418.578369,19.6501,inf,True,orange,0
59420.566544,19.4942,inf,True,orange,0
59422.539968,19.8729,inf,True,orange,0
59424.559235,19.7145,inf,True,orange,0
59426.610973,19.8826,inf,True,orange,0
59428.608298,19.9421,inf,True,orange,0
59430.386851,20.4012,inf,True,r,0
59430.414919,20.3008,inf,True,g,0
59430.541252,19.854,inf,True,orange,0
59432.531062,19.7432,inf,True,orange,0
59434.537536,20.1751,inf,True,cyan,0
59435.369745,20.3391,inf,True,r,0
59435.425231,20.39,inf,True,g,0
59436.51547,19.7917,inf,True,orange,0
59438.405648,20.1928,inf,True,g,0
59438.46625,20.24,inf,True,r,0
59438.502792,20.1108,inf,True,cyan,0
59440.390972,20.2207,inf,True,r,0
59440.413749,20.0383,inf,True,g,0
59440.461682,19.8652,inf,True,orange,0
59442.516902,19.9386,inf,True,cyan,0
59443.345,20.0822,inf,True,g,0
59443.476423,20.22,inf,True,r,0
59444.50074,19.7415,inf,True,orange,0
59446.487692,19.286,inf,True,orange,0
59448.47708,19.3747,inf,True,orange,0
59449.268263,18.8611,inf,True,g,0
59449.341967,19.2624,inf,True,r,0
59451.345879,19.447,inf,True,r,0
59452.496662,19.4495,inf,True,orange,0
59453.319131,19.9105,inf,True,r,0
59453.369444,19.7144,inf,True,g,0
59454.509156,19.1736,inf,True,orange,0
59456.326539,19.9174,inf,True,g,0
59456.433978,19.5627,inf,True,orange,0
59458.509418,19.1583,inf,True,orange,0
59459.326192,19.7262,0.2115,False,g,1
59459.368229,19.9189,0.1531,False,r,1
59461.266562,19.5698,0.1491,False,g,1
59461.365127,19.7898,0.1423,False,r,1
59462.452576,19.5819,0.246,False,orange,1
59463.324571,19.7015,0.1433,False,r,1
59463.352175,19.4671,0.1342,False,g,1
59464.545293,19.4911,0.1802,False,cyan,1
59465.318194,19.4698,0.1699,False,g,1
59465.370254,19.6597,0.1418,False,r,1
59466.451284,19.3497,0.2379,False,orange,1
59467.387569,19.4779,0.0986,False,r,1
59467.430705,19.5001,0.1421,False,g,1
59468.436768,19.2617,0.1425,False,cyan,1
59469.353842,19.3774,0.1493,False,g,1
59469.389664,19.5177,0.1183,False,r,1
59470.43777,19.342,0.2096,False,orange,1
59471.372094,19.3737,0.1759,False,g,1
59471.430185,19.465,0.1837,False,r,1
59472.494135,19.3152,0.1497,False,cyan,1
59474.287002,19.8799,inf,True,r,0
59474.373171,19.7524,inf,True,g,0
59476.283969,19.2145,inf,True,g,0
59476.329212,19.4947,0.2476,False,r,1
59478.286099,19.284,0.1652,False,r,1
59478.342662,19.1782,0.299,False,g,1
59480.288205,19.2153,0.1618,False,r,1
59480.349756,19.1876,0.2146,False,g,1
59482.516243,19.5475,0.3366,False,orange,1
59484.44983,19.3628,0.2298,False,orange,1
59485.244328,19.3369,0.1393,False,r,1
59485.301469,18.0776,inf,True,g,0
59486.442369,19.5326,0.2793,False,orange,1
59488.262928,19.2385,0.1538,False,g,1
59488.302893,19.3686,0.1158,False,r,1
59490.349212,20.2375,inf,True,g,0
59490.438767,19.5879,0.303,False,orange,1
59492.445296,19.2922,0.2153,False,orange,1
59494.383638,19.4882,0.2743,False,orange,1
59497.371875,19.6037,inf,True,g,0
59498.414366,19.2167,0.2057,False,orange,1
59500.430757,19.3165,0.2171,False,orange,1
59501.416342,19.3942,0.156,False,g,1
59502.428339,19.2059,0.23,False,orange,1
59503.221064,19.4078,inf,True,g,0
59503.254282,19.2919,0.2267,False,r,1
59504.413185,19.406,0.281,False,orange,1
59505.2,19.2521,0.2268,False,g,1
59505.244548,19.2615,0.1439,False,r,1
59506.431458,19.1274,0.2825,False,orange,1
59508.443443,19.3092,0.3198,False,orange,1
59510.257719,19.3535,0.2145,False,g,1
59510.396113,18.9403,0.2189,False,orange,1
59514.387157,19.417,0.2548,False,orange,1
59516.395925,19.2436,0.1716,False,cyan,1
59517.197905,19.3567,0.1616,False,g,1
59517.241423,20.356,inf,True,r,0
59518.364363,19.1841,0.1879,False,orange,1
59520.245312,19.2436,0.1062,False,r,1
59520.306122,19.3842,0.1369,False,g,1
59522.201423,19.2557,0.1077,False,r,1
59522.247615,19.44,0.1424,False,g,1
59522.387149,19.2771,0.238,False,orange,1
59524.23706,19.3701,0.1116,False,r,1
59524.326481,19.5461,0.1398,False,g,1
59524.389556,19.4104,0.1695,False,cyan,1
59526.154444,19.2942,0.1058,False,r,1
59526.160156,19.4711,0.0506,False,g,1
59526.167968,19.3755,0.0504,False,r,1
59526.175781,19.4912,0.0687,False,i,1
59526.22478,19.63,0.1464,False,g,1
59526.321142,19.3423,0.2309,False,orange,1
59529.203286,19.5021,0.136,False,r,1
59529.25368,19.826,0.2602,False,g,1
59530.128906,19.7133,0.069,False,g,1
59530.136718,19.5185,0.0561,False,r,1
59530.144531,19.6104,0.0629,False,i,1
59530.377309,19.5376,0.298,False,orange,1
59531.15405,19.3472,0.1919,False,r,1
59531.347656,19.8127,0.0612,False,g,1
59531.355468,19.5818,0.0611,False,r,1
59531.363281,19.6755,0.0702,False,i,1
59532.101562,19.9978,0.0826,False,g,1
59532.109375,19.6212,0.0596,False,r,1
59532.117187,19.7179,0.0669,False,i,1
59532.368743,19.5077,0.3479,False,orange,1
59533.101562,19.9493,0.0979,False,g,1
59533.109375,19.7179,0.0802,False,r,1
59533.117187,19.7236,0.0927,False,i,1
59534.306409,18.7512,inf,True,orange,0
59536.319505,18.8457,inf,True,orange,0
59540.404194,18.9655,inf,True,orange,0
59542.309995,19.3135,inf,True,orange,0
59544.304451,19.4652,inf,True,orange,0
59546.344554,19.4601,inf,True,orange,0
59550.347248,19.6622,inf,True,orange,0
59560.078125,21.6015,inf,True,g,0
59560.085937,21.3736,0.3197,False,r,1
59560.089843,20.6518,0.1821,False,i,1
59561.199218,20.8831,inf,True,g,0
59561.207031,19.5469,inf,True,r,0
59561.214843,18.9835,inf,True,i,0
59562.33273,19.5934,inf,True,orange,0
59565.082031,20.5752,inf,True,g,0
59565.09375,20.9552,0.3861,False,i,1
59569.257812,20.774,inf,True,g,0
59569.265625,21.0136,0.2742,False,r,1
59569.273437,20.5799,0.2325,False,i,1
59574.250732,19.855,inf,True,orange,0
59577.066406,21.3634,inf,True,g,0
59582.066406,21.2301,inf,True,g,0
59582.074218,21.3376,0.2019,False,r,1
59582.082031,20.9424,0.1495,False,i,1
59584.074218,22.2587,0.2779,False,g,1
59584.082031,21.1364,0.098,False,r,1
59585.078125,21.3066,0.137,False,r,1
59585.085937,20.8677,0.2173,False,i,1
59588.314749,19.6804,inf,True,orange,0
59590.230811,19.58,inf,True,orange,0
59592.229218,19.1758,inf,True,orange,0
59594.303654,19.1289,inf,True,orange,0
59598.216273,19.2789,inf,True,orange,0
59602.289332,19.8222,inf,True,orange,0
59605.265175,19.8394,inf,True,orange,0
59609.263586,19.5994,inf,True,orange,0
59619.237842,19.4579,inf,True,orange,0
59627.231169,19.3635,inf,True,orange,0
59633.23497,19.611,inf,True,orange,0
59717.591188,18.9761,inf,True,orange,0
59725.58692,19.3595,inf,True,orange,0
59727.60801,18.6937,inf,True,cyan,0
59733.59488,19.4575,inf,True,orange,0
