mjd,mag,mag_err,UL,filter,detected
59436.597846,19.6754,inf,True,cyan,0
59438.617138,19.5108,inf,True,orange,0
59444.608591,20.1168,inf,True,cyan,0
59447.615158,19.7177,inf,True,orange,0
59452.580234,19.6003,inf,True,orange,0
59453.45133,18.9116,inf,True,g,0
59453.485138,19.6403,inf,True,r,0
59454.597876,19.3775,inf,True,orange,0
59456.487905,19.2458,inf,True,g,0
59456.621923,19.522,inf,True,orange,0
59460.446932,19.8575,inf,True,g,0
59460.463911,19.8429,inf,True,r,0
59460.602308,19.4028,inf,True,orange,0
59462.436111,19.8442,inf,True,r,0
59462.622694,19.7985,inf,True,cyan,0
59464.465937,19.9473,inf,True,g,0
59464.621796,19.4454,inf,True,orange,0
59466.44346,19.8974,inf,True,g,0
59466.580227,19.8135,inf,True,cyan,0
59468.464699,20.1585,inf,True,g,0
59468.484328,20.2203,0.2714,False,r,1
59470.595648,19.7204,0.2335,False,cyan,1
59471.461863,19.993,inf,True,r,0
59474.442025,19.5131,0.1767,False,g,1
59474.576401,18.9147,inf,True,orange,0
59477.382118,18.5151,inf,True,g,0
59477.48405,19.216,0.1626,False,r,1
59478.52237,19.3392,0.3326,False,orange,1
59479.47581,19.0892,0.1692,False,g,1
59484.420578,18.9248,0.2034,False,g,1
59484.475451,18.8458,0.1342,False,r,1
59484.580654,18.7652,0.1663,False,orange,1
59486.552397,18.9535,0.1733,False,orange,1
59487.451851,18.7073,0.1224,False,g,1
59487.482997,18.8305,0.1395,False,r,1
59488.572555,18.7735,0.1557,False,orange,1
59489.440092,18.6689,0.121,False,r,1
59489.440092,18.669,0.121,False,r,1
59489.482858,18.7335,0.1105,False,g,1
59489.482858,18.7336,0.1105,False,g,1
59490.562989,18.6868,0.1059,False,orange,1
59493.569931,18.6803,0.1254,False,orange,1
59494.542438,18.5932,0.1028,False,orange,1
59496.395821,18.5367,0.1938,False,g,1
59496.425011,18.5191,0.0826,False,r,1
59496.553362,18.621,0.1283,False,orange,1
59498.442557,18.4575,0.0792,False,g,1
59498.539346,18.6312,0.1205,False,orange,1
59500.489504,18.4097,0.1063,False,orange,1
59503.461585,18.4291,0.0927,False,g,1
59506.510951,18.4063,0.1193,False,orange,1
59508.461262,18.2555,0.1566,False,orange,1
59509.342847,18.2624,0.0951,False,r,1
59509.391597,18.3252,0.1115,False,g,1
59509.491476,18.4625,0.1447,False,orange,1
59510.490818,18.2488,0.1092,False,orange,1
59511.382349,18.3244,0.0928,False,r,1
59512.542908,18.2208,0.1145,False,orange,1
59513.476285,18.2996,0.096,False,orange,1
59516.517327,18.1313,0.1044,False,orange,1
59517.423252,18.2272,0.0688,False,r,1
59517.440347,18.2744,0.0751,False,g,1
59518.445272,18.3239,0.0663,False,cyan,1
59520.500658,18.2056,0.0823,False,orange,1
59521.33743,18.221,0.0692,False,g,1
59521.44346,18.1838,0.0817,False,r,1
59522.560996,18.1451,0.0596,False,cyan,1
59523.289143,18.1663,0.0721,False,r,1
59523.370902,18.1838,0.0853,False,g,1
59524.483338,18.2294,0.089,False,orange,1
59525.338842,18.294,0.0687,False,g,1
59525.360162,18.2534,0.0841,False,r,1
59526.477146,18.3281,0.0738,False,cyan,1
59527.31934,18.2889,0.1327,False,g,1
59528.467016,18.4385,0.1264,False,orange,1
59530.375208,18.5587,0.086,False,r,1
59530.401296,18.4944,0.1741,False,g,1
59532.378761,18.6512,0.1202,False,r,1
59532.401828,18.71,0.0807,False,g,1
59534.41993,18.5999,0.319,False,orange,1
59537.379305,18.8403,0.1089,False,r,1
59537.400624,19.0176,0.1222,False,g,1
59540.336365,18.8428,0.1672,False,r,1
59542.435307,18.7422,0.1486,False,orange,1
59544.486597,18.6114,0.1318,False,orange,1
59546.472904,18.7082,0.1287,False,orange,1
59560.44818,19.2295,0.2654,False,orange,1
59563.466468,19.1575,0.2463,False,orange,1
59581.913429,19.6725,0.3287,False,orange,1
59583.004889,19.4354,0.3183,False,orange,1
59586.373779,19.9685,0.308,False,cyan,1
59586.89827,19.5954,0.3391,False,orange,1
59588.331422,19.1498,0.1917,False,orange,1
59590.88808,18.9197,inf,True,orange,0
59597.959537,18.9867,inf,True,orange,0
59598.929761,19.0422,inf,True,orange,0
59600.40816,19.257,inf,True,orange,0
59601.374095,19.4592,inf,True,orange,0
59602.866285,20.3721,0.3522,False,cyan,1
59604.332725,19.3635,inf,True,orange,0
59605.201687,19.6692,inf,True,orange,0
59606.308713,19.2224,inf,True,orange,0
59607.305406,19.3356,inf,True,orange,0
59608.309378,19.0797,inf,True,orange,0
59608.836351,19.7437,inf,True,cyan,0
59610.258623,19.3276,inf,True,orange,0
59612.350648,19.8719,inf,True,cyan,0
59614.307419,19.7391,inf,True,orange,0
59616.248712,19.5275,inf,True,orange,0
59618.242988,19.3477,inf,True,orange,0
59620.232671,19.3896,inf,True,orange,0
59622.275382,18.9619,inf,True,orange,0
59627.087479,18.9249,inf,True,orange,0
59628.737737,19.3949,inf,True,orange,0
59630.322934,19.1654,inf,True,orange,0
59631.075426,19.2329,inf,True,orange,0
59632.253134,19.7145,inf,True,cyan,0
59654.239231,18.9436,inf,True,orange,0
59655.022656,19.344,inf,True,orange,0
59656.259038,19.4378,inf,True,orange,0
59684.441234,19.2688,inf,True,orange,0
59687.007941,18.8851,inf,True,orange,0
59800.596274,19.4797,inf,True,orange,0
59803.374256,19.1636,inf,True,orange,0
59806.596159,19.0842,inf,True,orange,0
59807.40709,19.5011,inf,True,orange,0
59808.613155,19.5591,inf,True,orange,0
59813.150883,19.7088,inf,True,orange,0
59818.613569,19.5619,inf,True,orange,0
59822.620598,19.2611,inf,True,orange,0
59824.619025,19.6591,inf,True,cyan,0
59825.149149,19.8012,inf,True,orange,0
59826.611631,19.3979,inf,True,orange,0
