mjd,mag,mag_err,UL,filter,detected
59812.532981,19.6569,,True,orange,0
59813.544655,19.8761,,True,orange,0
59815.529327,19.7848,,True,orange,0
59816.508085,19.7197,,True,orange,0
59817.504307,19.9647,,True,cyan,0
59818.608557,19.8936,,True,cyan,0
59819.497372,19.8349,,True,orange,0
59820.502714,19.8361,,True,orange,0
59821.502679,19.9781,,True,cyan,0
59822.49512,19.9854,,True,cyan,0
59823.4726,19.3079,,True,orange,0
59824.517419,19.5764,,True,orange,0
59827.489006,19.8557,,True,orange,0
59828.489019,19.7775,,True,orange,0
59831.471078,19.4346,,True,orange,0
59832.591392,19.9098,,True,orange,0
59837.558139,19.6605,,True,orange,0
59838.547882,19.799,,True,orange,0
59839.458819,19.8893,,True,orange,0
59840.544828,19.7163,,True,orange,0
59841.534583,19.7088,,True,orange,0
59842.545451,19.7176,,True,orange,0
59843.546157,19.8201,,True,orange,0
59844.483606,20.312,,True,cyan,0
59845.520904,19.6228,,True,orange,0
59846.391684,19.3341,,True,orange,0
59847.372125,20.238,,True,cyan,0
59848.478384,20.1789,,True,cyan,0
59849.430826,19.8893,,True,orange,0
59850.451603,19.7094,,True,orange,0
59851.519997,20.2756,,True,cyan,0
59852.429472,19.9302,,True,cyan,0
59853.529134,19.8164,,True,orange,0
59854.428049,19.6661,,True,orange,0
59855.378261,19.8698,,True,orange,0
59856.511681,20.6519,,True,cyan,0
59858.42713,19.6617,,True,orange,0
59859.489114,20.0616,,True,orange,0
59860.366823,19.6009,,True,orange,0
59866.491757,19.6116,,True,orange,0
59867.500528,19.8419,,True,orange,0
59868.448487,19.9088,,True,orange,0
59869.413567,19.8762,,True,orange,0
59870.452171,19.8894,,True,orange,0
59871.421149,19.9563,,True,orange,0
59872.445859,19.9213,,True,orange,0
59873.319189,19.7858,,True,r,0
59873.385914,18.7208,,True,g,0
59873.563473,19.685,,True,orange,0
59875.445659,19.8577,,True,orange,0
59876.319745,19.6443,,True,r,0
59876.348226,19.8046,,True,orange,0
59878.218888,20.1616,,True,g,0
59878.231655,19.966,,True,r,0
59879.455813,19.5363,,True,orange,0
59880.220335,20.0614,,True,r,0
59880.237303,20.0457,,True,g,0
59880.450628,20.2557,,True,orange,0
59881.421243,20.0279,,True,cyan,0
59882.222164,20.1921,,True,g,0
59882.239398,20.0872,,True,r,0
59882.436637,19.7194,,True,cyan,0
59883.42367,20.1136,,True,orange,0
59884.423246,20.2493,,True,orange,0
59885.419759,19.4848,,True,orange,0
59886.349283,19.49,,True,orange,0
59887.297048,19.4404,,True,r,0
59887.40758,19.6733,,True,orange,0
59889.225173,18.9807,,True,g,0
59889.282546,19.1471,,True,r,0
59893.414123,19.526,,True,orange,0
59894.265011,19.3235,,True,r,0
59894.38383,18.7124,,True,g,0
59895.408432,19.5811,,True,orange,0
59896.236215,19.6808,,True,g,0
59896.306585,19.8974,,True,r,0
59896.432264,19.1565,,True,orange,0
59897.306143,19.2936,,True,orange,0
59898.222719,20.1214,0.3057,False,g,1
59898.292013,19.84,,True,r,0
59899.393196,19.9156,0.3152,False,cyan,1
59900.234699,19.9188,0.06,False,w,1
59900.247963,19.8475,0.3196,False,r,1
59900.390145,19.8834,0.2606,False,cyan,1
59901.476756,18.9743,,True,orange,0
59902.198645,19.621,0.1596,False,r,1
59902.30103,19.1701,0.1986,False,g,1
59902.304134,19.5601,0.2625,False,orange,1
59903.438584,19.2082,0.1693,False,cyan,1
59904.165416,19.0691,0.1202,False,g,1
59904.194907,19.3332,0.138,False,r,1
59904.420956,19.2535,0.1427,False,cyan,1
59906.222534,18.9697,0.1412,False,g,1
59906.234409,19.131,0.111,False,r,1
59906.383408,19.2709,0.2023,False,orange,1
59907.373763,18.8762,0.1364,False,cyan,1
59908.34549,18.8962,0.1027,False,cyan,1
59909.219432,18.9517,0.1046,False,r,1
59909.366249,18.9788,0.2226,False,orange,1
59911.201203,17.3961,,True,r,0
59914.152685,18.8067,0.101,False,r,1
59914.220023,18.5508,0.0899,False,g,1
59914.353811,18.7342,0.1321,False,orange,1
59923.1978,18.3151,0.0686,False,r,1
59923.218159,18.219,0.0879,False,g,1
59926.342394,18.3575,0.0965,False,orange,1
59928.175289,18.1365,0.0835,False,r,1
59928.197569,18.0901,0.0846,False,g,1
59932.195127,18.0028,0.0664,False,g,1
59932.223067,18.0839,0.0566,False,r,1
59934.245844,18.0704,0.0578,False,r,1
59936.173275,17.9476,0.0832,False,g,1
59942.207569,18.0714,0.0554,False,r,1
59953.143032,17.4285,,True,g,0
59953.161179,18.0713,0.0244,False,G,1
59953.23517,18.1413,0.025,False,G,1
59957.142615,18.3007,0.1332,False,g,1
59957.394607,18.2331,0.0991,False,orange,1
59964.236146,18.0547,0.217,False,orange,1
59965.272226,18.4424,0.1023,False,orange,1
59966.227584,18.4871,0.1039,False,orange,1
59967.18427,18.787,0.1871,False,g,1
59969.123645,18.5934,0.0966,False,r,1
59969.175219,19.0602,0.1677,False,g,1
59969.243958,18.6882,0.1371,False,orange,1
59977.145474,18.9042,,True,g,0
59979.18853,18.712,0.1263,False,r,1
59981.111076,18.8111,,True,g,0
59981.18449,18.7337,0.1591,False,r,1
59984.10912,19.0963,0.1627,False,r,1
60002.966709,20.0513,0.0577,False,G,1
