mjd,mag,mag_err,UL,filter,detected
59715.257098,19.1404,inf,True,orange,0
59823.578709,20.5492,inf,True,cyan,0
59833.604704,19.4168,inf,True,orange,0
59839.596487,19.8654,inf,True,orange,0
59845.588371,19.6404,inf,True,cyan,0
59847.547713,19.9984,inf,True,orange,0
59851.59359,20.2649,inf,True,orange,0
59853.623066,20.4794,inf,True,cyan,0
59859.579625,19.8211,inf,True,orange,0
59861.570789,18.6452,inf,True,orange,0
59863.547243,19.7999,inf,True,orange,0
59867.583021,19.7706,inf,True,orange,0
59869.53063,20.0129,inf,True,orange,0
59871.57347,20.0792,inf,True,orange,0
59873.580801,20.0654,inf,True,orange,0
59875.596621,20.3358,inf,True,cyan,0
59877.51987,20.3216,inf,True,orange,0
59881.5365,20.0514,inf,True,orange,0
59883.543291,20.5783,inf,True,cyan,0
59885.506066,20.1509,inf,True,orange,0
59889.557349,19.1078,inf,True,orange,0
59893.524842,19.7896,inf,True,orange,0
59895.219305,19.5954,inf,True,r,0
59895.324733,19.4442,inf,True,g,0
59895.539117,19.8376,inf,True,orange,0
59897.240937,19.4419,inf,True,g,0
59897.319629,19.6201,inf,True,r,0
59897.517593,19.6453,inf,True,orange,0
59899.512792,20.1147,inf,True,orange,0
59901.363553,20.1475,inf,True,r,0
59901.38728,17.8394,inf,True,g,0
59903.266516,19.8941,inf,True,g,0
59903.347222,20.052,inf,True,r,0
59905.30478,20.0891,inf,True,g,0
59905.363669,19.7598,inf,True,r,0
59905.592714,20.0381,inf,True,cyan,0
59907.524603,20.0034,inf,True,orange,0
59908.368958,20.0169,inf,True,r,0
59908.40515,19.8385,inf,True,g,0
59909.448625,20.5816,0.3446,False,cyan,1
59910.365497,20.0993,inf,True,r,0
59910.389907,20.2944,0.2427,False,g,1
59914.392291,20.0624,0.2175,False,r,1
59915.517286,20.181,0.3095,False,orange,1
59923.354525,19.3792,0.1612,False,r,1
59923.4089,19.2389,0.1892,False,g,1
59927.506573,19.2137,0.152,False,orange,1
59930.305208,19.1092,0.1082,False,r,1
59930.319108,18.9372,0.1151,False,g,1
59933.299305,18.9581,0.2794,False,g,1
59933.387002,18.9641,0.143,False,r,1
59935.278599,18.9664,0.1136,False,r,1
59935.327661,18.8078,0.0778,False,g,1
59937.27721,18.7744,0.1056,False,r,1
59937.318356,18.7917,0.0967,False,g,1
59951.206724,18.712,0.2041,False,g,1
59951.278368,18.8375,0.1485,False,r,1
59956.239791,18.6396,0.0797,False,r,1
59956.261724,18.4982,0.0986,False,g,1
59959.355029,18.7383,0.1021,False,orange,1
59963.458175,18.6161,0.0768,False,orange,1
59967.242963,18.7693,0.1265,False,r,1
59967.42882,18.7299,0.0912,False,orange,1
59969.258287,18.6541,0.0799,False,g,1
59969.306909,18.7167,0.0756,False,r,1
59971.281342,18.7367,0.0858,False,r,1
59979.204386,18.7515,0.096,False,r,1
59979.266863,18.8693,0.1841,False,g,1
59981.15971,18.6606,0.1946,False,g,1
59984.180104,18.929,0.0987,False,g,1
59984.226481,18.9357,0.0983,False,r,1
59987.239131,18.8534,0.1104,False,r,1
59993.141076,19.2125,0.1553,False,g,1
59993.176307,18.9695,0.1594,False,r,1
60015.30032,19.1813,0.1578,False,orange,1
60019.364826,19.2288,0.1521,False,orange,1
60020.15368,20.0247,0.232,False,g,1
60020.280625,19.5754,0.1273,False,r,1
60023.292213,17.8548,inf,True,orange,0
60031.163622,19.7018,0.18,False,r,1
60031.186215,19.6153,inf,True,g,0
60031.24992,19.8632,0.3148,False,orange,1
60036.217847,19.7626,0.3094,False,r,1
60036.281527,18.9514,inf,True,g,0
60042.313043,18.2431,inf,True,orange,0
60043.163738,19.6346,inf,True,g,0
60043.264374,18.8495,inf,True,r,0
60044.293682,19.6507,inf,True,orange,0
60045.161805,20.12,inf,True,g,0
60045.243877,19.903,0.1445,False,r,1
60046.249257,19.458,inf,True,cyan,0
60048.246929,20.0158,inf,True,cyan,0
60049.162766,19.8668,inf,True,g,0
60049.199455,20.3059,0.2038,False,r,1
60050.273432,20.067,inf,True,cyan,0
60052.245485,20.091,0.334,False,cyan,1
60056.249983,20.4565,0.3592,False,cyan,1
60082.253555,19.2121,inf,True,orange,0
60200.604659,20.4423,inf,True,cyan,0
60206.591971,20.5272,inf,True,cyan,0
60214.604552,19.9318,inf,True,orange,0
60218.583288,18.9789,inf,True,orange,0
60220.539401,19.4471,inf,True,orange,0
60224.610726,20.1181,inf,True,orange,0
60381.282734,21.1608,inf,True,g,0
60381.294012,21.4645,inf,True,r,0
60381.305204,21.0491,inf,True,i,0
60387.24135,20.6869,inf,True,g,0
60387.252697,21.0376,inf,True,r,0
60387.264004,20.8724,inf,True,i,0
60633.519484,21.2503,inf,True,g,0
60633.530911,22.3374,inf,True,r,0
60633.542334,22.5685,inf,True,i,0
