mjd,mag,mag_err,UL,filter,detected
59639.58413,20.5877,,True,cyan,0
59641.63617,20.0847,,True,orange,0
59645.567721,20.1277,,True,orange,0
59649.639707,20.0601,,True,orange,0
59653.583557,19.2465,,True,orange,0
59665.610926,19.9827,,True,orange,0
59669.557556,20.0942,,True,orange,0
59671.535611,20.3071,,True,cyan,0
59675.534365,20.3066,,True,cyan,0
59677.579688,20.1424,,True,orange,0
59679.520919,19.5228,,True,cyan,0
59681.552661,19.4323,,True,orange,0
59687.505595,19.1258,,True,orange,0
59689.549906,19.8458,,True,orange,0
59693.500639,19.8297,,True,orange,0
59695.388981,19.8524,,True,g,0
59695.430208,17.9098,,True,r,0
59695.500651,20.3375,,True,cyan,0
59697.412349,20.3728,,True,r,0
59697.426713,20.883,,True,g,0
59697.569456,19.1513,,True,orange,0
59699.505288,19.4235,,True,cyan,0
59700.362361,20.191,,True,g,0
59700.38824,20.3884,,True,r,0
59702.327083,20.5801,,True,g,0
59702.40699,20.3826,,True,r,0
59708.367893,19.8676,,True,r,0
59708.454259,20.3545,,True,r,0
59709.494363,19.4795,,True,orange,0
59710.390625,19.9564,,True,r,0
59710.447384,20.3405,,True,g,0
59711.483487,20.0175,,True,orange,0
59712.392442,19.9676,,True,r,0
59712.456828,20.1449,,True,g,0
59713.503762,19.7028,,True,orange,0
59714.410567,19.7455,,True,r,0
59715.489889,19.3219,,True,orange,0
59717.456914,19.2673,,True,orange,0
59718.286088,19.9714,,True,r,0
59718.363483,20.1789,,True,r,0
59719.458781,19.8139,,True,orange,0
59721.342951,20.6765,,True,r,0
59721.388321,20.661,0.3234,False,r,1
59721.54207,19.4936,,True,orange,0
59723.32559,20.8127,0.2995,False,r,1
59723.36537,20.4989,0.2682,False,g,1
59723.47025,20.6695,0.3004,False,cyan,1
59725.346458,20.7303,,True,g,0
59725.382071,20.5694,0.1887,False,r,1
59725.451733,19.555,,True,orange,0
59727.265775,16.7679,,True,r,0
59727.349305,19.3512,,True,g,0
59727.446122,20.3713,0.2694,False,cyan,1
59729.526974,19.3863,,True,orange,0
59730.388958,20.2998,0.1694,False,g,1
59730.411365,20.307,0.1541,False,r,1
59731.484615,19.8669,0.2066,False,cyan,1
59732.427916,19.9274,0.2294,False,g,1
59732.443506,20.3695,0.2212,False,r,1
59733.432827,19.4487,,True,orange,0
59734.263321,18.3463,,True,r,0
59734.263321,18.3496,,True,r,0
59734.32059,20.0193,0.1434,False,g,1
59734.32059,20.0205,0.1434,False,g,1
59735.41336,19.7472,0.1903,False,cyan,1
59736.436076,20.0457,0.1306,False,r,1
59736.455925,20.0422,0.1678,False,g,1
59737.506573,19.4189,,True,orange,0
59739.277407,19.955,0.1755,False,r,1
59739.370219,19.7994,0.1649,False,g,1
59739.477469,20.0568,0.336,False,orange,1
59741.349895,20.051,,True,r,0
59741.383164,19.3883,,True,orange,0
59741.408437,19.6905,0.1718,False,g,1
59743.305,19.8745,0.2432,False,r,1
59743.386863,19.3648,0.2574,False,g,1
59745.470798,19.274,,True,orange,0
59747.561178,19.1753,,True,orange,0
59748.286365,19.6869,0.1715,False,g,1
59748.332604,19.7525,0.1806,False,r,1
59750.28596,19.5162,0.1289,False,g,1
59750.347303,19.8502,0.1667,False,r,1
59751.372244,19.4304,0.1313,False,cyan,1
59752.309606,19.4936,0.1314,False,g,1
59753.438803,19.9206,0.2283,False,orange,1
59755.276713,19.5444,0.1446,False,g,1
59755.308009,19.7779,0.1157,False,r,1
59757.268379,19.5141,0.132,False,g,1
59757.287476,19.4837,0.1229,False,g,1
59757.39878,20.0423,0.2995,False,orange,1
59759.25927,19.5679,0.1165,False,g,1
59759.326712,19.7768,0.1256,False,r,1
59761.306689,19.6094,0.1347,False,g,1
59761.350682,19.7334,0.1259,False,r,1
59761.408784,19.8092,0.3111,False,orange,1
59763.37103,19.6029,0.1501,False,g,1
59765.281273,19.5572,0.1245,False,g,1
59765.342523,19.7821,0.1655,False,r,1
59765.408536,19.8205,0.2761,False,orange,1
59768.345578,19.5881,0.1194,False,g,1
59768.371145,19.5834,0.1475,False,g,1
59769.414685,19.6064,0.2799,False,orange,1
59770.217222,19.7796,0.2305,False,g,1
59770.324455,19.7515,0.186,False,g,1
59772.311817,19.7505,0.19,False,r,1
59772.407013,19.7711,0.2114,False,r,1
59774.224097,19.8358,,True,r,0
59774.298587,19.5475,0.1928,False,r,1
59776.237465,19.7925,0.1472,False,r,1
59776.326793,19.6381,0.1626,False,r,1
59777.442844,19.0508,,True,orange,0
59779.26603,19.7255,0.1159,False,r,1
59779.428023,19.8727,0.2642,False,orange,1
59781.267812,19.7881,0.1285,False,g,1
59781.343703,20.0865,,True,g,0
59783.299131,19.8167,0.1767,False,g,1
59783.376788,19.5638,0.1397,False,cyan,1
59783.380937,19.6851,0.1682,False,r,1
59785.284062,19.7795,0.1341,False,r,1
59785.327118,19.8607,0.1567,False,g,1
59785.39845,20.0983,0.3495,False,orange,1
59787.264259,19.9253,0.1728,False,g,1
59787.310995,19.8055,0.1681,False,r,1
59787.386714,20.1557,0.2851,False,cyan,1
59789.240891,19.7722,0.1795,False,r,1
59789.280381,19.8937,0.1652,False,g,1
59789.412511,19.4203,0.238,False,orange,1
59791.218368,19.8248,0.1576,False,r,1
59791.341927,19.9555,0.2159,False,cyan,1
59793.35459,19.3327,,True,orange,0
59794.28265,19.8435,0.1576,False,r,1
59794.327465,20.1889,0.2775,False,g,1
59797.302708,20.241,0.1849,False,g,1
59797.345775,20.1161,0.175,False,r,1
59799.225034,20.069,,True,r,0
59799.332602,19.3099,,True,orange,0
59801.356942,19.3773,0.238,False,orange,1
59802.244594,19.1762,,True,r,0
59802.30596,19.5956,,True,g,0
59803.391474,19.7762,,True,orange,0
59805.203286,20.1369,0.2019,False,r,1
59805.318967,19.8465,,True,orange,0
59807.315252,19.7331,,True,orange,0
59809.370092,19.3491,,True,orange,0
59811.349014,20.1997,,True,cyan,0
59813.331445,19.8013,,True,orange,0
59817.341723,20.1554,,True,orange,0
59819.366677,19.7969,,True,cyan,0
59823.277029,19.7705,,True,orange,0
59825.354261,20.0271,,True,orange,0
59829.259451,19.5044,,True,orange,0
59833.32718,19.5582,,True,orange,0
59837.248808,19.9706,,True,orange,0
59839.249116,19.9593,,True,orange,0
59841.283225,20.245,,True,cyan,0
59843.320219,19.3051,,True,orange,0
59847.233041,20.1204,,True,orange,0
59851.293988,19.693,,True,orange,0
59853.228113,20.0203,,True,orange,0
59863.218088,19.4182,,True,orange,0
59867.272127,20.0255,,True,cyan,0
59869.21493,19.727,,True,orange,0
59871.253577,19.9266,,True,cyan,0
59873.219188,20.3947,,True,orange,0
59875.254491,20.3636,,True,cyan,0
59881.224278,19.7462,,True,orange,0
59883.239329,19.8686,,True,orange,0
59897.24709,20.0526,,True,cyan,0
59907.206307,20.1849,,True,orange,0
59966.539062,22.2803,,True,g,0
59966.550781,22.6062,,True,r,0
59966.5625,21.5813,,True,i,0
59973.527343,21.5346,,True,g,0
59973.539062,21.9108,,True,r,0
59973.550781,21.6117,,True,i,0
59981.496093,20.9501,,True,g,0
59981.507812,21.7941,,True,r,0
59981.519531,21.8571,,True,i,0
