mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59639.58413,20.5877,,True,cyan,AB,0,cyan,5182.42
59641.63617,20.0847,,True,orange,AB,0,orange,6629.82
59645.567721,20.1277,,True,orange,AB,0,orange,6629.82
59649.639707,20.0601,,True,orange,AB,0,orange,6629.82
59653.583557,19.2465,,True,orange,AB,0,orange,6629.82
59665.610926,19.9827,,True,orange,AB,0,orange,6629.82
59669.557556,20.0942,,True,orange,AB,0,orange,6629.82
59671.535611,20.3071,,True,cyan,AB,0,cyan,5182.42
59675.534365,20.3066,,True,cyan,AB,0,cyan,5182.42
59677.579688,20.1424,,True,orange,AB,0,orange,6629.82
59679.520919,19.5228,,True,cyan,AB,0,cyan,5182.42
59681.552661,19.4323,,True,orange,AB,0,orange,6629.82
59687.505595,19.1258,,True,orange,AB,0,orange,6629.82
59689.549906,19.8458,,True,orange,AB,0,orange,6629.82
59693.500639,19.8297,,True,orange,AB,0,orange,6629.82
59695.388981,19.8524,,True,g,AB,0,g,4671.78
59695.430208,17.9098,,True,r,AB,0,r,6141.12
59695.500651,20.3375,,True,cyan,AB,0,cyan,5182.42
59697.412349,20.3728,,True,r,AB,0,r,6141.12
59697.426713,20.883,,True,g,AB,0,g,4671.78
59697.569456,19.1513,,True,orange,AB,0,orange,6629.82
59699.505288,19.4235,,True,cyan,AB,0,cyan,5182.42
59700.362361,20.191,,True,g,AB,0,g,4671.78
59700.38824,20.3884,,True,r,AB,0,r,6141.12
59702.327083,20.5801,,True,g,AB,0,g,4671.78
59702.40699,20.3826,,True,r,AB,0,r,6141.12
59708.367893,19.8676,,True,r,AB,0,r,6141.12
59708.454259,20.3545,,True,r,AB,0,r,6141.12
59709.494363,19.4795,,True,orange,AB,0,orange,6629.82
59710.390625,19.9564,,True,r,AB,0,r,6141.12
59710.447384,20.3405,,True,g,AB,0,g,4671.78
59711.483487,20.0175,,True,orange,AB,0,orange,6629.82
59712.392442,19.9676,,True,r,AB,0,r,6141.12
59712.456828,20.1449,,True,g,AB,0,g,4671.78
59713.503762,19.7028,,True,orange,AB,0,orange,6629.82
59714.410567,19.7455,,True,r,AB,0,r,6141.12
59715.489889,19.3219,,True,orange,AB,0,orange,6629.82
59717.456914,19.2673,,True,orange,AB,0,orange,6629.82
59718.286088,19.9714,,True,r,AB,0,r,6141.12
59718.363483,20.1789,,True,r,AB,0,r,6141.12
59719.458781,19.8139,,True,orange,AB,0,orange,6629.82
59721.342951,20.6765,,True,r,AB,0,r,6141.12
59721.388321,20.661,0.3234,False,r,AB,1,r,6141.12
59721.54207,19.4936,,True,orange,AB,0,orange,6629.82
59723.32559,20.8127,0.2995,False,r,AB,1,r,6141.12
59723.36537,20.4989,0.2682,False,g,AB,1,g,4671.78
59723.47025,20.6695,0.3004,False,cyan,AB,1,cyan,5182.42
59725.346458,20.7303,,True,g,AB,0,g,4671.78
59725.382071,20.5694,0.1887,False,r,AB,1,r,6141.12
59725.451733,19.555,,True,orange,AB,0,orange,6629.82
59727.265775,16.7679,,True,r,AB,0,r,6141.12
59727.349305,19.3512,,True,g,AB,0,g,4671.78
59727.446122,20.3713,0.2694,False,cyan,AB,1,cyan,5182.42
59729.526974,19.3863,,True,orange,AB,0,orange,6629.82
59730.388958,20.2998,0.1694,False,g,AB,1,g,4671.78
59730.411365,20.307,0.1541,False,r,AB,1,r,6141.12
59731.484615,19.8669,0.2066,False,cyan,AB,1,cyan,5182.42
59732.427916,19.9274,0.2294,False,g,AB,1,g,4671.78
59732.443506,20.3695,0.2212,False,r,AB,1,r,6141.12
59733.432827,19.4487,,True,orange,AB,0,orange,6629.82
59734.263321,18.3463,,True,r,AB,0,r,6141.12
59734.263321,18.3496,,True,r,AB,0,r,6141.12
59734.32059,20.0193,0.1434,False,g,AB,1,g,4671.78
59734.32059,20.0205,0.1434,False,g,AB,1,g,4671.78
59735.41336,19.7472,0.1903,False,cyan,AB,1,cyan,5182.42
59736.436076,20.0457,0.1306,False,r,AB,1,r,6141.12
59736.455925,20.0422,0.1678,False,g,AB,1,g,4671.78
59737.506573,19.4189,,True,orange,AB,0,orange,6629.82
59739.277407,19.955,0.1755,False,r,AB,1,r,6141.12
59739.370219,19.7994,0.1649,False,g,AB,1,g,4671.78
59739.477469,20.0568,0.336,False,orange,AB,1,orange,6629.82
59741.349895,20.051,,True,r,AB,0,r,6141.12
59741.383164,19.3883,,True,orange,AB,0,orange,6629.82
59741.408437,19.6905,0.1718,False,g,AB,1,g,4671.78
59743.305,19.8745,0.2432,False,r,AB,1,r,6141.12
59743.386863,19.3648,0.2574,False,g,AB,1,g,4671.78
59745.470798,19.274,,True,orange,AB,0,orange,6629.82
59747.561178,19.1753,,True,orange,AB,0,orange,6629.82
59748.286365,19.6869,0.1715,False,g,AB,1,g,4671.78
59748.332604,19.7525,0.1806,False,r,AB,1,r,6141.12
59750.28596,19.5162,0.1289,False,g,AB,1,g,4671.78
59750.347303,19.8502,0.1667,False,r,AB,1,r,6141.12
59751.372244,19.4304,0.1313,False,cyan,AB,1,cyan,5182.42
59752.309606,19.4936,0.1314,False,g,AB,1,g,4671.78
59753.438803,19.9206,0.2283,False,orange,AB,1,orange,6629.82
59755.276713,19.5444,0.1446,False,g,AB,1,g,4671.78
59755.308009,19.7779,0.1157,False,r,AB,1,r,6141.12
59757.268379,19.5141,0.132,False,g,AB,1,g,4671.78
59757.287476,19.4837,0.1229,False,g,AB,1,g,4671.78
59757.39878,20.0423,0.2995,False,orange,AB,1,orange,6629.82
59759.25927,19.5679,0.1165,False,g,AB,1,g,4671.78
59759.326712,19.7768,0.1256,False,r,AB,1,r,6141.12
59761.306689,19.6094,0.1347,False,g,AB,1,g,4671.78
59761.350682,19.7334,0.1259,False,r,AB,1,r,6141.12
59761.408784,19.8092,0.3111,False,orange,AB,1,orange,6629.82
59763.37103,19.6029,0.1501,False,g,AB,1,g,4671.78
59765.281273,19.5572,0.1245,False,g,AB,1,g,4671.78
59765.342523,19.7821,0.1655,False,r,AB,1,r,6141.12
59765.408536,19.8205,0.2761,False,orange,AB,1,orange,6629.82
59768.345578,19.5881,0.1194,False,g,AB,1,g,4671.78
59768.371145,19.5834,0.1475,False,g,AB,1,g,4671.78
59769.414685,19.6064,0.2799,False,orange,AB,1,orange,6629.82
59770.217222,19.7796,0.2305,False,g,AB,1,g,4671.78
59770.324455,19.7515,0.186,False,g,AB,1,g,4671.78
59772.311817,19.7505,0.19,False,r,AB,1,r,6141.12
59772.407013,19.7711,0.2114,False,r,AB,1,r,6141.12
59774.224097,19.8358,,True,r,AB,0,r,6141.12
59774.298587,19.5475,0.1928,False,r,AB,1,r,6141.12
59776.237465,19.7925,0.1472,False,r,AB,1,r,6141.12
59776.326793,19.6381,0.1626,False,r,AB,1,r,6141.12
59777.442844,19.0508,,True,orange,AB,0,orange,6629.82
59779.26603,19.7255,0.1159,False,r,AB,1,r,6141.12
59779.428023,19.8727,0.2642,False,orange,AB,1,orange,6629.82
59781.267812,19.7881,0.1285,False,g,AB,1,g,4671.78
59781.343703,20.0865,,True,g,AB,0,g,4671.78
59783.299131,19.8167,0.1767,False,g,AB,1,g,4671.78
59783.376788,19.5638,0.1397,False,cyan,AB,1,cyan,5182.42
59783.380937,19.6851,0.1682,False,r,AB,1,r,6141.12
59785.284062,19.7795,0.1341,False,r,AB,1,r,6141.12
59785.327118,19.8607,0.1567,False,g,AB,1,g,4671.78
59785.39845,20.0983,0.3495,False,orange,AB,1,orange,6629.82
59787.264259,19.9253,0.1728,False,g,AB,1,g,4671.78
59787.310995,19.8055,0.1681,False,r,AB,1,r,6141.12
59787.386714,20.1557,0.2851,False,cyan,AB,1,cyan,5182.42
59789.240891,19.7722,0.1795,False,r,AB,1,r,6141.12
59789.280381,19.8937,0.1652,False,g,AB,1,g,4671.78
59789.412511,19.4203,0.238,False,orange,AB,1,orange,6629.82
59791.218368,19.8248,0.1576,False,r,AB,1,r,6141.12
59791.341927,19.9555,0.2159,False,cyan,AB,1,cyan,5182.42
59793.35459,19.3327,,True,orange,AB,0,orange,6629.82
59794.28265,19.8435,0.1576,False,r,AB,1,r,6141.12
59794.327465,20.1889,0.2775,False,g,AB,1,g,4671.78
59797.302708,20.241,0.1849,False,g,AB,1,g,4671.78
59797.345775,20.1161,0.175,False,r,AB,1,r,6141.12
59799.225034,20.069,,True,r,AB,0,r,6141.12
59799.332602,19.3099,,True,orange,AB,0,orange,6629.82
