mjd,mag,mag_err,UL,filter,System,detected
59713.216527,19.1745,,True,orange,AB,0
59714.494484,19.7243,,True,orange,AB,0
59715.233623,20.199,,True,orange,AB,0
59717.490723,19.629,,True,orange,AB,0
59719.441297,20.3514,,True,orange,AB,0
59720.495098,19.8936,,True,orange,AB,0
59721.424497,20.4448,,True,cyan,AB,0
59722.47135,20.4629,,True,cyan,AB,0
59722.496046,19.9876,,True,orange,AB,0
59723.475553,20.0462,,True,orange,AB,0
59724.415846,20.4565,,True,cyan,AB,0
59724.791653,20.6684,,True,orange,AB,0
59725.470098,19.8156,,True,cyan,AB,0
59726.411022,20.0166,,True,orange,AB,0
59726.470004,20.3816,,True,cyan,AB,0
59727.25721,20.0212,,True,orange,AB,0
59728.973612,19.7018,,True,orange,AB,0
59729.00639,19.4978,,True,orange,AB,0
59729.475507,20.3748,,True,cyan,AB,0
59730.408776,19.9952,,True,orange,AB,0
59730.450186,20.2957,,True,cyan,AB,0
59731.399891,19.9431,,True,orange,AB,0
59732.39417,19.9006,,True,orange,AB,0
59733.38692,20.2393,,True,cyan,AB,0
59734.46276,20.0242,,True,orange,AB,0
59734.475868,20.3499,,True,cyan,AB,0
59735.436168,20.0168,,True,orange,AB,0
59736.312442,20.5856,,True,g,AB,0
59736.350115,20.4683,,True,r,AB,0
59736.66571,20.4021,,True,orange,AB,0
59737.357066,20.066,,True,orange,AB,0
59738.296435,20.1244,,True,r,AB,0
59738.344853,19.871,,True,orange,AB,0
59739.419301,19.9349,,True,orange,AB,0
59740.318981,19.9139,,True,r,AB,0
59740.346859,20.2745,,True,orange,AB,0
59740.39405,19.6656,,True,g,AB,0
59741.437166,19.7563,,True,orange,AB,0
59742.275486,19.308,,True,r,AB,0
59742.314548,19.097,,True,g,AB,0
59742.377454,19.4422,,True,orange,AB,0
59743.293961,19.7324,,True,orange,AB,0
59744.412195,19.4232,,True,orange,AB,0
59746.410873,19.3492,,True,orange,AB,0
59747.292213,19.4687,,True,orange,AB,0
59747.350046,19.958,,True,r,AB,0
59748.42526,19.6007,,True,orange,AB,0
59749.319583,19.9083,,True,r,AB,0
59749.319999,19.9054,,True,r,AB,0
59749.398987,19.8987,,True,cyan,AB,0
59750.450879,20.7523,0.23,False,w,AB,1
59750.466929,20.0453,,True,orange,AB,0
59751.291701,20.6132,0.323,False,r,AB,1
59751.335416,20.4385,,True,g,AB,0
59751.421842,20.0499,,True,orange,AB,0
59752.457581,19.733,,True,orange,AB,0
59753.275787,20.5023,0.3068,False,g,AB,1
59753.31699,20.3236,,True,r,AB,0
59753.391507,19.7334,,True,cyan,AB,0
59754.375334,20.0808,,True,orange,AB,0
59754.402671,19.8061,,True,cyan,AB,0
59755.449209,19.687,,True,orange,AB,0
59756.29096,20.3849,0.2567,False,g,AB,1
59756.342476,20.151,0.2332,False,r,AB,1
59756.399948,19.8028,,True,cyan,AB,0
59756.439521,19.7283,,True,orange,AB,0
59757.392888,19.0413,,True,cyan,AB,0
59758.289895,20.0799,0.2356,False,r,AB,1
59758.368927,20.1929,0.297,False,orange,AB,1
