mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59709.607643,19.6746,,True,orange,AB,0,orange,6629.82
59711.604031,19.652,,True,cyan,AB,0,cyan,5182.42
59717.601995,19.0488,,True,orange,AB,0,orange,6629.82
59725.595248,19.4975,,True,orange,AB,0,orange,6629.82
59727.605069,19.2197,,True,cyan,AB,0,cyan,5182.42
59733.595289,19.6363,,True,orange,AB,0,orange,6629.82
59735.578168,19.7223,,True,cyan,AB,0,cyan,5182.42
59739.455011,20.359,,True,r,AB,0,r,6366.38
59739.599945,19.7068,,True,cyan,AB,0,cyan,5182.42
59741.3664,19.2509,,True,r,AB,0,r,6366.38
59741.448055,20.2733,,True,g,AB,0,g,4746.48
59741.596284,19.481,,True,orange,AB,0,orange,6629.82
59744.412604,19.1484,,True,r,AB,0,r,6366.38
59744.436805,18.7714,,True,g,AB,0,g,4746.48
59745.599521,18.8393,,True,orange,AB,0,orange,6629.82
59748.414895,19.2886,,True,g,AB,0,g,4746.48
59748.430231,19.6476,,True,r,AB,0,r,6366.38
59748.430231,19.638,,True,r,AB,0,r,6366.38
59750.391168,20.3567,0.3182,False,r,AB,1,r,6366.38
59750.391168,20.3663,0.3182,False,r,AB,1,r,6366.38
59750.422696,19.656,,True,g,AB,0,g,4746.48
59751.564075,19.3415,,True,orange,AB,0,orange,6629.82
59752.399988,20.0827,,True,r,AB,0,r,6366.38
59753.601131,19.2826,,True,orange,AB,0,orange,6629.82
59755.430463,19.7241,0.1482,False,g,AB,1,g,4746.48
59755.449039,19.8327,0.1803,False,r,AB,1,r,6366.38
59757.373946,19.4675,0.1499,False,g,AB,1,g,4746.48
59757.430833,19.6334,0.1549,False,g,AB,1,g,4746.48
59757.534955,19.2971,0.24,False,orange,AB,1,orange,6629.82
59760.383969,18.0906,,True,r,AB,0,r,6366.38
59760.433298,18.4068,,True,r,AB,0,r,6366.38
59760.433298,18.4164,,True,r,AB,0,r,6366.38
59761.5515,19.5133,0.2562,False,orange,AB,1,orange,6629.82
59763.428564,19.4185,0.0941,False,r,AB,1,r,6366.38
59763.455312,19.2968,0.1049,False,g,AB,1,g,4746.48
59765.53816,19.177,0.1767,False,orange,AB,1,orange,6629.82
59766.390601,19.2788,0.0992,False,r,AB,1,r,6366.38
59766.433588,19.1667,0.1019,False,g,AB,1,g,4746.48
59766.433588,19.1702,0.1019,False,g,AB,1,g,4746.48
59766.534831,19.4473,0.1652,False,cyan,AB,1,cyan,5182.42
59767.556987,19.1358,0.2293,False,cyan,AB,1,cyan,5182.42
59769.427847,19.1613,0.1226,False,g,AB,1,g,4746.48
59769.454629,19.1267,0.0983,False,g,AB,1,g,4746.48
59769.559117,19.3277,0.2002,False,orange,AB,1,orange,6629.82
59771.39133,18.9519,0.1341,False,g,AB,1,g,4746.48
59771.449259,19.1039,0.1164,False,g,AB,1,g,4746.48
59771.520867,18.3021,,True,orange,AB,0,orange,6629.82
59773.426018,19.1885,0.1188,False,r,AB,1,r,6366.38
59773.447141,19.4899,,True,r,AB,0,r,6366.38
59773.494759,19.4077,0.3333,False,orange,AB,1,orange,6629.82
59775.415578,19.0007,0.1214,False,r,AB,1,r,6366.38
59775.448495,19.3095,0.1392,False,r,AB,1,r,6366.38
59777.603883,18.9185,0.1955,False,orange,AB,1,orange,6629.82
59778.402708,19.1409,0.1176,False,r,AB,1,r,6366.38
59778.44625,18.996,0.0954,False,r,AB,1,r,6366.38
59779.557768,19.358,0.2132,False,orange,AB,1,orange,6629.82
59780.403564,19.0172,0.1189,False,g,AB,1,g,4746.48
59780.452025,19.0127,0.1319,False,g,AB,1,g,4746.48
59782.407002,19.0614,0.1126,False,r,AB,1,r,6366.38
59782.450324,18.965,0.0854,False,g,AB,1,g,4746.48
59783.528886,19.1532,0.1587,False,orange,AB,1,orange,6629.82
59784.391817,19.0413,0.1162,False,g,AB,1,g,4746.48
59784.424861,19.0859,0.0714,False,r,AB,1,r,6366.38
59785.503899,19.1214,0.1719,False,orange,AB,1,orange,6629.82
59786.408506,19.046,0.0787,False,r,AB,1,r,6366.38
59786.44956,18.9739,0.0878,False,g,AB,1,g,4746.48
59786.551878,19.0004,0.1006,False,cyan,AB,1,cyan,5182.42
59787.48359,19.124,0.1111,False,cyan,AB,1,cyan,5182.42
59787.539196,19.0925,0.1624,False,orange,AB,1,orange,6629.82
59788.409687,19.0552,0.0868,False,r,AB,1,r,6366.38
59788.450578,19.0214,0.0929,False,g,AB,1,g,4746.48
59788.50441,18.9926,0.1459,False,orange,AB,1,orange,6629.82
59789.426506,19.0923,0.1779,False,orange,AB,1,orange,6629.82
59789.458424,19.02,0.1055,False,cyan,AB,1,cyan,5182.42
59790.363321,19.0865,0.0925,False,g,AB,1,g,4746.48
59790.389351,18.9387,0.0837,False,r,AB,1,r,6366.38
59791.484182,19.016,0.1065,False,cyan,AB,1,cyan,5182.42
59791.498156,19.0277,0.1553,False,orange,AB,1,orange,6629.82
59792.48616,19.1377,0.1772,False,orange,AB,1,orange,6629.82
59793.535904,19.0579,0.1622,False,orange,AB,1,orange,6629.82
59794.445219,18.9583,0.1016,False,r,AB,1,r,6366.38
59796.469575,19.1465,0.1695,False,orange,AB,1,orange,6629.82
59797.579858,19.1599,0.1814,False,orange,AB,1,orange,6629.82
59798.361643,18.9185,0.0709,False,r,AB,1,r,6366.38
59798.409988,19.0229,0.0863,False,g,AB,1,g,4746.48
59799.506068,18.9167,0.107,False,orange,AB,1,orange,6629.82
59800.547728,19.0521,0.1642,False,orange,AB,1,orange,6629.82
59801.426932,19.0354,0.1256,False,g,AB,1,g,4746.48
59801.448356,18.8973,0.0875,False,r,AB,1,r,6366.38
59801.500388,19.138,0.2291,False,orange,AB,1,orange,6629.82
59803.409062,19.0388,0.1261,False,r,AB,1,r,6366.38
59803.448217,18.9798,0.1728,False,g,AB,1,g,4746.48
59803.51494,18.3239,,True,orange,AB,0,orange,6629.82
59804.463541,19.2074,0.2923,False,orange,AB,1,orange,6629.82
59805.451557,18.9669,0.2178,False,orange,AB,1,orange,6629.82
59806.408113,18.9292,0.1093,False,r,AB,1,r,6366.38
59806.44905,19.395,,True,g,AB,0,g,4746.48
59807.466034,19.2104,0.152,False,orange,AB,1,orange,6629.82
59808.319386,19.0074,0.1246,False,g,AB,1,g,4746.48
59808.382997,18.8765,0.0774,False,r,AB,1,r,6366.38
59809.487258,19.1279,0.1225,False,orange,AB,1,orange,6629.82
59810.318275,18.8836,0.0881,False,r,AB,1,r,6366.38
59810.534976,19.1534,0.1718,False,orange,AB,1,orange,6629.82
59811.45361,19.2078,0.179,False,orange,AB,1,orange,6629.82
59812.302199,19.1778,0.1034,False,g,AB,1,g,4746.48
59812.326284,18.9438,0.0674,False,r,AB,1,r,6366.38
59813.523621,18.8152,0.1345,False,orange,AB,1,orange,6629.82
59814.324178,19.2701,0.1076,False,g,AB,1,g,4746.48
59814.384918,18.9557,0.0678,False,r,AB,1,r,6366.38
59816.385786,18.9834,0.0788,False,r,AB,1,r,6366.38
59816.426921,19.2626,0.1115,False,g,AB,1,g,4746.48
59816.544339,18.9575,0.1546,False,orange,AB,1,orange,6629.82
59817.47056,19.1039,0.1155,False,cyan,AB,1,cyan,5182.42
59817.533727,19.2057,0.19,False,orange,AB,1,orange,6629.82
59819.523757,19.0947,0.1094,False,cyan,AB,1,cyan,5182.42
59819.527902,18.987,0.1692,False,orange,AB,1,orange,6629.82
59820.478835,18.9834,0.1513,False,orange,AB,1,orange,6629.82
59821.319085,18.9447,0.0581,False,r,AB,1,r,6366.38
59821.361469,19.2718,0.1264,False,g,AB,1,g,4746.48
59821.530753,19.376,0.2255,False,orange,AB,1,orange,6629.82
59821.540857,19.0363,0.1068,False,cyan,AB,1,cyan,5182.42
59823.419201,19.0353,0.1101,False,cyan,AB,1,cyan,5182.42
59823.517584,19.0706,0.1664,False,orange,AB,1,orange,6629.82
59824.322905,18.9858,0.073,False,r,AB,1,r,6366.38
59824.347152,19.3014,0.1363,False,g,AB,1,g,4746.48
59825.48713,19.1415,0.2029,False,orange,AB,1,orange,6629.82
59826.299768,19.0131,0.0867,False,r,AB,1,r,6366.38
59826.34331,19.3692,0.1159,False,g,AB,1,g,4746.48
59829.40905,19.4641,0.1467,False,g,AB,1,g,4746.48
59829.419428,18.5899,,True,orange,AB,0,orange,6629.82
59829.437395,19.0155,0.0875,False,r,AB,1,r,6366.38
59832.489683,19.073,0.2095,False,orange,AB,1,orange,6629.82
59833.468509,19.1578,0.2341,False,orange,AB,1,orange,6629.82
59835.49879,19.0458,0.1745,False,orange,AB,1,orange,6629.82
59836.464953,19.1483,0.1762,False,orange,AB,1,orange,6629.82
59837.487719,19.2646,0.1462,False,orange,AB,1,orange,6629.82
59838.461483,19.0146,0.158,False,orange,AB,1,orange,6629.82
59839.269768,19.6035,0.1477,False,g,AB,1,g,4746.48
59839.302673,19.4111,0.117,False,g,AB,1,g,4746.48
59839.423878,19.2329,0.1491,False,orange,AB,1,orange,6629.82
59840.488139,19.1352,0.1572,False,orange,AB,1,orange,6629.82
59841.281782,19.5853,0.1189,False,g,AB,1,g,4746.48
59841.319618,19.6081,0.1109,False,g,AB,1,g,4746.48
59841.444996,19.4403,0.1449,False,cyan,AB,1,cyan,5182.42
59841.450541,19.1875,0.1696,False,orange,AB,1,orange,6629.82
59842.44379,19.0313,0.148,False,orange,AB,1,orange,6629.82
59843.307129,19.0858,0.0787,False,r,AB,1,r,6366.38
59843.321284,19.641,0.1231,False,g,AB,1,g,4746.48
59843.443361,19.6569,0.1745,False,cyan,AB,1,cyan,5182.42
59843.472657,19.0843,0.1553,False,orange,AB,1,orange,6629.82
59844.497839,19.5187,0.1513,False,cyan,AB,1,cyan,5182.42
59845.245034,19.7289,0.1251,False,g,AB,1,g,4746.48
59845.302731,19.1692,0.0757,False,r,AB,1,r,6366.38
59845.399536,19.8315,0.255,False,cyan,AB,1,cyan,5182.42
59845.454946,19.3669,0.22,False,orange,AB,1,orange,6629.82
59847.359942,19.2781,0.2059,False,orange,AB,1,orange,6629.82
59848.245208,19.1766,0.088,False,r,AB,1,r,6366.38
59848.367303,19.6597,0.1501,False,g,AB,1,g,4746.48
59848.433147,19.6867,0.1868,False,cyan,AB,1,cyan,5182.42
59849.399194,19.2714,0.1807,False,orange,AB,1,orange,6629.82
59849.560027,19.8668,0.2368,False,cyan,AB,1,cyan,5182.42
59850.234479,19.3121,0.0987,False,r,AB,1,r,6366.38
59850.382002,19.8105,0.1412,False,g,AB,1,g,4746.48
59850.42064,19.3381,0.1962,False,orange,AB,1,orange,6629.82
59851.401018,19.5668,0.1649,False,cyan,AB,1,cyan,5182.42
59851.42239,19.1952,0.1721,False,orange,AB,1,orange,6629.82
59852.276527,19.2519,0.0868,False,r,AB,1,r,6366.38
59852.339432,19.9429,0.1301,False,g,AB,1,g,4746.48
59853.367194,19.7243,0.1856,False,cyan,AB,1,cyan,5182.42
59853.426882,19.3118,0.1944,False,orange,AB,1,orange,6629.82
59854.264363,19.8976,0.1502,False,g,AB,1,g,4746.48
59854.286493,19.3093,0.0753,False,r,AB,1,r,6366.38
59854.402234,19.374,0.2014,False,orange,AB,1,orange,6629.82
59855.402982,19.4758,0.2122,False,orange,AB,1,orange,6629.82
59856.2578,20.0044,,True,g,AB,0,g,4746.48
59856.302766,19.2351,0.0908,False,r,AB,1,r,6366.38
59856.411151,19.5314,0.2312,False,orange,AB,1,orange,6629.82
59857.483194,19.3747,0.2091,False,orange,AB,1,orange,6629.82
59858.253379,19.2909,0.1008,False,r,AB,1,r,6366.38
59858.413433,19.1882,0.2048,False,orange,AB,1,orange,6629.82
59858.413923,20.0903,0.2201,False,g,AB,1,g,4746.48
59859.409633,19.0342,0.2011,False,orange,AB,1,orange,6629.82
59860.176805,19.5626,,True,r,AB,0,r,6366.38
59860.276087,19.2958,,True,g,AB,0,g,4746.48
59860.410347,19.4679,0.327,False,orange,AB,1,orange,6629.82
59861.44571,18.915,,True,orange,AB,0,orange,6629.82
