mjd,mag,mag_err,UL,filter,detected
59724.113195,19.9068,inf,True,orange,0
59726.388808,19.8603,inf,True,orange,0
59735.110914,19.9654,inf,True,orange,0
59736.098333,19.8274,inf,True,orange,0
59742.343943,19.686,inf,True,orange,0
59745.324952,19.5441,inf,True,orange,0
59757.417968,19.9283,inf,True,g,0
59761.417968,20.3249,inf,True,g,0
59764.410156,20.1827,inf,True,g,0
59766.417968,19.9563,inf,True,g,0
59767.084535,19.1972,inf,True,orange,0
59768.024663,19.4355,inf,True,orange,0
59769.318799,19.2485,inf,True,orange,0
59769.4375,20.6217,0.2296,False,g,1
59773.191701,19.1189,inf,True,orange,0
59780.439675,19.0348,0.1649,False,g,1
59780.441406,18.9704,0.1179,False,g,1
59781.221201,19.0536,0.1588,False,orange,1
59782.297555,19.0161,0.1496,False,orange,1
59782.397476,19.1364,0.1551,False,r,1
59782.398437,19.3022,0.118,False,r,1
59782.440474,18.9243,0.1246,False,g,1
59782.441406,18.9147,0.0902,False,g,1
59784.355468,18.89,0.0694,False,g,1
59784.357118,18.9216,0.1041,False,g,1
59785.30387,19.0655,0.2762,False,orange,1
59786.234263,18.9672,0.1474,False,orange,1
59786.334722,18.9374,0.1695,False,g,1
59789.195093,18.845,0.0965,False,cyan,1
59790.378587,19.0495,0.1565,False,r,1
59791.770742,19.003,0.0808,False,cyan,1
59793.288089,18.9841,0.0886,False,cyan,1
59794.335937,19.0636,0.1072,False,r,1
59794.337025,19.0176,0.109,False,r,1
59796.01312,19.2641,0.1208,False,cyan,1
59797.179955,19.1507,0.1746,False,orange,1
59797.355468,19.2207,0.1069,False,r,1
59797.356805,19.1808,0.1247,False,r,1
59807.821344,19.5026,0.2362,False,orange,1
59809.233731,19.726,0.2208,False,orange,1
59810.142638,19.5957,0.1119,False,cyan,1
59811.273437,19.843,0.114,False,g,1
59811.335937,19.8644,0.1707,False,r,1
59811.962628,19.8992,0.3497,False,orange,1
59813.168593,19.7959,0.2395,False,cyan,1
59814.212336,19.9601,0.1549,False,cyan,1
59814.962873,19.9272,0.348,False,orange,1
59815.304687,19.7578,0.1113,False,r,1
59817.201046,20.1814,0.2812,False,cyan,1
59817.292968,20.3328,0.1772,False,g,1
59818.113033,20.123,0.2531,False,cyan,1
59819.25,19.9492,0.1307,False,r,1
59821.119498,20.1344,0.2401,False,cyan,1
59821.273437,19.7044,0.1233,False,r,1
59821.355468,20.1781,0.1822,False,g,1
59822.192549,20.2506,0.267,False,cyan,1
59826.316406,20.0809,0.1589,False,g,1
59839.25,20.5341,inf,True,g,0
59841.173552,19.5585,inf,True,orange,0
59841.261718,19.9907,inf,True,g,0
59842.732263,19.8747,inf,True,cyan,0
59843.238281,20.2292,inf,True,g,0
59845.117593,19.6418,inf,True,orange,0
59845.253906,20.6475,0.2111,False,r,1
59847.230468,20.2931,inf,True,r,0
59847.273437,20.0331,inf,True,g,0
59849.167968,20.6353,0.2303,False,r,1
59849.210937,20.148,inf,True,g,0
59850.845211,20.1856,inf,True,cyan,0
59852.1875,20.2359,inf,True,r,0
59853.095656,19.6291,inf,True,orange,0
59854.475344,19.8996,inf,True,orange,0
59856.171875,20.2703,0.3154,False,r,1
59856.234375,19.6229,inf,True,g,0
59866.175781,20.0906,inf,True,r,0
59866.408844,19.9763,inf,True,orange,0
59869.05149,20.4359,inf,True,cyan,0
59869.125,19.6702,inf,True,g,0
59870.090293,20.5521,inf,True,cyan,0
59871.183593,19.8077,inf,True,r,0
59871.214843,19.7364,inf,True,g,0
59873.148437,20.0125,inf,True,r,0
59873.191406,19.9219,inf,True,g,0
59877.046268,20.1784,inf,True,cyan,0
