mjd,mag,mag_err,UL,filter,detected
59647.38136,19.6884,inf,True,orange,0
59647.434828,19.3644,inf,True,cyan,0
59649.430384,19.3318,inf,True,orange,0
59653.414664,19.1702,inf,True,orange,0
59655.334338,19.2491,inf,True,orange,0
59657.399763,19.0899,inf,True,orange,0
59659.389401,19.9286,inf,True,orange,0
59663.304837,19.6962,inf,True,cyan,0
59665.361052,19.6887,inf,True,orange,0
59671.331401,20.4743,inf,True,cyan,0
59673.472848,19.4211,inf,True,orange,0
59677.33189,19.363,inf,True,orange,0
59679.297059,15.9836,inf,True,cyan,0
59681.358249,19.537,inf,True,orange,0
59683.372064,19.5136,inf,True,orange,0
59685.298682,17.764,inf,True,orange,0
59687.283296,19.47,inf,True,orange,0
59689.369966,19.1543,inf,True,orange,0
59691.316271,16.7791,inf,True,cyan,0
59693.28213,19.7088,inf,True,orange,0
59695.276218,20.2045,inf,True,cyan,0
59697.343152,19.5967,inf,True,orange,0
59699.314418,19.9935,inf,True,cyan,0
59709.262292,19.5655,inf,True,orange,0
59711.259113,18.8025,inf,True,orange,0
59713.299344,19.5039,inf,True,orange,0
59715.328311,18.8615,inf,True,orange,0
59717.253158,19.4294,inf,True,orange,0
59721.28383,19.7043,inf,True,orange,0
59723.277047,20.9861,inf,True,cyan,0
59725.25825,19.3623,inf,True,orange,0
59727.268172,19.8023,inf,True,cyan,0
59729.274237,19.6217,inf,True,orange,0
59737.267687,19.5609,inf,True,orange,0
59739.267429,19.6384,inf,True,orange,0
59837.623957,18.6411,0.1567,False,orange,1
59845.545667,18.4795,0.1114,False,cyan,1
59853.449537,18.2103,0.0543,False,r,1
59853.466041,18.0326,0.0595,False,g,1
59853.610251,18.1992,0.0468,False,cyan,1
59855.46971,18.0065,0.0605,False,g,1
59861.446435,16.5881,inf,True,g,0
59861.499652,18.2068,0.0698,False,r,1
59861.509295,16.9955,inf,True,orange,0
59864.440057,17.9321,0.0759,False,g,1
59864.496446,18.0459,0.0711,False,r,1
59866.452963,17.9129,0.0753,False,g,1
59866.488923,18.0744,0.0726,False,r,1
59869.476064,17.8921,0.0734,False,g,1
59869.483826,18.2424,0.0879,False,orange,1
59869.496296,18.084,0.0641,False,r,1
59872.418321,18.0736,0.0751,False,r,1
59872.470682,17.8856,0.0504,False,g,1
59874.449884,17.9668,0.047,False,g,1
59874.492303,18.1053,0.0599,False,r,1
59878.412361,17.9837,0.0711,False,g,1
59878.476967,18.1225,0.0647,False,r,1
59880.364455,18.0059,0.0821,False,g,1
59880.47287,18.1052,0.063,False,r,1
59881.631437,18.1924,0.0642,False,orange,1
59882.408969,17.9488,0.0888,False,g,1
59882.467407,18.1454,0.1138,False,r,1
59883.628836,18.0146,0.0346,False,cyan,1
59885.487095,18.2267,0.0583,False,orange,1
59887.365833,17.973,0.1081,False,g,1
59887.407754,18.0587,0.0676,False,r,1
59889.387754,18.2186,0.1039,False,r,1
59889.410648,18.0255,0.0934,False,g,1
59889.647174,18.2284,0.1828,False,orange,1
59893.633103,18.5885,0.1387,False,orange,1
59895.322777,18.4992,0.1178,False,g,1
59895.406655,18.4955,0.102,False,r,1
59897.347546,18.5572,0.1424,False,r,1
59897.452824,18.4709,0.1312,False,g,1
59897.598406,18.6169,0.0985,False,orange,1
59899.342662,18.7249,0.223,False,r,1
59899.591716,18.753,0.1247,False,orange,1
59901.468472,18.8305,0.0979,False,g,1
59901.491724,18.846,0.1082,False,r,1
59901.570601,18.8552,0.1224,False,orange,1
59903.344814,18.8902,0.0977,False,r,1
59903.383611,18.9962,0.178,False,g,1
59905.309548,19.1225,0.1121,False,g,1
59905.350219,18.7661,0.1997,False,r,1
59905.600259,19.0449,0.0634,False,cyan,1
59907.576715,19.1976,0.2066,False,orange,1
59908.370463,19.1387,0.1444,False,r,1
59908.453472,19.0623,0.2503,False,g,1
59909.414095,19.3394,0.2412,False,cyan,1
59910.475949,18.9937,0.1126,False,r,1
59910.488645,19.126,0.1148,False,g,1
59915.550804,19.2509,0.2088,False,orange,1
59923.347048,19.348,0.1964,False,r,1
59923.404641,19.4161,0.2407,False,g,1
59927.533207,19.154,0.1569,False,orange,1
59930.3239,19.5939,0.2037,False,g,1
59930.346759,19.3316,0.1463,False,r,1
59933.409155,19.2668,inf,True,r,0
59935.304386,19.3361,inf,True,r,0
59937.301782,19.3536,0.1636,False,r,1
59959.456034,19.6337,0.2931,False,orange,1
59963.55651,19.2508,inf,True,orange,0
59967.483896,18.9981,inf,True,orange,0
