mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59717.257262,19.5388,,True,orange,AB,0,orange,6629.82
59805.609239,18.9958,,True,orange,AB,0,orange,6629.82
59809.602444,19.7651,,True,orange,AB,0,orange,6629.82
59822.576202,20.3014,,True,cyan,AB,0,cyan,5182.42
59823.622342,19.9781,,True,cyan,AB,0,cyan,5182.42
59829.620896,19.7872,,True,orange,AB,0,orange,6629.82
59836.594395,19.7388,,True,orange,AB,0,orange,6629.82
59837.574987,19.7581,,True,orange,AB,0,orange,6629.82
59839.567341,19.2943,,True,orange,AB,0,orange,6629.82
59844.624076,20.5255,,True,cyan,AB,0,cyan,5182.42
59845.516079,19.2147,,True,cyan,AB,0,cyan,5182.42
59847.578319,20.0991,,True,cyan,AB,0,cyan,5182.42
59847.61864,19.765,,True,orange,AB,0,orange,6629.82
59849.625112,20.5223,,True,cyan,AB,0,cyan,5182.42
59851.606496,20.5862,,True,cyan,AB,0,cyan,5182.42
59851.626944,19.8292,,True,orange,AB,0,orange,6629.82
59852.58684,20.5619,,True,cyan,AB,0,cyan,5182.42
59853.560035,20.7701,,True,cyan,AB,0,cyan,5182.42
59855.547787,20.2241,,True,cyan,AB,0,cyan,5182.42
59858.615124,20.2776,,True,orange,AB,0,orange,6629.82
59859.621258,19.8832,,True,orange,AB,0,orange,6629.82
59860.570092,18.8278,,True,orange,AB,0,orange,6629.82
59861.588362,18.8867,,True,orange,AB,0,orange,6629.82
59862.484203,19.102,,True,orange,AB,0,orange,6629.82
59863.546305,19.7224,,True,orange,AB,0,orange,6629.82
59864.587025,20.0277,,True,orange,AB,0,orange,6629.82
59865.547267,18.4191,,True,orange,AB,0,orange,6629.82
59866.589962,19.928,,True,orange,AB,0,orange,6629.82
59867.599116,19.944,,True,orange,AB,0,orange,6629.82
59869.587631,19.948,,True,orange,AB,0,orange,6629.82
59871.5754,20.2346,,True,orange,AB,0,orange,6629.82
59872.626823,20.0779,,True,orange,AB,0,orange,6629.82
59873.576305,19.6424,,True,orange,AB,0,orange,6629.82
59875.625234,20.3909,,True,cyan,AB,0,cyan,5182.42
59876.563274,20.1458,,True,orange,AB,0,orange,6629.82
59877.550162,20.1151,,True,orange,AB,0,orange,6629.82
59881.549202,20.4702,,True,cyan,AB,0,cyan,5182.42
59881.555443,20.3346,,True,orange,AB,0,orange,6629.82
59882.569731,20.6575,,True,cyan,AB,0,cyan,5182.42
59883.625746,20.5619,,True,cyan,AB,0,cyan,5182.42
59885.522369,20.0907,,True,orange,AB,0,orange,6629.82
59885.59442,20.579,,True,cyan,AB,0,cyan,5182.42
59886.491146,19.8007,,True,orange,AB,0,orange,6629.82
59889.632858,20.3931,,True,orange,AB,0,orange,6629.82
59890.514752,19.2091,,True,orange,AB,0,orange,6629.82
59892.470846,19.1116,,True,orange,AB,0,orange,6629.82
59893.481165,19.7059,,True,orange,AB,0,orange,6629.82
59897.612543,20.3107,,True,orange,AB,0,orange,6629.82
59899.582492,20.6394,,True,orange,AB,0,orange,6629.82
59902.614656,20.1644,,True,orange,AB,0,orange,6629.82
59903.592997,20.8949,,True,cyan,AB,0,cyan,5182.42
59905.532259,20.4146,,True,cyan,AB,0,cyan,5182.42
59906.589888,20.3363,,True,orange,AB,0,orange,6629.82
59907.488823,19.9484,,True,orange,AB,0,orange,6629.82
59907.55765,20.7167,,True,cyan,AB,0,cyan,5182.42
59908.499693,20.6169,,True,cyan,AB,0,cyan,5182.42
59909.464253,20.5987,,True,cyan,AB,0,cyan,5182.42
59909.512524,20.2971,,True,orange,AB,0,orange,6629.82
59914.566626,20.0836,,True,orange,AB,0,orange,6629.82
59915.585026,20.3586,,True,orange,AB,0,orange,6629.82
59917.472938,19.3764,,True,orange,AB,0,orange,6629.82
59926.565222,18.8978,,True,orange,AB,0,orange,6629.82
59927.395456,20.0376,,True,orange,AB,0,orange,6629.82
59957.135173,18.755,,True,g,AB,0,g,4746.48
59957.421468,20.5892,,True,orange,AB,0,orange,6629.82
59958.447483,19.9533,,True,orange,AB,0,orange,6629.82
59959.366132,19.6357,,True,orange,AB,0,orange,6629.82
59963.461239,19.8123,,True,orange,AB,0,orange,6629.82
59965.221724,19.8431,,True,g,AB,0,g,4746.48
59966.441696,20.2001,,True,orange,AB,0,orange,6629.82
59967.245902,19.8889,,True,r,AB,0,r,6366.38
59967.356202,19.9926,,True,orange,AB,0,orange,6629.82
59969.261145,20.1281,,True,g,AB,0,g,4746.48
59969.304074,20.7443,0.2713,False,r,AB,1,r,6366.38
59969.404605,20.2576,0.3524,False,orange,AB,1,orange,6629.82
59971.305127,20.0883,,True,r,AB,0,r,6366.38
59979.267824,18.7034,,True,g,AB,0,g,4746.48
59979.403206,18.6309,,True,r,AB,0,r,6366.38
59982.151874,18.7946,,True,g,AB,0,g,4746.48
59982.209421,19.4084,,True,r,AB,0,r,6366.38
59984.196955,20.0589,0.2863,False,g,AB,1,g,4746.48
59984.22552,19.6134,0.1256,False,r,AB,1,r,6366.38
