mjd,mag,mag_err,UL,filter,System,detected
60052.405343,20.1304,,True,cyan,AB,0
60058.408006,20.2819,,True,cyan,AB,0
60060.097333,20.1674,,True,orange,AB,0
60066.140894,20.0026,,True,orange,AB,0
60067.384358,20.2098,,True,orange,AB,0
60069.108653,19.2194,,True,orange,AB,0
60070.365817,19.4203,,True,orange,AB,0
60072.144441,19.9566,,True,orange,AB,0
60073.366561,19.3364,,True,orange,AB,0
60075.109689,19.7749,,True,orange,AB,0
60076.361467,19.3987,,True,orange,AB,0
60081.120191,19.98,,True,cyan,AB,0
60082.327257,20.0953,,True,orange,AB,0
60084.126693,20.2843,,True,cyan,AB,0
60085.341416,19.532,,True,orange,AB,0
60093.134702,20.5191,,True,cyan,AB,0
60102.060618,19.6361,,True,orange,AB,0
60106.316518,20.0425,,True,orange,AB,0
60109.368624,20.4034,,True,orange,AB,0
60110.332187,20.3738,,True,cyan,AB,0
60112.328824,20.1177,,True,cyan,AB,0
60126.017688,19.7036,,True,orange,AB,0
60127.25409,19.6607,,True,orange,AB,0
60128.334342,19.5359,,True,orange,AB,0
60129.026163,19.388,,True,orange,AB,0
60136.289083,20.0403,,True,orange,AB,0
60137.972373,20.1565,,True,cyan,AB,0
60138.003338,19.9891,,True,cyan,AB,0
60139.263473,20.4865,,True,orange,AB,0
60140.166056,20.3131,,True,cyan,AB,0
60141.047854,20.5883,,True,cyan,AB,0
60147.019451,20.6674,,True,cyan,AB,0
60150.052446,20.5663,,True,cyan,AB,0
60151.30446,20.7561,,True,orange,AB,0
60151.626527,18.4138,,True,cyan,AB,0
60154.213122,20.1032,,True,orange,AB,0
60161.963977,19.4426,,True,orange,AB,0
60163.303847,19.7977,,True,orange,AB,0
60169.157004,20.2511,,True,cyan,AB,0
60170.263773,20.3023,,True,cyan,AB,0
60176.134279,19.7021,,True,orange,AB,0
60177.029434,19.9329,,True,orange,AB,0
60178.245982,20.3857,,True,cyan,AB,0
60179.986778,20.2753,,True,orange,AB,0
60180.003973,19.6591,,True,orange,AB,0
60183.029705,20.2289,,True,orange,AB,0
60184.135667,19.243,,True,orange,AB,0
60188.974746,19.1714,,True,orange,AB,0
60189.015235,18.3875,,True,orange,AB,0
60198.349143,19.1681,,True,g,AB,0
60199.963733,20.03,,True,cyan,AB,0
60200.934821,20.307,,True,cyan,AB,0
60201.302164,20.1518,,True,g,AB,0
60205.278148,20.4812,,True,g,AB,0
60205.320879,20.3629,,True,r,AB,0
60207.270161,20.412,,True,g,AB,0
60207.319062,20.2369,,True,r,AB,0
60208.159651,20.4704,,True,orange,AB,0
60209.98566,19.5378,,True,orange,AB,0
60210.000334,19.5069,,True,orange,AB,0
60211.092195,19.5934,,True,orange,AB,0
60211.294074,19.7334,,True,g,AB,0
60216.272939,18.7545,,True,g,AB,0
60217.172594,19.4076,,True,orange,AB,0
60218.614011,19.7907,,True,orange,AB,0
