mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57233.31,17.0569,,True,V,Vega,0,V,5467.57
57237.26,16.4169,0.09,False,V,Vega,1,V,5467.57
57240.96,16.3074,0.08,False,g,AB,1,g,4671.78
57240.96,16.4324,0.06,False,r,AB,1,r,6141.12
57240.96,16.5618,0.09,False,i,AB,1,i,7457.89
57241.24,16.4569,0.13,False,V,Vega,1,V,5467.57
57242.28,16.5769,0.09,False,V,Vega,1,V,5467.57
57243.93,16.4269,0.05,False,V,Vega,1,V,5467.57
57243.93,16.4024,0.06,False,r,AB,1,r,6141.12
57243.93,16.4989,0.04,False,z,AB,1,z,8922.78
57243.93,16.2674,0.05,False,g,AB,1,g,4671.78
57243.93,16.4932,0.05,False,B,Vega,1,B,4369.53
57243.93,16.5832,0.02,False,u,AB,1,u,3608.04
57243.93,16.4718,0.08,False,i,AB,1,i,7457.89
57244.28,16.5269,0.08,False,V,Vega,1,V,5467.57
57244.92,16.4932,0.06,False,B,Vega,1,B,4369.53
57244.92,16.4969,0.04,False,V,Vega,1,V,5467.57
57244.93,16.3774,0.04,False,g,AB,1,g,4671.78
57244.93,16.4424,0.06,False,r,AB,1,r,6141.12
57244.93,16.5518,0.06,False,i,AB,1,i,7457.89
57244.93,16.5532,0.05,False,u,AB,1,u,3608.04
57244.93,16.5989,0.03,False,z,AB,1,z,8922.78
57245.92,16.4424,0.06,False,r,AB,1,r,6141.12
57245.92,16.3274,0.05,False,g,AB,1,g,4671.78
57245.92,16.4569,0.05,False,V,Vega,1,V,5467.57
57245.92,16.6018,0.1,False,i,AB,1,i,7457.89
57245.92,16.6089,0.06,False,z,AB,1,z,8922.78
57245.92,16.6432,0.08,False,B,Vega,1,B,4369.53
57245.92,16.6232,0.05,False,u,AB,1,u,3608.04
57246.26,16.7469,0.1,False,V,Vega,1,V,5467.57
57250.26,16.6369,0.09,False,V,Vega,1,V,5467.57
57255.25,16.6369,0.1,False,V,Vega,1,V,5467.57
57258.96,16.6469,0.03,False,V,Vega,1,V,5467.57
57258.96,16.9532,0.03,False,B,Vega,1,B,4369.53
57258.97,16.5924,0.04,False,r,AB,1,r,6141.12
57258.97,17.2132,0.03,False,u,AB,1,u,3608.04
57258.97,16.6789,0.04,False,z,AB,1,z,8922.78
57258.97,16.6974,0.05,False,g,AB,1,g,4671.78
57258.97,16.6818,0.04,False,i,AB,1,i,7457.89
57263.91,16.8024,0.19,False,r,AB,1,r,6141.12
57272.89,16.7589,0.05,False,z,AB,1,z,8922.78
57272.89,16.8924,0.04,False,r,AB,1,r,6141.12
57272.89,16.9574,0.07,False,g,AB,1,g,4671.78
57272.89,16.9718,0.08,False,i,AB,1,i,7457.89
57272.89,17.4332,0.07,False,u,AB,1,u,3608.04
57292.86,17.1424,0.01,False,r,AB,1,r,6141.12
