mjd,mag,mag_err,UL,filter,detected
57325.01,24.0877,0.23,False,g,1
57329.03,24.2869,0.34,False,r,1
57329.03,24.3877,0.25,False,g,1
57334.22,23.7277,0.16,False,g,1
57334.23,23.5727,0.17,False,i,1
57334.23,23.8069,0.19,False,r,1
57334.23,23.987,0.32,False,z,1
57340.06,23.0677,0.07,False,g,1
57340.07,23.2569,0.1,False,r,1
57340.07,23.337,0.18,False,z,1
57340.07,23.4027,0.15,False,i,1
57342.02,22.9569,0.08,False,r,1
57342.02,23.0077,0.07,False,g,1
57342.03,23.617,0.28,False,z,1
57347.08,22.6369,0.12,False,r,1
57347.08,22.7677,0.11,False,g,1
57347.08,22.8527,0.12,False,i,1
57347.08,23.057,0.15,False,z,1
57356.13,22.857,0.09,False,z,1
57366.04,22.4269,0.05,False,r,1
57366.04,22.5827,0.07,False,i,1
57366.04,23.2077,0.08,False,g,1
57366.05,22.647,0.09,False,z,1
57373.04,22.4227,0.11,False,i,1
57373.04,22.6969,0.12,False,r,1
57373.04,22.707,0.15,False,z,1
57373.04,23.2077,0.24,False,g,1
57385.09,22.5369,0.06,False,r,1
57385.09,23.5377,0.14,False,g,1
57385.1,22.3927,0.07,False,i,1
57385.1,22.597,0.09,False,z,1
57389.06,22.5269,0.06,False,r,1
57389.06,23.7977,0.17,False,g,1
57389.06,22.4427,0.08,False,i,1
57389.07,22.717,0.15,False,z,1
57396.05,22.377,0.11,False,z,1
57396.05,22.5127,0.09,False,i,1
57396.05,22.5569,0.07,False,r,1
57403.04,23.9177,0.26,False,g,1
57403.05,22.4827,0.08,False,i,1
57403.05,22.547,0.09,False,z,1
57403.05,22.7669,0.08,False,r,1
