mjd,mag,mag_err,UL,filter,detected
57355.22,23.367,0.33,False,g,1
57355.23,23.2611,0.19,False,i,1
57355.23,23.6586,0.34,False,z,1
57365.12,22.017,0.03,False,g,1
57365.12,22.2749,0.04,False,r,1
57365.13,22.3911,0.05,False,i,1
57365.13,22.6586,0.07,False,z,1
57372.11,21.907,0.03,False,g,1
57372.12,22.0149,0.04,False,r,1
57372.12,22.1911,0.06,False,i,1
57372.12,22.5286,0.09,False,z,1
57385.08,22.0811,0.04,False,i,1
57385.08,21.9749,0.03,False,r,1
57385.08,22.067,0.07,False,g,1
57385.09,22.2286,0.05,False,z,1
57394.04,22.1549,0.05,False,r,1
57394.04,22.177,0.06,False,g,1
57394.05,22.1611,0.06,False,i,1
57394.05,22.2186,0.08,False,z,1
57401.06,22.1911,0.05,False,i,1
57401.06,22.1949,0.04,False,r,1
57401.06,22.457,0.05,False,g,1
57401.07,22.1886,0.05,False,z,1
57408.05,22.5149,0.18,False,r,1
57408.05,22.537,0.21,False,g,1
57408.06,22.1486,0.11,False,z,1
57408.06,22.1911,0.12,False,i,1
