mjd,mag,mag_err,UL,filter,detected
57623.41,22.5114,0.13,False,z,1
57627.39,22.847,0.22,False,r,1
57627.4,22.3114,0.1,False,z,1
57627.4,23.0152,0.17,False,i,1
57633.31,24.7938,0.31,False,g,1
57633.32,22.5414,0.14,False,z,1
57633.32,22.9352,0.11,False,i,1
57633.32,23.377,0.12,False,r,1
57637.34,23.0352,0.13,False,i,1
57637.34,23.557,0.15,False,r,1
57637.35,22.4414,0.09,False,z,1
57643.22,23.347,0.32,False,r,1
57643.23,22.5214,0.14,False,z,1
57644.22,22.4914,0.19,False,z,1
57645.26,23.117,0.21,False,r,1
57645.26,23.2452,0.2,False,i,1
57645.27,22.4314,0.09,False,z,1
57653.36,23.1252,0.11,False,i,1
57653.36,23.557,0.16,False,r,1
57653.37,22.5214,0.07,False,z,1
57660.28,23.2352,0.1,False,i,1
57660.28,23.547,0.11,False,r,1
57660.28,24.9638,0.3,False,g,1
57660.29,22.5214,0.07,False,z,1
57667.15,24.9238,0.33,False,g,1
57667.16,22.5714,0.12,False,z,1
57667.16,23.1352,0.11,False,i,1
57667.16,23.437,0.11,False,r,1
57680.13,22.7114,0.35,False,z,1
57681.16,22.5914,0.21,False,z,1
57683.11,22.7052,0.18,False,i,1
57683.11,23.797,0.32,False,r,1
57683.12,22.3214,0.16,False,z,1
57686.11,22.7852,0.17,False,i,1
57686.11,23.447,0.2,False,r,1
57686.12,22.5514,0.16,False,z,1
57694.19,22.4914,0.09,False,z,1
57694.19,23.6752,0.23,False,i,1
57694.19,23.807,0.15,False,r,1
57701.23,24.027,0.2,False,r,1
57701.23,22.6914,0.08,False,z,1
57701.23,23.2752,0.11,False,i,1
57708.24,22.7114,0.12,False,z,1
57708.24,23.3152,0.22,False,i,1
57709.1,24.0052,0.36,False,i,1
57709.11,22.8814,0.12,False,z,1
57714.26,23.957,0.28,False,r,1
57714.27,23.0314,0.19,False,z,1
57714.27,23.3052,0.18,False,i,1
57718.23,22.8914,0.15,False,z,1
57718.23,24.527,0.35,False,r,1
57720.05,24.0152,0.26,False,i,1
57720.06,22.9714,0.12,False,z,1
57725.06,24.097,0.22,False,r,1
57725.07,23.2514,0.2,False,z,1
57730.22,23.0214,0.2,False,z,1
57740.12,23.4214,0.13,False,z,1
57740.12,24.3352,0.25,False,i,1
57747.12,23.7314,0.22,False,z,1
57751.15,23.7814,0.3,False,z,1
57756.19,23.6614,0.28,False,z,1
57761.06,23.1914,0.22,False,z,1
57770.15,24.1952,0.35,False,i,1
57770.16,23.9914,0.34,False,z,1
57778.13,23.7314,0.31,False,z,1
57784.04,24.2452,0.36,False,i,1
