mjd,mag,mag_err,UL,filter,detected
57660.25,25.6763,0.35,False,i,1
57666.35,25.1463,0.34,False,i,1
57686.33,24.4497,0.28,False,z,1
57694.13,25.4217,0.29,False,r,1
57694.26,25.2244,0.31,False,g,1
57701.13,24.3544,0.18,False,g,1
57701.14,24.9817,0.19,False,r,1
57701.16,24.9663,0.22,False,i,1
57701.2,25.1697,0.28,False,z,1
57708.17,23.4763,0.08,False,i,1
57708.21,23.6597,0.09,False,z,1
57709.08,22.9144,0.05,False,g,1
57709.09,23.1517,0.06,False,r,1
57714.11,22.6563,0.03,False,i,1
57714.14,22.8497,0.04,False,z,1
57714.25,22.2244,0.03,False,g,1
57714.28,22.4017,0.03,False,r,1
57715.1,22.2244,0.03,False,g,1
57716.23,22.1144,0.02,False,g,1
57718.25,22.1117,0.01,False,r,1
57718.27,22.2763,0.02,False,i,1
57719.08,22.3997,0.02,False,z,1
57720.21,21.6544,0.01,False,g,1
57722.29,21.6917,0.01,False,r,1
57723.1,21.7963,0.02,False,i,1
57723.17,21.9997,0.02,False,z,1
57725.05,21.4244,0.01,False,g,1
57729.04,21.6217,0.01,False,r,1
57730.12,21.7463,0.01,False,i,1
57730.16,21.8797,0.02,False,z,1
57730.21,21.5444,0.02,False,g,1
57739.13,21.6217,0.01,False,r,1
57739.18,21.6844,0.02,False,g,1
57739.2,21.7163,0.01,False,i,1
57739.24,21.8497,0.02,False,z,1
57746.07,21.7044,0.01,False,g,1
57746.08,21.6117,0.01,False,r,1
57746.11,21.6763,0.01,False,i,1
57746.14,21.7697,0.01,False,z,1
57750.15,21.8144,0.01,False,g,1
57750.17,21.6417,0.01,False,r,1
57750.18,21.6563,0.02,False,i,1
57751.08,21.6763,0.01,False,i,1
57751.12,21.7697,0.02,False,z,1
57756.12,21.8844,0.02,False,g,1
57756.15,21.6717,0.01,False,r,1
57756.17,21.6963,0.01,False,i,1
57757.14,21.8097,0.02,False,z,1
57763.1,21.7217,0.02,False,r,1
57763.12,21.7063,0.01,False,i,1
57770.08,22.1144,0.01,False,g,1
57770.11,21.8597,0.01,False,z,1
57771.09,21.7717,0.01,False,r,1
57771.11,21.7563,0.01,False,i,1
57775.15,22.2544,0.02,False,g,1
57778.1,21.9697,0.02,False,z,1
57778.14,21.8817,0.01,False,r,1
57779.1,21.7963,0.01,False,i,1
57779.12,22.3244,0.02,False,g,1
57782.09,21.9017,0.01,False,r,1
57782.12,21.9697,0.02,False,z,1
57784.05,22.4744,0.02,False,g,1
57784.07,21.8463,0.01,False,i,1
57789.07,21.9117,0.04,False,r,1
57789.1,21.9697,0.02,False,z,1
57791.06,22.7244,0.17,False,g,1
57791.08,21.8963,0.02,False,i,1
57800.07,22.1317,0.02,False,r,1
57800.09,22.9444,0.05,False,g,1
57803.05,22.0163,0.01,False,i,1
