mjd,mag,mag_err,UL,filter,System,detected
58057.22,24.0026,0.33,False,g,AB,1
58076.28,23.2004,0.07,False,r,AB,1
58107.14,25.0426,0.17,False,g,AB,1
58107.17,25.129,0.26,False,z,AB,1
58108.17,24.2004,0.06,False,r,AB,1
58108.19,24.1953,0.07,False,i,AB,1
58112.18,22.1426,0.01,False,g,AB,1
58117.09,21.829,0.02,False,z,AB,1
58117.12,21.3204,0.02,False,r,AB,1
58117.14,21.6053,0.01,False,i,AB,1
58122.08,20.6626,0.01,False,g,AB,1
58124.1,20.7104,0.0,False,r,AB,1
58124.12,20.9153,0.0,False,i,AB,1
58124.16,21.159,0.01,False,z,AB,1
58126.17,20.4226,0.01,False,g,AB,1
58130.06,20.4204,0.01,False,r,AB,1
58130.14,20.6153,0.04,False,i,AB,1
58132.05,20.5353,0.0,False,i,AB,1
58132.09,20.759,0.0,False,z,AB,1
58133.06,20.1726,0.0,False,g,AB,1
58137.06,20.2104,0.0,False,r,AB,1
58138.05,20.3653,0.0,False,i,AB,1
58138.08,20.589,0.01,False,z,AB,1
58139.07,20.0626,0.0,False,g,AB,1
58141.06,20.1404,0.0,False,r,AB,1
58142.06,20.2953,0.01,False,i,AB,1
58143.08,20.0226,0.01,False,g,AB,1
58145.08,20.449,0.0,False,z,AB,1
58153.08,19.9604,0.0,False,r,AB,1
58153.1,20.1353,0.0,False,i,AB,1
58154.08,19.9026,0.0,False,g,AB,1
58160.04,20.0304,0.0,False,r,AB,1
58161.04,20.1853,0.0,False,i,AB,1
58161.06,20.0526,0.0,False,g,AB,1
