mjd,mag,mag_err,UL,filter,detected
57990.39,23.8383,0.23,False,i,1
57990.39,24.2245,0.24,False,r,1
58008.39,23.1545,0.27,False,r,1
58008.39,23.2488,0.29,False,z,1
58008.39,23.4383,0.28,False,i,1
58015.18,22.7545,0.09,False,r,1
58015.18,22.8783,0.17,False,i,1
58015.18,23.9723,0.21,False,g,1
58019.17,22.3645,0.07,False,r,1
58019.17,22.5083,0.09,False,i,1
58019.17,23.1923,0.12,False,g,1
58019.18,22.5388,0.1,False,z,1
58025.16,21.9583,0.22,False,i,1
58026.15,21.9745,0.14,False,r,1
58026.15,22.0983,0.13,False,i,1
58026.16,22.1388,0.13,False,z,1
58036.12,21.5545,0.03,False,r,1
58036.12,22.0823,0.04,False,g,1
58036.13,21.7383,0.04,False,i,1
58036.13,21.8188,0.05,False,z,1
58040.13,22.0123,0.04,False,g,1
58040.14,21.4845,0.03,False,r,1
58040.14,21.5883,0.05,False,i,1
58040.14,21.7388,0.07,False,z,1
58044.31,21.9723,0.03,False,g,1
58044.32,21.4345,0.03,False,r,1
58044.32,21.5083,0.04,False,i,1
58044.32,21.6488,0.05,False,z,1
58052.08,21.2845,0.03,False,r,1
58052.08,21.3583,0.03,False,i,1
58052.08,21.9423,0.05,False,g,1
58052.09,21.5888,0.05,False,z,1
58057.07,21.2245,0.04,False,r,1
58057.07,21.4388,0.04,False,z,1
58057.07,21.4483,0.04,False,i,1
58057.07,22.1523,0.15,False,g,1
58064.05,21.1645,0.02,False,r,1
58064.05,22.0123,0.04,False,g,1
58064.06,21.3083,0.03,False,i,1
58064.06,21.3788,0.04,False,z,1
58071.05,22.1023,0.04,False,g,1
58071.06,21.2883,0.02,False,i,1
58071.06,21.4588,0.03,False,z,1
58071.06,21.1745,0.02,False,r,1
58076.12,21.1845,0.02,False,r,1
58076.12,22.0823,0.04,False,g,1
58076.13,21.2783,0.03,False,i,1
58076.13,21.2988,0.03,False,z,1
58082.06,21.1845,0.02,False,r,1
58082.06,22.2723,0.06,False,g,1
58082.07,21.2183,0.03,False,i,1
58082.07,21.3388,0.04,False,z,1
58092.03,22.4023,0.09,False,g,1
58092.04,21.2783,0.03,False,i,1
58092.04,21.2945,0.03,False,r,1
58092.04,21.4788,0.05,False,z,1
58097.05,21.2983,0.03,False,i,1
58097.05,21.3245,0.02,False,r,1
58097.05,22.6223,0.05,False,g,1
58097.06,21.4288,0.04,False,z,1
58101.04,22.6723,0.05,False,g,1
58101.05,21.3483,0.03,False,i,1
58101.05,21.4445,0.02,False,r,1
58101.05,21.3388,0.03,False,z,1
58109.04,21.5145,0.03,False,r,1
58109.04,22.9723,0.1,False,g,1
58109.05,21.4083,0.02,False,i,1
58109.05,21.4188,0.03,False,z,1
58113.05,21.3783,0.02,False,i,1
58113.05,21.4645,0.03,False,r,1
58113.05,22.9523,0.12,False,g,1
58113.06,21.3988,0.03,False,z,1
58122.09,21.4083,0.03,False,i,1
58122.09,21.7245,0.04,False,r,1
58122.09,23.1423,0.22,False,g,1
58122.1,21.4888,0.03,False,z,1
58129.04,23.2923,0.13,False,g,1
58129.05,21.7945,0.03,False,r,1
58129.05,21.4588,0.03,False,z,1
58129.05,21.4983,0.03,False,i,1
58136.04,23.1523,0.16,False,g,1
58136.04,21.5383,0.04,False,i,1
58136.04,21.8545,0.04,False,r,1
58136.05,21.4688,0.04,False,z,1
