mjd,mag,mag_err,UL,filter,detected
58026.16,22.9779,0.3,False,z,1
58036.12,23.4228,0.18,False,r,1
58036.12,23.65,0.18,False,g,1
58036.13,23.1971,0.16,False,i,1
58036.13,23.2279,0.19,False,z,1
58040.13,23.38,0.16,False,g,1
58040.14,23.0379,0.23,False,z,1
58040.14,23.1971,0.23,False,i,1
58040.14,23.2128,0.16,False,r,1
58044.31,23.07,0.09,False,g,1
58044.32,22.9028,0.1,False,r,1
58044.32,22.9071,0.13,False,i,1
58044.32,23.0679,0.18,False,z,1
58052.08,22.7028,0.1,False,r,1
58052.08,22.8071,0.12,False,i,1
58052.08,22.99,0.14,False,g,1
58052.09,22.6979,0.13,False,z,1
58057.07,22.4028,0.13,False,r,1
58057.07,22.5771,0.12,False,i,1
58057.07,22.62,0.24,False,g,1
58057.07,22.6579,0.12,False,z,1
58064.05,22.5128,0.07,False,r,1
58064.05,22.82,0.08,False,g,1
58064.06,22.3179,0.09,False,z,1
58064.06,22.3871,0.09,False,i,1
58071.05,23.07,0.09,False,g,1
58071.06,22.3679,0.08,False,z,1
58071.06,22.3971,0.07,False,i,1
58071.06,22.5328,0.06,False,r,1
58076.12,22.5728,0.07,False,r,1
58076.12,23.12,0.1,False,g,1
58076.13,22.3379,0.08,False,z,1
58076.13,22.5271,0.09,False,i,1
58082.06,22.4428,0.07,False,r,1
58082.06,23.18,0.14,False,g,1
58082.07,22.3479,0.1,False,z,1
58082.07,22.4671,0.1,False,i,1
58092.04,22.4179,0.13,False,z,1
58092.04,22.6371,0.12,False,i,1
58092.04,22.7128,0.12,False,r,1
58097.05,22.7971,0.11,False,i,1
58097.05,23.1328,0.1,False,r,1
58097.05,24.07,0.21,False,g,1
58097.06,22.5779,0.1,False,z,1
58101.04,24.53,0.31,False,g,1
58101.05,23.0671,0.13,False,i,1
58101.05,23.3628,0.12,False,r,1
58101.05,22.5479,0.1,False,z,1
58109.04,23.4728,0.15,False,r,1
58109.05,22.7279,0.08,False,z,1
58109.05,23.0671,0.1,False,i,1
58113.05,23.1671,0.12,False,i,1
58113.05,23.7028,0.19,False,r,1
58113.06,22.8079,0.1,False,z,1
58122.09,23.2871,0.16,False,i,1
58122.09,23.8828,0.34,False,r,1
58122.1,22.8079,0.1,False,z,1
58129.05,22.7279,0.1,False,z,1
58129.05,23.4171,0.17,False,i,1
58129.05,24.2728,0.29,False,r,1
58136.04,23.5871,0.24,False,i,1
58136.05,22.8679,0.14,False,z,1
