mjd,mag,mag_err,UL,filter,System,detected
56097.41,22.2861,,True,V,Vega,0
56097.44,21.8961,,True,V,Vega,0
56101.36,22.0461,,True,V,Vega,0
56101.41,22.1361,,True,V,Vega,0
56118.35,19.2961,0.03,False,V,Vega,1
56118.41,19.2161,0.02,False,V,Vega,1
56124.41,19.0361,0.02,False,V,Vega,1
56124.43,18.9861,0.02,False,V,Vega,1
56126.41,19.0061,0.03,False,V,Vega,1
56126.43,19.0261,0.03,False,V,Vega,1
56130.31,18.8561,0.03,False,V,Vega,1
56130.38,18.8861,0.03,False,V,Vega,1
56132.41,18.8861,0.02,False,V,Vega,1
56132.42,18.8761,0.02,False,V,Vega,1
56136.24,18.8361,0.04,False,V,Vega,1
56136.32,18.8661,0.02,False,V,Vega,1
56138.25,18.7461,0.04,False,V,Vega,1
56138.34,18.7661,0.03,False,V,Vega,1
56149.4,18.407,0.09,False,U,Vega,1
56149.4,18.8022,0.1,False,I,Vega,1
56149.4,18.9838,0.09,False,R,Vega,1
56149.4,19.1161,0.04,False,V,Vega,1
56149.4,19.3853,0.04,False,B,Vega,1
56152.1,19.0638,0.15,False,R,Vega,1
56152.1,18.9122,0.12,False,I,Vega,1
56152.1,19.4053,0.23,False,B,Vega,1
56152.1,19.1861,0.14,False,V,Vega,1
56158.1,18.8922,0.05,False,I,Vega,1
56158.1,18.9338,0.06,False,R,Vega,1
56158.1,19.1861,0.1,False,V,Vega,1
56158.1,19.6653,0.13,False,B,Vega,1
56158.3,18.8122,0.17,False,I,Vega,1
56158.3,18.857,0.09,False,U,Vega,1
56158.3,19.0138,0.05,False,R,Vega,1
56158.3,19.2261,0.07,False,V,Vega,1
56158.3,19.5853,0.06,False,B,Vega,1
56158.4,19.2561,0.02,False,V,Vega,1
56158.41,19.3561,0.03,False,V,Vega,1
56160.31,19.3561,0.08,False,V,Vega,1
56160.39,19.4061,0.03,False,V,Vega,1
56164.3,18.8622,0.05,False,I,Vega,1
56164.3,19.1738,0.04,False,R,Vega,1
56164.3,19.287,0.07,False,U,Vega,1
56164.3,19.3861,0.03,False,V,Vega,1
56164.3,19.8553,0.04,False,B,Vega,1
56164.35,19.4561,0.03,False,V,Vega,1
56164.38,19.5661,0.04,False,V,Vega,1
56166.21,19.4961,0.04,False,V,Vega,1
56166.29,19.4161,0.03,False,V,Vega,1
56166.4,18.9822,0.04,False,I,Vega,1
56166.4,19.427,0.03,False,U,Vega,1
56166.4,19.5561,0.04,False,V,Vega,1
56166.4,19.2438,0.04,False,R,Vega,1
56166.4,19.9453,0.03,False,B,Vega,1
56180.4,19.1122,0.09,False,I,Vega,1
56180.4,19.5638,0.06,False,R,Vega,1
56180.4,20.0361,0.06,False,V,Vega,1
56180.4,20.257,0.34,False,U,Vega,1
56180.4,20.6453,0.08,False,B,Vega,1
56183.1,19.4122,0.1,False,I,Vega,1
56183.1,19.4738,0.07,False,R,Vega,1
56183.1,19.9661,0.05,False,V,Vega,1
56183.1,20.8153,0.15,False,B,Vega,1
56186.3,19.4322,0.04,False,I,Vega,1
56186.3,19.7638,0.03,False,R,Vega,1
56186.3,20.2061,0.02,False,V,Vega,1
56186.3,21.0053,0.03,False,B,Vega,1
56190.1,19.5522,0.13,False,I,Vega,1
56190.1,19.7938,0.06,False,R,Vega,1
56190.1,20.2661,0.09,False,V,Vega,1
56190.1,21.2353,0.18,False,B,Vega,1
56193.4,19.5422,0.05,False,I,Vega,1
56193.4,19.8938,0.06,False,R,Vega,1
56193.4,20.4261,0.07,False,V,Vega,1
56193.4,21.5753,0.07,False,B,Vega,1
56195.0,19.6222,0.16,False,I,Vega,1
56195.0,19.9538,0.16,False,R,Vega,1
56195.0,20.4561,0.31,False,V,Vega,1
56205.1,19.9922,0.13,False,I,Vega,1
56205.1,20.0938,0.1,False,R,Vega,1
56205.1,20.6261,0.3,False,V,Vega,1
56207.4,19.6122,0.24,False,I,Vega,1
56207.4,20.0838,0.15,False,R,Vega,1
56207.4,20.7561,0.11,False,V,Vega,1
56213.0,19.9922,0.18,False,I,Vega,1
56213.0,20.4138,0.2,False,R,Vega,1
56213.0,21.1661,0.2,False,V,Vega,1
56221.0,20.4322,0.14,False,I,Vega,1
56221.0,20.7338,0.18,False,R,Vega,1
56221.0,21.1261,0.19,False,V,Vega,1
56221.0,22.5953,0.31,False,B,Vega,1
56238.2,20.5722,0.04,False,I,Vega,1
56238.2,21.1538,0.05,False,R,Vega,1
56238.2,21.8861,0.06,False,V,Vega,1
56238.2,23.2753,0.07,False,B,Vega,1
56267.2,21.7022,0.51,False,I,Vega,1
56267.2,22.1438,0.08,False,R,Vega,1
56267.2,22.7861,0.09,False,V,Vega,1
56267.2,24.3853,0.33,False,B,Vega,1
56297.0,22.6838,0.3,False,R,Vega,1
56304.1,23.9661,0.14,False,V,Vega,1
