mjd,mag,mag_err,UL,filter,detected
56718.0,22.7001,inf,True,r,0
56720.0,22.2501,inf,True,r,0
56722.0,21.6301,0.32,False,r,1
56724.0,21.0901,0.2,False,r,1
56726.0,20.9301,0.32,False,r,1
56728.0,21.0101,0.25,False,r,1
56730.0,20.8401,0.23,False,r,1
56734.042,21.8901,0.08,False,r,1
56736.083,21.9001,0.28,False,r,1
56738.088,22.0601,0.21,False,r,1
56740.079,22.0601,0.03,False,r,1
56742.078,21.9101,0.08,False,r,1
56744.075,21.4001,0.16,False,r,1
56746.067,21.2901,0.1,False,r,1
56750.06,20.9001,0.02,False,r,1
56752.06,20.6901,0.15,False,r,1
56754.045,20.5201,0.08,False,r,1
56756.057,20.3201,0.03,False,r,1
56760.053,20.0301,0.06,False,r,1
56762.053,19.9701,0.03,False,r,1
56764.048,19.7801,0.05,False,r,1
56766.043,19.7301,0.02,False,r,1
56768.036,19.7401,0.07,False,r,1
56770.034,19.5901,0.01,False,r,1
56772.069,19.5601,0.05,False,r,1
56775.5,19.4905,0.19,False,r,1
56783.123,19.2001,0.12,False,r,1
56783.123,19.3375,0.05,False,i,1
56783.123,19.3403,0.09,False,g,1
56784.7,19.0803,0.11,False,g,1
56784.7,19.1601,0.2,False,r,1
56789.876,19.0675,0.06,False,i,1
56789.876,19.0603,0.04,False,g,1
56789.876,19.3959,0.12,False,z,1
56789.876,19.1101,0.12,False,r,1
56797.917,19.0101,0.02,False,r,1
56797.917,19.0475,0.06,False,i,1
56797.917,19.0603,0.04,False,g,1
56797.917,19.3159,0.04,False,z,1
56984.2,21.0001,0.23,False,r,1
56984.304,20.7775,0.06,False,i,1
56984.304,20.8401,0.1,False,r,1
56988.2,20.9001,0.24,False,r,1
56989.2,21.2101,0.3,False,r,1
57009.2,21.1201,0.33,False,r,1
57011.5,21.3605,0.24,False,r,1
57024.2,21.6301,0.38,False,r,1
57033.2,21.5001,0.23,False,r,1
57042.0,22.0105,0.2,False,r,1
57065.3,18.3717,inf,True,K,0
57065.3,20.0007,inf,True,H,0
57065.3,20.6525,0.17,False,J,1
57065.3,21.9159,0.17,False,z,1
57065.3,22.1875,0.08,False,i,1
57065.3,22.2601,0.04,False,r,1
57065.3,23.0803,0.11,False,g,1
57079.23,22.7059,0.41,False,z,1
57079.23,22.7075,0.31,False,i,1
57079.23,22.7401,0.13,False,r,1
57079.23,23.5303,0.14,False,g,1
57094.1,23.2801,0.16,False,r,1
57094.1,22.3659,0.32,False,z,1
57094.1,22.7575,0.24,False,i,1
57094.1,24.1403,0.13,False,g,1
