mjd,mag,mag_err,UL,filter,detected
56659.23,20.7668,inf,True,r,0
56661.22,21.2568,inf,True,r,0
56663.16,20.1068,inf,True,r,0
56665.16,20.1868,inf,True,r,0
56667.16,20.6168,inf,True,r,0
56669.15,20.6468,0.22,False,r,1
56671.14,20.8668,0.29,False,r,1
56673.14,20.4668,0.22,False,r,1
56675.13,20.2368,0.26,False,r,1
56677.12,19.7768,0.2,False,r,1
56679.12,19.8168,0.12,False,r,1
56681.14,19.5968,0.21,False,r,1
56685.12,19.7468,0.16,False,r,1
56687.17,19.3168,0.14,False,r,1
56688.76,20.3857,0.16,False,UVW1,1
56688.76,20.8807,0.17,False,UVM2,1
56689.09,19.2268,0.24,False,r,1
56689.3933,19.3707,0.235,False,UVM2,1
56689.399,18.8717,0.183,False,UVW1,1
56689.8751,19.1728,0.0678,False,g,1
56689.882812,19.0899,0.0532,False,g,1
56689.882812,19.4224,0.0914,False,r,1
56689.886718,19.4601,0.0853,False,r,1
56689.890625,19.4177,0.1405,False,i,1
56689.890625,19.9069,0.211,False,i,1
56689.894531,19.4657,0.2859,False,z,1
56689.898437,19.153,0.1684,False,z,1
56690.03,19.3089,0.17,False,u,1
56690.03,21.1915,0.26,False,UVW2,1
56690.0331,18.2839,0.173,False,u,1
56690.036,19.5605,0.32,False,UVW2,1
56690.828125,19.0907,0.0606,False,g,1
56690.835937,19.1165,0.0673,False,g,1
56690.839843,19.2817,0.0778,False,r,1
56690.839843,19.4235,0.1043,False,r,1
56690.847656,19.5672,0.1607,False,i,1
56690.847656,19.7971,0.4022,False,z,1
56691.09,19.3168,0.11,False,r,1
56692.0297,19.1957,inf,True,UVM2,0
56692.03,19.0989,0.15,False,u,1
56692.0325,19.4467,inf,True,UVW1,0
56692.0343,18.1089,0.161,False,u,1
56692.0369,19.6705,inf,True,UVW2,0
56692.824218,19.2908,0.2113,False,r,1
56692.828125,19.174,0.1691,False,r,1
56692.832031,19.4021,0.1857,False,i,1
56692.835937,19.4597,0.1985,False,i,1
56693.0452,19.1427,inf,True,UVM2,0
56693.0478,19.3787,inf,True,UVW1,0
56693.0494,18.5979,0.219,False,u,1
56693.05,19.6089,0.21,False,u,1
56693.0521,19.6635,inf,True,UVW2,0
56695.460937,19.1665,0.0598,False,r,1
56695.464843,19.2881,0.0516,False,r,1
56695.468751,19.4755,0.0712,False,i,1
56695.472656,19.4877,0.1148,False,i,1
56696.457031,19.3879,0.0709,False,r,1
56696.460937,19.3005,0.0617,False,r,1
56696.464843,19.2691,0.0609,False,i,1
56696.468751,19.3261,0.0916,False,i,1
56697.01,19.2468,0.05,False,r,1
56697.01,19.44,0.06,False,i,1
56697.01,19.2376,0.04,False,g,1
56697.07,19.2468,0.19,False,r,1
56697.9665,19.1627,inf,True,UVM2,0
56697.9694,19.4127,0.354,False,UVW1,1
56697.97,19.6489,0.2,False,u,1
56697.9711,18.6399,0.216,False,u,1
56697.9741,19.7925,inf,True,UVW2,0
56698.03,19.2776,0.03,False,g,1
56698.03,19.3268,0.07,False,r,1
56698.03,19.4,0.07,False,i,1
56698.98,19.2468,0.05,False,r,1
56698.98,19.2976,0.04,False,g,1
56698.98,19.36,0.06,False,i,1
56699.7132,19.2147,inf,True,UVM2,0
56699.7161,19.4537,inf,True,UVW1,0
56699.7179,18.6539,0.213,False,u,1
56699.72,19.6289,0.2,False,u,1
56699.7208,19.7175,inf,True,UVW2,0
56699.804687,19.3488,0.1491,False,r,1
56699.808593,19.2156,0.0985,False,r,1
56699.81251,19.41,0.1388,False,i,1
56699.81251,19.5418,0.1401,False,i,1
56699.820312,19.3683,0.0792,False,r,1
56699.824218,19.3215,0.0643,False,r,1
56699.828125,19.3914,0.1257,False,i,1
56699.832031,19.2439,0.108,False,i,1
56700.01,19.37,0.12,False,i,1
56700.01,19.2776,0.06,False,g,1
56700.01,19.3268,0.1,False,r,1
56708.851562,19.6419,0.1119,False,r,1
56708.855468,19.4198,0.0879,False,r,1
56708.859375,19.4968,0.1614,False,i,1
56708.863281,19.7218,0.2374,False,i,1
56710.78125,19.6215,0.1047,False,r,1
56710.785156,19.5172,0.0946,False,r,1
56710.789062,19.4426,0.1316,False,i,1
56710.792968,19.6876,0.1446,False,i,1
56711.07,19.8876,0.07,False,g,1
56711.07,19.5668,0.08,False,r,1
56711.07,19.61,0.09,False,i,1
56713.777343,19.6087,0.0851,False,r,1
56713.78125,19.5655,0.1069,False,r,1
56713.785156,19.746,0.2147,False,i,1
56713.789062,19.9619,0.2063,False,i,1
56714.07,19.6068,0.16,False,r,1
56716.08,19.6868,0.15,False,r,1
56717.785156,19.8155,0.0705,False,r,1
56717.789062,19.7693,0.0829,False,r,1
56717.792968,19.7292,0.12,False,i,1
56717.796875,19.8119,0.1074,False,i,1
56718.13,19.6768,0.21,False,r,1
56720.03,19.8568,0.19,False,r,1
56721.847656,20.1622,0.0924,False,r,1
56721.851562,20.1407,0.1002,False,r,1
56721.855468,20.1016,0.1646,False,i,1
56721.855468,20.1323,0.1875,False,i,1
56722.06,20.1468,0.15,False,r,1
56722.832031,19.9164,0.3096,False,r,1
56722.835937,20.0776,0.1081,False,r,1
56722.839843,20.0182,0.165,False,i,1
56722.84375,20.0372,0.1406,False,i,1
56723.91,19.98,0.11,False,i,1
56723.91,20.2668,0.07,False,r,1
56723.91,21.0276,0.2,False,g,1
56724.06,20.2868,0.16,False,r,1
56725.804687,20.327,0.3158,False,r,1
56726.14,20.4768,0.2,False,r,1
56728.05,20.3968,0.19,False,r,1
56728.91,21.2376,0.27,False,g,1
56728.91,20.28,0.13,False,i,1
56728.91,20.6268,0.17,False,r,1
56734.13,21.0368,0.35,False,r,1
56736.88,20.41,0.16,False,i,1
56736.88,20.7968,0.24,False,r,1
56736.88,21.5376,0.2,False,g,1
56740.23,20.9368,0.1,False,r,1
56754.3943,20.5177,inf,True,UVM2,0
56768.02,22.2468,0.13,False,r,1
56768.02,23.5276,0.1,False,g,1
56768.02,21.94,0.16,False,i,1
56783.01,22.19,0.13,False,i,1
56783.01,22.6768,0.15,False,r,1
56783.01,23.8976,0.14,False,g,1
56836.8427,20.5579,inf,True,u,0
56837.4365,20.1795,inf,True,UVW2,0
56838.2024,20.2777,inf,True,UVM2,0
56839.5018,20.7037,inf,True,UVW1,0
56846.3335,20.2157,inf,True,UVM2,0
56953.3111,21.1965,inf,True,UVW2,0
57014.31,24.33,inf,True,i,0
57014.31,23.6366,inf,True,r,0
57014.31,23.7468,inf,True,r,0
57043.31,23.7868,inf,True,r,0
57043.31,23.91,inf,True,i,0
57055.5345,20.6857,inf,True,UVW1,0
57063.7852,20.2027,inf,True,UVW1,0
57065.18,23.8568,inf,True,r,0
57065.18,23.9,inf,True,i,0
57101.07,23.21,inf,True,i,0
57101.07,23.4568,inf,True,r,0
57123.18,23.0666,inf,True,r,0
57123.18,23.11,inf,True,i,0
