mjd,mag,mag_err,UL,filter,detected
57307.16857,20.978,0.145,False,I,1
57313.15604,20.564,0.128,False,I,1
57319.1624,20.312,0.163,False,I,1
57324.14094,20.198,0.146,False,I,1
57333.10392,19.993,0.084,False,I,1
57339.12646,19.994,0.061,False,I,1
57348.1274,19.988,0.149,False,I,1
57354.15834,19.748,0.069,False,I,1
57357.1174,19.986,0.078,False,I,1
57361.09846,19.952,0.076,False,I,1
57363.11369,20.042,0.075,False,I,1
57364.1086,19.974,0.092,False,I,1
57365.10305,19.94,0.053,False,I,1
57366.07506,20.177,0.096,False,I,1
57367.11181,20.007,0.066,False,I,1
57371.08288,19.99,0.058,False,I,1
57372.07152,20.097,0.072,False,I,1
57373.07706,19.86,0.083,False,I,1
57374.07659,20.234,0.092,False,I,1
57375.08774,19.898,0.085,False,I,1
57376.089,20.196,0.12,False,I,1
57377.07437,20.011,0.089,False,I,1
57378.10775,20.02,0.083,False,I,1
57380.05792,19.832,0.086,False,I,1
57381.08118,20.337,0.139,False,I,1
57382.06701,19.937,0.126,False,I,1
57383.1068,20.656,0.172,False,I,1
57384.05915,20.166,0.074,False,I,1
57385.06151,20.344,0.08,False,I,1
57386.08287,20.059,0.078,False,I,1
57387.07015,20.446,0.12,False,I,1
57388.0719,20.442,0.094,False,I,1
57389.08378,20.408,0.117,False,I,1
57390.0645,20.154,0.105,False,I,1
57394.02939,20.875,0.31,False,I,1
57396.03173,20.874,0.434,False,I,1
57398.03243,20.847,0.299,False,I,1
57399.05129,21.067,0.239,False,I,1
57403.08171,20.789,0.176,False,I,1
57406.05041,20.635,0.176,False,I,1
57407.03431,21.023,0.247,False,I,1
57409.06298,20.959,0.238,False,I,1
57414.0399,21.4,0.343,False,I,1
57416.06636,21.329,0.298,False,I,1
57435.03068,21.29,0.344,False,I,1
57441.02701,21.428,0.543,False,I,1
