mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57307.16857,20.978,0.145,False,I,Vega,1,I,7931.81
57313.15604,20.564,0.128,False,I,Vega,1,I,7931.81
57319.1624,20.312,0.163,False,I,Vega,1,I,7931.81
57324.14094,20.198,0.146,False,I,Vega,1,I,7931.81
57333.10392,19.993,0.084,False,I,Vega,1,I,7931.81
57339.12646,19.994,0.061,False,I,Vega,1,I,7931.81
57348.1274,19.988,0.149,False,I,Vega,1,I,7931.81
57354.15834,19.748,0.069,False,I,Vega,1,I,7931.81
57357.1174,19.986,0.078,False,I,Vega,1,I,7931.81
57361.09846,19.952,0.076,False,I,Vega,1,I,7931.81
57363.11369,20.042,0.075,False,I,Vega,1,I,7931.81
57364.1086,19.974,0.092,False,I,Vega,1,I,7931.81
57365.10305,19.94,0.053,False,I,Vega,1,I,7931.81
57366.07506,20.177,0.096,False,I,Vega,1,I,7931.81
57367.11181,20.007,0.066,False,I,Vega,1,I,7931.81
57371.08288,19.99,0.058,False,I,Vega,1,I,7931.81
57372.07152,20.097,0.072,False,I,Vega,1,I,7931.81
57373.07706,19.86,0.083,False,I,Vega,1,I,7931.81
57374.07659,20.234,0.092,False,I,Vega,1,I,7931.81
57375.08774,19.898,0.085,False,I,Vega,1,I,7931.81
57376.089,20.196,0.12,False,I,Vega,1,I,7931.81
57377.07437,20.011,0.089,False,I,Vega,1,I,7931.81
57378.10775,20.02,0.083,False,I,Vega,1,I,7931.81
57380.05792,19.832,0.086,False,I,Vega,1,I,7931.81
57381.08118,20.337,0.139,False,I,Vega,1,I,7931.81
57382.06701,19.937,0.126,False,I,Vega,1,I,7931.81
57383.1068,20.656,0.172,False,I,Vega,1,I,7931.81
57384.05915,20.166,0.074,False,I,Vega,1,I,7931.81
57385.06151,20.344,0.08,False,I,Vega,1,I,7931.81
57386.08287,20.059,0.078,False,I,Vega,1,I,7931.81
57387.07015,20.446,0.12,False,I,Vega,1,I,7931.81
57388.0719,20.442,0.094,False,I,Vega,1,I,7931.81
57389.08378,20.408,0.117,False,I,Vega,1,I,7931.81
57390.0645,20.154,0.105,False,I,Vega,1,I,7931.81
57394.02939,20.875,0.31,False,I,Vega,1,I,7931.81
57396.03173,20.874,0.434,False,I,Vega,1,I,7931.81
57398.03243,20.847,0.299,False,I,Vega,1,I,7931.81
57399.05129,21.067,0.239,False,I,Vega,1,I,7931.81
57403.08171,20.789,0.176,False,I,Vega,1,I,7931.81
57406.05041,20.635,0.176,False,I,Vega,1,I,7931.81
57407.03431,21.023,0.247,False,I,Vega,1,I,7931.81
57409.06298,20.959,0.238,False,I,Vega,1,I,7931.81
57414.0399,21.4,0.343,False,I,Vega,1,I,7931.81
57416.06636,21.329,0.298,False,I,Vega,1,I,7931.81
57435.03068,21.29,0.344,False,I,Vega,1,I,7931.81
57441.02701,21.428,0.543,False,I,Vega,1,I,7931.81
