mjd,mag,mag_err,UL,filter,detected
57361.33218,21.5539,,True,I,0
57366.20479,21.5539,,True,I,0
57373.3583,20.2999,0.167,False,I,1
57377.33003,20.3499,0.153,False,I,1
57382.22825,19.5689,0.112,False,I,1
57385.24174,19.0559,0.048,False,I,1
57390.26356,18.5529,0.026,False,I,1
57399.26813,18.2659,0.036,False,I,1
57403.2835,18.0889,0.019,False,I,1
57408.2308,18.1709,0.026,False,I,1
57410.23219,18.0749,0.026,False,I,1
57413.19491,18.0819,0.032,False,I,1
57416.20184,18.1549,0.023,False,I,1
57424.14421,18.4239,0.027,False,I,1
57427.17994,18.5179,0.029,False,I,1
57431.11823,18.7789,0.038,False,I,1
57433.16088,18.9109,0.038,False,I,1
57435.16396,18.8579,0.037,False,I,1
57437.11705,18.9549,0.042,False,I,1
57439.17084,18.8949,0.051,False,I,1
57441.10542,19.1009,0.06,False,I,1
