mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55388.6,23.15,,True,z,AB,0,z,8668.36
55389.5,23.93,,True,g,AB,0,g,4810.16
55389.5,23.96,,True,r,AB,0,r,6155.47
55398.6,23.13,,True,r,AB,0,r,6155.47
55398.6,23.42,,True,g,AB,0,g,4810.16
55410.6,22.97,,True,g,AB,0,g,4810.16
55410.6,23.43,,True,r,AB,0,r,6155.47
55411.6,23.39,,True,i,AB,0,i,7503.03
55412.5,23.14,,True,z,AB,0,z,8668.36
55413.5,23.71,,True,r,AB,0,r,6155.47
55413.6,23.8,,True,g,AB,0,g,4810.16
55414.6,23.56,0.3,False,i,AB,1,i,7503.03
55415.6,22.41,,True,z,AB,0,z,8668.36
55416.6,23.86,,True,r,AB,0,r,6155.47
55416.6,24.1,,True,g,AB,0,g,4810.16
55417.6,23.36,0.26,False,i,AB,1,i,7503.03
55422.6,23.51,,True,r,AB,0,r,6155.47
55422.6,23.7,,True,g,AB,0,g,4810.16
55423.6,23.22,0.25,False,i,AB,1,i,7503.03
55424.6,22.98,,True,z,AB,0,z,8668.36
55425.6,23.36,,True,r,AB,0,r,6155.47
55425.6,23.88,,True,g,AB,0,g,4810.16
55426.6,23.43,,True,i,AB,0,i,7503.03
55427.6,23.24,,True,z,AB,0,z,8668.36
55428.6,23.9,,True,g,AB,0,g,4810.16
55438.6,23.37,,True,i,AB,0,i,7503.03
55439.5,22.82,,True,z,AB,0,z,8668.36
55440.5,23.49,,True,g,AB,0,g,4810.16
55440.5,23.57,,True,r,AB,0,r,6155.47
55441.5,22.9,0.19,False,i,AB,1,i,7503.03
55442.6,22.85,,True,z,AB,0,z,8668.36
55443.5,23.6,0.28,False,r,AB,1,r,6155.47
55443.5,24.21,,True,g,AB,0,g,4810.16
55444.5,23.06,0.21,False,i,AB,1,i,7503.03
55445.5,23.22,,True,z,AB,0,z,8668.36
55446.6,23.99,,True,r,AB,0,r,6155.47
55446.6,24.01,,True,g,AB,0,g,4810.16
55447.5,22.72,0.15,False,i,AB,1,i,7503.03
55448.5,23.08,0.34,False,z,AB,1,z,8668.36
55449.5,22.94,,True,r,AB,0,r,6155.47
55449.5,23.06,,True,g,AB,0,g,4810.16
55451.5,22.3,,True,z,AB,0,z,8668.36
55452.4,23.5,0.32,False,r,AB,1,r,6155.47
55452.4,24.05,,True,g,AB,0,g,4810.16
55453.5,22.89,0.17,False,i,AB,1,i,7503.03
55456.5,22.61,0.12,False,i,AB,1,i,7503.03
55457.4,22.76,0.34,False,z,AB,1,z,8668.36
55458.3,22.36,,True,g,AB,0,g,4810.16
55465.5,22.57,0.26,False,i,AB,1,i,7503.03
55466.4,22.46,0.26,False,z,AB,1,z,8668.36
55467.4,22.8,,True,g,AB,0,g,4810.16
55467.4,23.06,,True,r,AB,0,r,6155.47
55468.4,22.64,0.36,False,i,AB,1,i,7503.03
55475.3,22.53,0.29,False,z,AB,1,z,8668.36
55476.5,23.08,0.18,False,r,AB,1,r,6155.47
55476.5,23.99,,True,g,AB,0,g,4810.16
55477.3,22.67,0.15,False,i,AB,1,i,7503.03
55478.3,22.3,0.2,False,z,AB,1,z,8668.36
55479.3,23.26,0.27,False,r,AB,1,r,6155.47
55479.3,23.43,,True,g,AB,0,g,4810.16
55480.4,22.7,0.15,False,i,AB,1,i,7503.03
55481.3,22.93,,True,z,AB,0,z,8668.36
55482.3,22.96,0.24,False,r,AB,1,r,6155.47
55483.3,22.65,0.13,False,i,AB,1,i,7503.03
55484.2,22.47,0.2,False,z,AB,1,z,8668.36
55485.3,23.29,0.32,False,r,AB,1,r,6155.47
55485.3,23.37,,True,g,AB,0,g,4810.16
55487.3,21.76,,True,z,AB,0,z,8668.36
55498.3,22.74,0.16,False,i,AB,1,i,7503.03
55499.3,22.6,0.26,False,z,AB,1,z,8668.36
55500.3,23.33,0.2,False,r,AB,1,r,6155.47
55500.3,24.15,,True,g,AB,0,g,4810.16
55501.4,22.83,0.21,False,i,AB,1,i,7503.03
55502.3,22.55,0.24,False,z,AB,1,z,8668.36
55503.3,23.96,,True,g,AB,0,g,4810.16
55504.4,22.66,0.19,False,i,AB,1,i,7503.03
55507.3,22.74,0.16,False,i,AB,1,i,7503.03
55508.3,22.7,0.31,False,z,AB,1,z,8668.36
55510.3,22.58,0.13,False,i,AB,1,i,7503.03
55530.3,22.93,,True,r,AB,0,r,6155.47
55530.3,22.94,,True,g,AB,0,g,4810.16
55534.3,22.48,0.15,False,i,AB,1,i,7503.03
55535.2,22.42,0.21,False,z,AB,1,z,8668.36
55536.3,22.73,0.22,False,r,AB,1,r,6155.47
