mjd,mag,mag_err,UL,filter,detected
55388.6,23.39,inf,True,z,0
55389.5,23.78,inf,True,r,0
55389.5,23.93,inf,True,g,0
55398.5,22.78,inf,True,r,0
55400.6,21.48,inf,True,z,0
55408.5,23.25,inf,True,i,0
55409.5,23.41,inf,True,z,0
55410.5,23.14,inf,True,r,0
55410.5,23.37,inf,True,g,0
55411.5,23.79,inf,True,i,0
55412.5,23.43,inf,True,z,0
55413.4,23.52,inf,True,r,0
55413.5,23.78,inf,True,g,0
55414.5,24.37,inf,True,i,0
55415.6,22.68,inf,True,z,0
55416.5,23.83,inf,True,r,0
55416.5,24.36,inf,True,g,0
55417.5,24.19,inf,True,i,0
55422.5,23.59,inf,True,r,0
55422.5,23.92,inf,True,g,0
55423.5,23.99,inf,True,i,0
55424.5,23.52,inf,True,z,0
55425.4,23.41,inf,True,g,0
55425.4,23.64,inf,True,r,0
55426.5,23.92,inf,True,i,0
55427.5,24.07,inf,True,z,0
55428.5,23.61,inf,True,r,0
55428.5,23.87,inf,True,g,0
55429.5,23.79,inf,True,i,0
55436.4,22.7,inf,True,z,0
55437.5,22.57,inf,True,g,0
55437.5,22.83,inf,True,r,0
55438.5,24.04,inf,True,i,0
55439.3,23.66,inf,True,z,0
55440.5,23.5,inf,True,r,0
55440.5,23.54,inf,True,g,0
55441.5,23.7,inf,True,i,0
55442.5,23.26,inf,True,z,0
55443.5,23.48,inf,True,g,0
55443.5,23.61,inf,True,r,0
55444.4,24.3,inf,True,i,0
55445.4,23.35,inf,True,z,0
55446.5,23.14,inf,True,r,0
55446.5,23.9,inf,True,g,0
55447.4,24.51,inf,True,i,0
55448.4,23.71,inf,True,z,0
55449.4,23.74,inf,True,r,0
55449.4,24.09,inf,True,g,0
55450.4,23.6,inf,True,i,0
55451.5,23.17,inf,True,z,0
55452.4,23.67,inf,True,r,0
55452.4,24.03,inf,True,g,0
55453.4,24.57,inf,True,i,0
55454.4,24.07,inf,True,z,0
55455.4,23.59,inf,True,g,0
55457.3,23.15,inf,True,z,0
55458.3,21.82,inf,True,g,0
55458.3,22.46,inf,True,r,0
55465.5,23.2,inf,True,i,0
55466.4,23.3,inf,True,z,0
55467.3,22.93,0.3,False,g,1
55467.4,23.3,0.34,False,r,1
55468.3,23.5,0.24,False,i,1
55473.3,22.69,0.17,False,r,1
55473.3,22.89,0.18,False,g,1
55475.2,23.29,0.33,False,z,1
55477.2,22.56,0.08,False,i,1
55478.2,22.67,0.16,False,z,1
55479.2,22.03,0.1,False,g,1
55479.2,22.04,0.1,False,r,1
55480.2,22.65,0.27,False,i,1
55481.2,22.79,0.35,False,z,1
55482.2,21.91,0.07,False,g,1
55482.3,21.86,0.07,False,r,1
55483.2,22.14,0.06,False,i,1
55484.2,22.09,0.11,False,z,1
55486.2,21.97,0.22,False,i,1
55492.3,22.9239,0.01,False,y,1
55493.3,21.6939,0.2,False,y,1
55499.2,21.72,0.1,False,z,1
55500.2,21.37,0.05,False,r,1
55500.2,21.6,0.04,False,g,1
55501.4,21.73,0.06,False,i,1
55502.3,21.64,0.1,False,z,1
55503.3,21.41,0.08,False,r,1
55503.3,21.57,0.07,False,g,1
55507.3,21.52,0.05,False,i,1
55508.2,21.59,0.11,False,z,1
55510.2,21.41,0.02,False,i,1
55512.3,21.64,0.16,False,g,1
55523.3,21.5539,0.19,False,y,1
55530.2,21.51,0.11,False,r,1
55530.2,22.58,0.26,False,g,1
55534.3,21.48,0.07,False,i,1
55535.2,21.39,0.07,False,z,1
55536.2,21.52,0.07,False,r,1
55536.3,22.64,0.26,False,g,1
55547.2,21.7,0.07,False,z,1
55755.6,22.0139,inf,True,y,0
55756.6,21.6739,inf,True,y,0
55757.5,21.8439,inf,True,y,0
55763.6,20.6039,inf,True,y,0
