mjd,mag,mag_err,UL,filter,detected
55189.6,24.01,inf,True,i,0
55192.6,23.8,inf,True,i,0
55193.7,23.06,inf,True,z,0
55199.6,23.31,inf,True,z,0
55202.6,23.04,inf,True,z,0
55203.6,23.87,inf,True,g,0
55203.6,24.06,inf,True,r,0
55207.6,24.53,inf,True,i,0
55208.7,23.56,inf,True,z,0
55209.6,23.5,inf,True,g,0
55209.6,23.92,inf,True,r,0
55210.6,23.94,inf,True,i,0
55212.6,24.02,inf,True,g,0
55212.6,24.61,inf,True,r,0
55213.6,24.6,inf,True,i,0
55214.6,23.82,inf,True,z,0
55215.6,24.16,inf,True,g,0
55215.6,24.41,inf,True,r,0
55219.6,24.3,inf,True,i,0
55220.6,23.47,inf,True,z,0
55221.6,23.52,inf,True,r,0
55221.6,23.7,inf,True,g,0
55222.6,24.2,inf,True,i,0
55223.6,23.16,inf,True,z,0
55230.6,23.18,inf,True,g,0
55230.6,23.42,inf,True,r,0
55231.6,23.87,inf,True,i,0
55233.5,23.73,inf,True,g,0
55233.5,23.76,inf,True,r,0
55234.6,24.27,inf,True,i,0
55235.6,23.26,inf,True,z,0
55236.6,23.96,inf,True,r,0
55236.6,24.01,inf,True,g,0
55237.6,24.94,inf,True,i,0
55238.6,23.47,inf,True,z,0
55239.5,24.22,inf,True,g,0
55239.6,24.35,inf,True,r,0
55240.5,24.29,inf,True,i,0
55241.5,23.36,inf,True,z,0
55242.5,24.02,inf,True,g,0
55242.6,24.16,inf,True,r,0
55243.5,24.38,inf,True,i,0
55246.5,24.24,inf,True,i,0
55247.5,23.14,inf,True,z,0
55248.5,23.94,inf,True,g,0
55248.5,23.95,inf,True,r,0
55249.6,24.18,inf,True,i,0
55250.6,23.48,inf,True,z,0
55251.5,23.13,inf,True,g,0
55251.5,23.43,inf,True,r,0
55252.6,23.43,inf,True,i,0
55258.6,23.64,inf,True,i,0
55264.5,22.96,inf,True,i,0
55266.5,22.98,inf,True,g,0
55266.6,23.37,inf,True,r,0
55268.6,22.71,inf,True,z,0
55269.6,23.23,inf,True,r,0
55269.6,23.39,0.34,False,g,1
55272.6,23.21,0.21,False,r,1
55272.6,23.4,inf,True,g,0
55274.6,21.85,inf,True,z,0
55275.5,23.18,0.2,False,g,1
55276.6,23.2,0.18,False,i,1
55280.4,23.09,0.29,False,z,1
55288.4,23.07,0.26,False,i,1
55297.3,22.36,0.08,False,i,1
55298.4,22.35,0.11,False,z,1
55301.3,22.53,0.14,False,r,1
55301.3,23.03,0.2,False,g,1
55302.4,22.59,0.15,False,g,1
55302.5,22.49,0.2,False,r,1
55303.5,22.34,0.08,False,i,1
55304.3,22.11,0.17,False,z,1
55305.3,22.65,0.19,False,g,1
55305.4,22.5,0.17,False,r,1
55322.4,22.01,0.11,False,z,1
55325.4,21.9,0.1,False,z,1
55326.4,22.2,0.1,False,r,1
55326.4,23.17,0.26,False,g,1
55327.4,22.01,0.08,False,i,1
55329.4,22.27,0.08,False,r,1
55329.4,23.09,0.2,False,g,1
55330.3,21.97,0.08,False,i,1
55331.3,22.15,0.18,False,z,1
55332.3,22.36,0.08,False,r,1
55332.3,23.4,0.23,False,g,1
55339.3,21.64,0.12,False,i,1
55340.3,21.79,0.18,False,z,1
55348.3,22.02,0.07,False,i,1
55350.3,22.4,0.08,False,r,1
55350.3,23.61,0.23,False,g,1
55352.3,21.8,0.1,False,z,1
55353.3,23.62,0.32,False,g,1
55353.4,22.53,0.11,False,r,1
55354.3,22.09,0.08,False,i,1
55355.3,21.57,0.32,False,z,1
55359.3,22.62,inf,True,r,0
55359.3,23.07,inf,True,g,0
55360.3,22.35,0.12,False,i,1
55361.3,21.99,0.15,False,z,1
55362.3,22.76,0.12,False,r,1
55362.3,23.79,inf,True,g,0
55363.3,22.26,0.1,False,i,1
55365.3,22.7,0.17,False,r,1
55365.3,23.71,inf,True,g,0
55366.3,22.23,0.11,False,i,1
55367.3,22.11,0.14,False,z,1
55383.97,22.6192,0.23,False,i,1
55383.97,23.4789,0.13,False,r,1
55384.0,22.1369,0.28,False,z,1
55384.0,24.7626,0.33,False,g,1
55567.6,24.24,inf,True,i,0
55591.62,24.8369,0.31,False,z,1
55591.62,24.9592,0.42,False,i,1
55594.6,24.76,inf,True,i,0
55595.6,23.88,inf,True,z,0
55596.6,24.07,inf,True,g,0
55597.6,24.23,inf,True,i,0
55602.5,24.05,inf,True,g,0
55605.6,23.01,inf,True,g,0
55605.6,23.23,inf,True,r,0
55613.5,23.57,inf,True,z,0
55615.6,22.2,inf,True,i,0
55630.6,23.57,inf,True,i,0
55631.4,23.66,inf,True,z,0
55632.6,23.91,inf,True,g,0
55632.6,24.0,inf,True,r,0
55633.6,24.53,inf,True,i,0
55634.6,22.65,inf,True,z,0
55635.5,23.51,inf,True,g,0
55635.5,23.88,inf,True,r,0
55636.4,23.47,inf,True,i,0
55645.6,23.78,inf,True,i,0
55649.6,22.78,inf,True,z,0
