mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55738.6,23.23,,True,i,AB,0,i,7457.89
55739.5,22.94,,True,z,AB,0,z,8922.78
55741.6,23.13,0.25,False,i,AB,1,i,7457.89
55742.6,23.07,0.15,False,z,AB,1,z,8922.78
55743.6,22.75,0.17,False,r,AB,1,r,6141.12
55743.6,23.16,0.21,False,g,AB,1,g,4671.78
55747.6,22.76,0.19,False,i,AB,1,i,7457.89
55751.6,22.8,0.19,False,z,AB,1,z,8922.78
55754.6,22.55,0.21,False,z,AB,1,z,8922.78
55763.6,22.22,0.21,False,z,AB,1,z,8922.78
55764.6,22.29,0.13,False,r,AB,1,r,6141.12
55764.6,22.78,0.3,False,g,AB,1,g,4671.78
55765.6,22.61,0.14,False,i,AB,1,i,7457.89
55767.6,22.24,0.1,False,r,AB,1,r,6141.12
55767.6,22.36,0.1,False,g,AB,1,g,4671.78
55768.6,22.14,0.07,False,i,AB,1,i,7457.89
55769.6,22.13,0.1,False,z,AB,1,z,8922.78
55770.5,22.71,0.13,False,g,AB,1,g,4671.78
55770.6,22.18,0.08,False,r,AB,1,r,6141.12
55771.4,21.99,0.18,False,i,AB,1,i,7457.89
55772.5,22.68,0.29,False,z,AB,1,z,8922.78
55773.6,21.94,0.07,False,r,AB,1,r,6141.12
55773.6,22.71,0.15,False,g,AB,1,g,4671.78
55774.6,21.96,0.08,False,i,AB,1,i,7457.89
55775.6,22.1,0.08,False,z,AB,1,z,8922.78
55776.6,22.61,0.08,False,g,AB,1,g,4671.78
55777.4,22.01,0.09,False,i,AB,1,i,7457.89
55779.6,22.04,0.09,False,r,AB,1,r,6141.12
55779.6,22.68,0.09,False,g,AB,1,g,4671.78
55782.4,21.89,0.13,False,r,AB,1,r,6141.12
55782.4,22.29,0.33,False,g,AB,1,g,4671.78
55791.6,22.1,0.25,False,g,AB,1,g,4671.78
55792.6,21.82,0.09,False,i,AB,1,i,7457.89
55793.6,22.13,0.13,False,z,AB,1,z,8922.78
55794.5,21.83,0.07,False,r,AB,1,r,6141.12
55794.5,22.63,0.19,False,g,AB,1,g,4671.78
55796.6,22.11,0.13,False,z,AB,1,z,8922.78
55797.5,22.6,0.12,False,g,AB,1,g,4671.78
55799.3,22.04,0.1,False,z,AB,1,z,8922.78
55800.3,21.82,0.12,False,r,AB,1,r,6141.12
55800.3,22.59,0.24,False,g,AB,1,g,4671.78
55801.3,21.8,0.07,False,i,AB,1,i,7457.89
55802.5,21.75,0.08,False,z,AB,1,z,8922.78
55803.5,21.99,0.11,False,r,AB,1,r,6141.12
55803.5,22.67,0.1,False,g,AB,1,g,4671.78
55804.5,21.79,0.07,False,i,AB,1,i,7457.89
55805.3,21.98,0.15,False,z,AB,1,z,8922.78
55806.4,21.88,0.07,False,r,AB,1,r,6141.12
55806.4,22.39,0.18,False,g,AB,1,g,4671.78
55807.3,21.95,0.19,False,i,AB,1,i,7457.89
55808.3,21.83,0.11,False,z,AB,1,z,8922.78
55809.3,22.47,0.18,False,g,AB,1,g,4671.78
55810.3,21.74,0.06,False,i,AB,1,i,7457.89
55811.3,21.84,0.1,False,z,AB,1,z,8922.78
55812.4,22.75,0.24,False,g,AB,1,g,4671.78
55819.3,21.59,0.06,False,i,AB,1,i,7457.89
55821.3,21.68,0.08,False,r,AB,1,r,6141.12
55821.3,22.67,0.16,False,g,AB,1,g,4671.78
55822.5,21.6,0.05,False,i,AB,1,i,7457.89
55823.3,21.71,0.06,False,z,AB,1,z,8922.78
55824.3,21.72,0.09,False,r,AB,1,r,6141.12
55824.3,22.35,0.13,False,g,AB,1,g,4671.78
55825.3,21.5,0.08,False,i,AB,1,i,7457.89
55827.4,21.7,0.06,False,z,AB,1,z,8922.78
55828.3,22.35,0.04,False,g,AB,1,g,4671.78
55829.3,21.57,0.05,False,r,AB,1,r,6141.12
55830.3,21.67,0.11,False,z,AB,1,z,8922.78
55830.3,22.55,0.24,False,g,AB,1,g,4671.78
55832.3,21.6,0.14,False,z,AB,1,z,8922.78
55833.3,21.96,0.22,False,r,AB,1,r,6141.12
55833.3,22.33,0.12,False,g,AB,1,g,4671.78
55834.3,21.49,0.06,False,i,AB,1,i,7457.89
55836.2,21.63,0.1,False,r,AB,1,r,6141.12
55836.2,22.32,0.11,False,g,AB,1,g,4671.78
55836.5,21.59,0.04,False,r,AB,1,r,6141.12
55836.5,21.58,0.11,False,i,AB,1,i,7457.89
55836.5,22.25,0.1,False,g,AB,1,g,4671.78
55836.5,22.18,0.39,False,z,AB,1,z,8922.78
55839.4,21.61,0.14,False,r,AB,1,r,6141.12
55839.4,21.93,0.17,False,g,AB,1,g,4671.78
55850.3,21.46,0.05,False,i,AB,1,i,7457.89
55852.3,21.46,0.05,False,r,AB,1,r,6141.12
55852.3,22.44,0.08,False,g,AB,1,g,4671.78
55853.4,21.42,0.04,False,i,AB,1,i,7457.89
55854.3,21.67,0.06,False,z,AB,1,z,8922.78
55855.2,21.54,0.06,False,r,AB,1,r,6141.12
55855.2,22.38,0.09,False,g,AB,1,g,4671.78
55857.2,21.55,0.05,False,z,AB,1,z,8922.78
55858.2,22.31,0.11,False,g,AB,1,g,4671.78
55858.3,21.58,0.05,False,r,AB,1,r,6141.12
55859.4,21.57,0.05,False,r,AB,1,r,6141.12
55860.2,21.61,0.06,False,z,AB,1,z,8922.78
55860.2,22.5,0.1,False,g,AB,1,g,4671.78
55861.3,21.62,0.07,False,i,AB,1,i,7457.89
55862.2,21.88,,True,z,AB,0,z,8922.78
55863.3,21.48,0.05,False,r,AB,1,r,6141.12
55863.3,22.58,0.12,False,g,AB,1,g,4671.78
55882.2,21.63,,True,i,AB,0,i,7457.89
55891.2,21.68,0.08,False,z,AB,1,z,8922.78
