mjd,mag,mag_err,UL,filter,detected
55878.6,22.26,0.09,False,z,1
55879.6,22.05,0.06,False,i,1
55883.6,21.89,0.22,False,z,1
55885.6,21.95,0.08,False,i,1
55888.5,21.9,0.06,False,i,1
55888.5,22.13,0.09,False,r,1
55889.6,22.21,0.1,False,z,1
55889.6,22.8,0.17,False,g,1
55890.6,22.02,0.05,False,i,1
55891.5,22.07,0.09,False,z,1
55892.5,22.14,0.07,False,r,1
55892.5,23.98,,True,g,0
55893.6,21.97,0.05,False,i,1
55894.5,21.91,0.03,False,z,1
55895.6,22.27,0.07,False,r,1
55895.6,22.97,0.15,False,g,1
55897.6,22.26,0.11,False,z,1
55899.6,22.07,0.13,False,z,1
55900.6,22.15,0.06,False,i,1
55901.6,22.08,0.09,False,z,1
55910.6,22.23,0.13,False,z,1
55911.6,22.76,0.15,False,r,1
55911.6,23.19,,True,g,0
55913.5,22.17,0.18,False,z,1
55915.4,21.89,0.24,False,i,1
55929.4,22.61,0.16,False,z,1
55931.6,22.52,0.21,False,z,1
55939.5,23.15,,True,i,0
55940.5,22.63,0.14,False,z,1
55942.4,22.66,0.27,False,i,1
55945.6,22.65,0.08,False,i,1
55946.6,22.77,,True,z,0
55947.4,23.96,0.36,False,r,1
55947.4,23.97,,True,g,0
55948.4,23.25,0.32,False,i,1
55948.4,23.56,,True,r,0
55950.6,23.11,0.12,False,i,1
55951.6,22.89,0.32,False,z,1
55952.6,23.77,0.21,False,r,1
55952.6,23.88,,True,g,0
55953.5,22.36,0.23,False,i,1
55954.4,22.93,,True,z,0
55955.3,23.72,,True,g,0
55955.3,24.32,,True,r,0
55956.3,23.02,0.2,False,i,1
55957.4,23.01,0.16,False,z,1
55959.5,22.34,0.28,False,z,1
55960.4,23.2,0.15,False,i,1
55961.3,23.56,,True,z,0
55967.5,23.41,0.29,False,z,1
55968.3,23.11,0.14,False,i,1
55969.5,23.27,0.29,False,z,1
55970.4,23.77,,True,g,0
55970.4,24.0,,True,r,0
55972.3,23.46,0.25,False,z,1
55978.3,22.73,,True,z,0
55978.3,23.52,,True,g,0
55979.3,23.39,,True,i,0
55983.3,23.59,,True,z,0
55984.3,23.87,,True,g,0
55984.3,24.39,,True,r,0
55985.3,23.97,,True,i,0
55997.3,23.46,,True,z,0
55998.2,23.22,,True,i,0
55999.3,22.87,,True,z,0
56000.4,24.07,,True,r,0
56000.4,24.27,,True,g,0
56002.3,23.11,,True,z,0
56005.3,23.83,,True,z,0
56006.3,23.62,,True,g,0
56006.4,24.28,,True,r,0
56015.3,24.64,,True,i,0
56016.3,22.89,,True,z,0
56047.3,22.97,,True,z,0
56049.3,23.39,,True,z,0
56055.3,22.53,,True,z,0
56056.3,22.51,,True,z,0
