mjd,mag,mag_err,UL,filter,detected
55777.6,23.86,inf,True,i,0
55799.6,23.02,inf,True,z,0
55808.6,23.63,inf,True,z,0
55809.6,24.04,inf,True,g,0
55809.6,24.22,inf,True,r,0
55810.6,24.77,inf,True,i,0
55811.5,23.37,inf,True,z,0
55812.5,23.63,inf,True,g,0
55812.5,23.91,inf,True,r,0
55813.5,24.39,inf,True,i,0
55822.6,23.91,inf,True,i,0
55823.6,23.38,inf,True,z,0
55824.6,23.86,inf,True,g,0
55824.6,24.35,inf,True,r,0
55825.6,24.02,inf,True,i,0
55827.6,22.18,inf,True,z,0
55828.5,24.21,inf,True,g,0
55828.5,24.64,inf,True,r,0
55829.5,24.19,inf,True,r,0
55829.6,24.14,inf,True,i,0
55832.5,22.13,inf,True,z,0
55833.5,23.9,inf,True,g,0
55833.6,23.93,inf,True,r,0
55834.5,23.99,inf,True,i,0
55835.5,22.49,inf,True,z,0
55836.5,23.22,inf,True,g,0
55836.6,23.18,inf,True,r,0
55837.6,24.22,inf,True,i,0
55839.5,23.56,inf,True,r,0
55839.5,23.64,inf,True,g,0
55842.5,22.07,inf,True,z,0
55850.6,23.29,inf,True,i,0
55851.6,22.73,inf,True,z,0
55852.6,23.2,inf,True,g,0
55852.6,23.8,inf,True,r,0
55853.5,24.55,inf,True,i,0
55854.6,22.97,inf,True,z,0
55855.5,23.97,inf,True,g,0
55855.5,24.22,inf,True,r,0
55857.5,23.19,inf,True,z,0
55858.4,24.38,inf,True,g,0
55858.4,24.39,inf,True,r,0
55859.5,24.07,inf,True,i,0
55860.5,24.13,inf,True,g,0
55862.4,23.13,inf,True,z,0
55863.5,23.44,inf,True,r,0
55863.5,23.7,inf,True,g,0
55870.3,21.67,inf,True,z,0
55871.5,22.92,inf,True,i,0
55878.5,23.35,inf,True,z,0
55879.4,24.15,inf,True,i,0
55880.4,23.58,inf,True,z,0
55883.4,22.38,inf,True,z,0
55885.3,23.52,inf,True,i,0
55887.3,23.93,inf,True,g,0
55887.4,23.52,inf,True,r,0
55888.5,23.06,inf,True,i,0
55889.3,23.72,inf,True,z,0
55889.3,24.14,inf,True,g,0
55890.4,24.32,inf,True,i,0
55891.4,23.61,inf,True,z,0
55893.3,23.09,inf,True,i,0
55895.3,24.23,inf,True,g,0
55895.3,24.49,inf,True,r,0
55896.3,24.1,0.34,False,i,1
55897.2,23.38,inf,True,z,0
55899.3,20.54,inf,True,z,0
55905.2,21.89,inf,True,z,0
55910.4,21.26,0.09,False,z,1
55911.3,20.54,0.02,False,g,1
55911.3,20.81,0.02,False,r,1
55912.3,20.97,0.03,False,i,1
55915.3,20.93,0.06,False,i,1
55918.2,20.9,0.02,False,i,1
55919.3,20.95,0.07,False,z,1
55921.3,20.81,0.05,False,z,1
55937.4,23.65,0.32,False,UVM2,1
55941.3,20.57,0.05,False,r,1
55941.3,20.58,0.08,False,g,1
55950.5,24.06,inf,True,UVM2,0
55953.3,23.32,inf,True,UVW2,0
55954.2,23.28,inf,True,UVM2,0
