mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56204.5,22.15,0.08,False,i,AB,1,i,7503.03
56205.5,22.31,0.15,False,z,AB,1,z,8668.36
56206.5,23.7,,True,g,AB,0,g,4810.16
56206.6,22.94,0.18,False,r,AB,1,r,6155.47
56207.6,22.49,0.09,False,i,AB,1,i,7503.03
56208.6,22.23,0.15,False,z,AB,1,z,8668.36
56209.5,23.02,0.17,False,r,AB,1,r,6155.47
56209.5,23.96,,True,g,AB,0,g,4810.16
56210.5,22.32,0.05,False,i,AB,1,i,7503.03
56211.5,22.19,0.12,False,z,AB,1,z,8668.36
56213.5,22.64,0.15,False,i,AB,1,i,7503.03
56213.5,23.32,,True,r,AB,0,r,6155.47
56214.5,22.45,0.21,False,z,AB,1,z,8668.36
56214.5,23.45,,True,g,AB,0,g,4810.16
56215.5,22.47,0.17,False,i,AB,1,i,7503.03
56216.5,22.03,0.17,False,z,AB,1,z,8668.36
56217.5,22.99,0.22,False,r,AB,1,r,6155.47
56217.5,23.78,,True,g,AB,0,g,4810.16
56218.5,22.4,0.06,False,i,AB,1,i,7503.03
56219.5,22.19,0.12,False,z,AB,1,z,8668.36
56220.5,23.0,,True,g,AB,0,g,4810.16
56220.5,23.84,,True,r,AB,0,r,6155.47
56221.5,22.48,0.09,False,i,AB,1,i,7503.03
56222.5,22.24,0.14,False,z,AB,1,z,8668.36
56226.5,22.31,0.14,False,z,AB,1,z,8668.36
56229.5,22.51,0.23,False,z,AB,1,z,8668.36
56232.5,22.62,0.23,False,z,AB,1,z,8668.36
56233.5,22.76,0.15,False,i,AB,1,i,7503.03
56234.4,22.38,0.09,False,z,AB,1,z,8668.36
56235.4,23.45,,True,g,AB,0,g,4810.16
56235.5,23.73,0.31,False,r,AB,1,r,6155.47
56236.4,22.63,0.09,False,i,AB,1,i,7503.03
56238.4,22.84,,True,r,AB,0,r,6155.47
56238.4,23.17,,True,g,AB,0,g,4810.16
56239.5,22.58,0.14,False,i,AB,1,i,7503.03
56242.4,22.84,0.18,False,i,AB,1,i,7503.03
56242.4,23.39,0.34,False,r,AB,1,r,6155.47
56251.4,21.74,,True,z,AB,0,z,8668.36
56259.4,22.6,,True,z,AB,0,z,8668.36
56262.4,22.31,0.2,False,z,AB,1,z,8668.36
56268.4,23.81,,True,r,AB,0,r,6155.47
56268.4,24.08,,True,g,AB,0,g,4810.16
56271.4,23.93,,True,g,AB,0,g,4810.16
56271.4,24.05,,True,r,AB,0,r,6155.47
56283.3,23.16,,True,z,AB,0,z,8668.36
56284.3,23.48,0.23,False,i,AB,1,i,7503.03
56289.3,23.16,0.3,False,z,AB,1,z,8668.36
56292.3,22.95,0.29,False,z,AB,1,z,8668.36
56293.3,23.11,,True,i,AB,0,i,7503.03
56299.3,23.66,,True,i,AB,0,i,7503.03
56300.3,23.13,0.26,False,z,AB,1,z,8668.36
56302.3,23.74,,True,i,AB,0,i,7503.03
56302.3,23.94,,True,r,AB,0,r,6155.47
56303.3,22.37,,True,z,AB,0,z,8668.36
56308.2,23.22,0.33,False,z,AB,1,z,8668.36
56309.2,23.57,,True,g,AB,0,g,4810.16
56309.3,23.44,,True,r,AB,0,r,6155.47
56310.3,23.97,0.28,False,i,AB,1,i,7503.03
56311.3,22.75,,True,z,AB,0,z,8668.36
56314.2,22.81,,True,i,AB,0,i,7503.03
56315.3,22.58,,True,z,AB,0,z,8668.36
56344.2,22.23,,True,r,AB,0,r,6155.47
56351.2,23.01,,True,z,AB,0,z,8668.36
56353.2,21.76,,True,z,AB,0,z,8668.36
