mjd,mag,mag_err,UL,filter,detected
56142.6,22.28,,True,y,0
56143.6,21.92,,True,y,0
56144.6,22.88,,True,z,0
56155.6,23.19,,True,z,0
56155.6,24.28,,True,g,0
56156.6,23.66,,True,i,0
56157.6,21.45,,True,y,0
56157.6,22.82,,True,z,0
56160.6,23.44,,True,z,0
56161.6,24.16,,True,r,0
56161.6,24.29,,True,g,0
56163.6,23.32,,True,z,0
56164.6,20.25,,True,y,0
56165.6,23.3,,True,z,0
56166.6,23.65,,True,i,0
56170.6,22.22,,True,y,0
56170.6,23.04,,True,z,0
56171.6,22.08,,True,y,0
56172.6,22.14,,True,y,0
56196.6,23.48,,True,z,0
56197.5,22.76,,True,y,0
56198.5,21.62,,True,y,0
56205.6,22.63,0.2,False,z,1
56206.6,22.3,0.12,False,r,1
56206.6,22.48,0.14,False,g,1
56207.6,22.32,0.13,False,i,1
56208.6,22.61,0.23,False,z,1
56209.6,22.22,0.09,False,g,1
56209.6,22.4,0.09,False,r,1
56210.5,22.36,0.09,False,i,1
56211.5,22.28,0.18,False,z,1
56213.4,21.95,0.15,False,r,1
56213.4,22.03,0.1,False,i,1
56214.4,22.09,0.11,False,g,1
56214.5,22.03,0.16,False,z,1
56215.5,22.08,0.09,False,i,1
56216.6,22.32,0.22,False,z,1
56217.5,21.85,0.07,False,g,1
56217.5,21.91,0.07,False,r,1
56218.5,21.99,0.07,False,i,1
56219.5,22.12,0.11,False,z,1
56220.5,21.88,0.09,False,r,1
56220.5,22.11,0.12,False,g,1
56221.5,22.0,0.07,False,i,1
56222.5,21.88,0.09,False,z,1
56223.4,21.63,0.26,False,y,1
56224.5,21.91,0.27,False,y,1
56224.5,22.04,0.23,False,z,1
56225.5,22.16,0.2,False,i,1
56226.5,22.02,0.12,False,z,1
56232.5,21.67,0.12,False,z,1
56233.5,21.64,0.06,False,i,1
56234.4,21.76,0.11,False,z,1
56235.5,21.52,0.06,False,r,1
56235.5,21.76,0.08,False,g,1
56236.4,21.67,0.05,False,i,1
56237.5,21.67,0.12,False,z,1
56238.3,21.56,0.11,False,g,1
56238.4,21.52,0.07,False,r,1
56239.5,21.55,0.07,False,i,1
56241.4,21.42,0.1,False,r,1
56241.4,21.73,0.12,False,g,1
56242.4,21.56,0.08,False,i,1
56242.4,21.62,0.08,False,r,1
56251.4,21.6,0.14,False,z,1
56260.4,21.26,0.25,False,y,1
56262.3,21.86,0.18,False,z,1
56262.3,21.97,,True,y,0
56268.3,21.77,0.05,False,r,1
56268.3,22.38,0.12,False,g,1
56269.3,21.58,0.32,False,y,1
56270.3,20.93,0.27,False,y,1
56270.3,21.71,0.14,False,z,1
56271.3,22.17,0.08,False,g,1
56271.4,21.81,0.07,False,r,1
56272.4,20.86,,True,y,0
56272.4,21.74,0.26,False,i,1
56273.4,21.58,0.11,False,z,1
56275.3,21.51,,True,z,0
56276.3,21.01,,True,y,0
56287.4,20.88,,True,y,0
56288.4,21.91,,True,y,0
56289.3,21.72,0.09,False,z,1
56289.4,21.64,0.25,False,y,1
56290.3,21.96,0.29,False,y,1
56291.3,21.44,0.19,False,y,1
56292.3,21.73,0.1,False,z,1
56293.3,21.63,0.15,False,i,1
56293.4,20.63,,True,y,0
56294.3,21.94,0.21,False,z,1
56299.3,21.82,0.09,False,i,1
56300.2,21.94,0.1,False,z,1
56302.3,21.79,0.06,False,i,1
56302.3,21.95,0.08,False,r,1
56303.2,22.87,0.33,False,g,1
56303.3,21.8,0.14,False,z,1
56308.3,21.79,0.12,False,z,1
56314.3,21.89,0.11,False,i,1
56315.3,21.7,0.13,False,z,1
56325.2,21.3,0.2,False,y,1
56327.2,22.14,0.26,False,z,1
56327.3,20.51,,True,y,0
56335.2,21.92,0.11,False,z,1
