mjd,mag,mag_err,UL,filter,System,detected
55945.5,26.2759,1.543,False,i,AB,1
55949.6,25.0733,2.494,False,z,AB,1
55950.6,26.7589,3.832,False,i,AB,1
55952.6,25.0956,0.856,False,r,AB,1
55955.6,28.2328,20.662,False,g,AB,1
55956.4,25.3939,1.306,False,i,AB,1
55957.5,25.2233,1.059,False,z,AB,1
55960.5,27.1109,5.284,False,i,AB,1
55961.3,27.0903,8.409,False,z,AB,1
55970.5,23.9788,0.476,False,g,AB,1
55971.6,25.0959,1.178,False,i,AB,1
55972.6,24.3463,0.581,False,z,AB,1
55973.5,24.6828,0.644,False,g,AB,1
55973.5,25.6496,1.854,False,r,AB,1
55977.5,24.9769,1.266,False,i,AB,1
55983.3,24.0733,1.093,False,z,AB,1
55985.4,25.3819,0.545,False,i,AB,1
55999.3,23.6273,0.681,False,z,AB,1
56000.5,28.1768,21.049,False,g,AB,1
56001.5,26.6349,5.128,False,i,AB,1
56005.3,25.1143,1.604,False,z,AB,1
56007.3,26.4869,5.117,False,i,AB,1
56010.3,23.5533,0.416,False,z,AB,1
56013.3,23.3743,0.421,False,z,AB,1
56014.3,22.2868,0.088,False,g,AB,1
56014.3,22.6296,0.11,False,r,AB,1
56015.3,22.6939,0.101,False,i,AB,1
56016.3,22.9673,0.318,False,z,AB,1
56027.4,22.1489,0.064,False,i,AB,1
56028.3,22.2983,0.1,False,z,AB,1
56029.4,21.9468,0.052,False,g,AB,1
56029.4,22.0386,0.083,False,r,AB,1
56030.3,22.1829,0.04,False,i,AB,1
56031.3,22.2103,0.062,False,z,AB,1
56032.4,22.0756,0.07,False,r,AB,1
56032.4,22.0918,0.071,False,g,AB,1
56033.3,22.2189,0.056,False,i,AB,1
56037.3,22.3483,0.133,False,z,AB,1
56038.3,22.2559,0.079,False,i,AB,1
56039.3,22.3153,0.157,False,z,AB,1
56040.3,22.2376,0.076,False,r,AB,1
56040.3,22.3288,0.067,False,g,AB,1
56041.3,22.2289,0.08,False,i,AB,1
56042.3,22.5453,0.127,False,z,AB,1
56043.3,22.3926,0.073,False,r,AB,1
56043.3,22.7038,0.107,False,g,AB,1
56044.3,22.4699,0.077,False,i,AB,1
56045.3,22.5593,0.145,False,z,AB,1
