mjd,mag,mag_err,UL,filter,detected
56262.6,22.61,,True,z,0
56313.6,23.75,,True,z,0
56324.6,23.22,,True,z,0
56325.5,23.2,,True,g,0
56325.6,23.18,0.27,False,r,1
56326.5,23.49,0.18,False,i,1
56328.5,22.83,0.19,False,r,1
56328.5,23.78,,True,g,0
56331.6,22.84,0.12,False,r,1
56331.6,23.7,0.35,False,g,1
56333.4,23.44,0.13,False,g,1
56333.5,23.03,0.2,False,z,1
56335.5,23.02,0.21,False,z,1
56336.5,22.54,0.1,False,r,1
56336.5,23.72,0.32,False,g,1
56337.5,22.93,0.14,False,i,1
56338.5,23.3,,True,z,0
56344.5,23.09,,True,i,0
56351.4,22.55,0.16,False,z,1
56352.5,22.39,0.14,False,i,1
56353.3,22.47,0.19,False,z,1
56354.4,23.17,0.26,False,g,1
56354.5,22.11,0.09,False,r,1
56355.5,22.29,0.13,False,i,1
56356.4,22.2,0.11,False,z,1
56357.4,22.2,0.05,False,r,1
56357.4,22.72,0.1,False,g,1
56358.3,22.32,0.11,False,i,1
56359.4,22.08,0.15,False,z,1
56360.3,22.18,0.09,False,r,1
56360.3,22.82,0.12,False,g,1
56363.3,22.27,0.1,False,i,1
56369.3,22.22,0.26,False,i,1
56370.3,22.07,0.08,False,z,1
56381.4,21.67,,True,z,0
56383.3,22.02,0.11,False,z,1
56384.3,21.89,0.06,False,r,1
56384.3,22.82,0.15,False,g,1
56385.4,21.81,0.05,False,i,1
56387.4,21.91,0.08,False,r,1
56387.4,22.87,0.15,False,g,1
56388.3,21.75,0.07,False,i,1
56389.4,21.9,0.1,False,z,1
56391.3,21.79,0.04,False,r,1
56391.3,21.84,0.07,False,i,1
56392.3,21.81,0.08,False,z,1
56393.4,21.65,0.04,False,i,1
56395.3,21.96,0.06,False,r,1
56395.3,22.61,0.1,False,g,1
56396.4,21.77,0.07,False,i,1
56397.3,21.72,0.13,False,z,1
56399.3,21.72,0.06,False,i,1
56400.3,21.76,0.11,False,z,1
56410.3,21.73,0.08,False,z,1
56411.4,21.66,0.16,False,i,1
56414.3,21.82,0.05,False,i,1
56415.3,21.75,0.08,False,z,1
56416.3,22.2,0.09,False,r,1
56416.3,22.87,0.16,False,g,1
56417.3,21.75,0.04,False,i,1
56422.3,21.78,0.04,False,i,1
56423.3,21.74,0.09,False,z,1
56618.6,23.47,,True,z,0
56624.6,23.4,,True,z,0
56625.6,23.48,,True,g,0
56625.6,24.13,,True,r,0
56629.6,24.2,,True,z,0
56630.6,23.94,,True,g,0
56630.6,24.5,,True,r,0
56631.6,24.46,,True,i,0
56632.6,23.65,,True,z,0
56636.6,23.79,,True,g,0
56636.6,24.14,,True,r,0
56637.6,23.67,,True,z,0
56638.6,24.38,,True,i,0
56643.6,23.45,,True,z,0
56656.6,23.98,,True,i,0
56657.6,23.5,,True,z,0
56657.6,23.65,,True,g,0
56658.5,24.15,,True,i,0
56659.6,23.08,,True,z,0
56661.6,24.06,,True,i,0
56662.6,23.46,,True,z,0
56666.6,23.54,,True,r,0
56666.6,23.72,,True,g,0
56667.7,23.14,,True,z,0
56668.5,24.03,,True,i,0
56681.5,23.6,,True,z,0
56682.5,24.18,,True,g,0
56682.6,23.94,,True,r,0
56683.6,24.23,,True,i,0
56709.3,23.34,,True,g,0
56709.4,23.24,,True,r,0
56754.3,21.96,,True,z,0
