mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
56618.6,23.53,0.53,False,z,AB,1,z,8922.78
56629.6,22.69,0.27,False,z,AB,1,z,8922.78
56632.6,22.78,0.25,False,z,AB,1,z,8922.78
56636.6,23.25,0.32,False,r,AB,1,r,6141.12
56637.6,23.03,0.44,False,z,AB,1,z,8922.78
56656.6,22.7,0.17,False,i,AB,1,i,7457.89
56661.6,22.52,0.11,False,i,AB,1,i,7457.89
56662.6,22.17,0.21,False,z,AB,1,z,8922.78
56666.6,22.83,0.26,False,r,AB,1,r,6141.12
56667.7,22.08,0.21,False,z,AB,1,z,8922.78
56668.5,22.42,0.21,False,i,AB,1,i,7457.89
56681.5,22.24,0.19,False,z,AB,1,z,8922.78
56682.6,22.39,0.11,False,r,AB,1,r,6141.12
56683.6,22.01,0.08,False,i,AB,1,i,7457.89
56709.3,22.7,0.4,False,g,AB,1,g,4671.78
56744.3,21.35,0.02,False,i,AB,1,i,7457.89
56744.3,21.58,0.02,False,r,AB,1,r,6141.12
56751.2,21.34,0.02,False,i,AB,1,i,7457.89
56751.2,21.5,0.03,False,r,AB,1,r,6141.12
56751.2,22.34,0.06,False,g,AB,1,g,4671.78
56757.0,21.56,0.1,False,J,AB,1,J,12399.85
56774.3,21.35,0.02,False,i,AB,1,i,7457.89
56774.3,21.5,0.02,False,r,AB,1,r,6141.12
56774.3,21.71,0.04,False,z,AB,1,z,8922.78
56774.3,22.43,0.03,False,g,AB,1,g,4671.78
56775.3,21.54,0.03,False,r,AB,1,r,6141.12
56775.3,21.28,0.02,False,i,AB,1,i,7457.89
56775.3,22.59,0.03,False,g,AB,1,g,4671.78
56775.3,21.78,0.05,False,z,AB,1,z,8922.78
56794.2,21.47,0.03,False,r,AB,1,r,6141.12
56807.1,21.48,0.03,False,r,AB,1,r,6141.12
56807.2,21.19,0.02,False,i,AB,1,i,7457.89
56833.0,21.37,0.02,False,i,AB,1,i,7457.89
56833.0,21.53,0.02,False,r,AB,1,r,6141.12
56833.0,21.64,0.06,False,z,AB,1,z,8922.78
56836.0,22.52,0.03,False,g,AB,1,g,4671.78
56952.5,22.14,0.03,False,i,AB,1,i,7457.89
56952.5,22.18,0.03,False,r,AB,1,r,6141.12
56952.5,22.6,0.09,False,z,AB,1,z,8922.78
56952.5,22.97,0.05,False,g,AB,1,g,4671.78
56955.5,22.31,0.06,False,r,AB,1,r,6141.12
56981.4,23.17,0.05,False,g,AB,1,g,4671.78
56981.5,22.37,0.05,False,i,AB,1,i,7457.89
56981.5,22.52,0.04,False,r,AB,1,r,6141.12
56993.4,22.35,0.05,False,i,AB,1,i,7457.89
56993.4,22.57,0.04,False,r,AB,1,r,6141.12
56993.5,23.29,0.05,False,g,AB,1,g,4671.78
57007.3,22.47,0.03,False,i,AB,1,i,7457.89
57007.3,22.6,0.05,False,r,AB,1,r,6141.12
57009.3,22.99,0.1,False,z,AB,1,z,8922.78
57038.2,22.74,0.04,False,r,AB,1,r,6141.12
57038.2,23.45,0.06,False,g,AB,1,g,4671.78
57038.3,22.79,0.04,False,i,AB,1,i,7457.89
57039.3,23.16,0.11,False,z,AB,1,z,8922.78
57071.9,22.89,0.06,False,r,AB,1,r,6141.12
57071.9,22.85,0.08,False,i,AB,1,i,7457.89
57071.9,23.66,0.08,False,g,AB,1,g,4671.78
57071.9,23.26,0.13,False,z,AB,1,z,8922.78
57109.3,22.92,0.06,False,i,AB,1,i,7457.89
57109.3,23.08,0.05,False,r,AB,1,r,6141.12
57109.3,24.16,0.15,False,g,AB,1,g,4671.78
57111.1,23.24,0.15,False,J,AB,1,J,12399.85
57129.1,23.05,0.05,False,i,AB,1,i,7457.89
57131.2,23.21,0.1,False,i,AB,1,i,7457.89
57135.0,24.0,0.1,False,g,AB,1,g,4671.78
57135.1,23.23,0.1,False,r,AB,1,r,6141.12
57135.1,24.0,0.24,False,z,AB,1,z,8922.78
57135.1,23.16,0.08,False,i,AB,1,i,7457.89
57157.0,23.31,0.06,False,r,AB,1,r,6141.12
57157.0,23.41,0.1,False,i,AB,1,i,7457.89
57157.0,24.16,0.27,False,z,AB,1,z,8922.78
57158.0,24.06,0.11,False,g,AB,1,g,4671.78
57371.3,24.24,0.15,False,i,AB,1,i,7457.89
57371.4,24.72,0.2,False,r,AB,1,r,6141.12
57396.3,24.12,0.12,False,i,AB,1,i,7457.89
57396.3,24.45,0.14,False,r,AB,1,r,6141.12
57431.2,24.48,0.2,False,i,AB,1,i,7457.89
57431.2,24.53,0.17,False,r,AB,1,r,6141.12
