mjd,mag,mag_err,UL,filter,System,detected
57252.3,21.4,0.02,False,g,AB,1
57252.31,21.6514,0.04,False,r,AB,1
57252.31,21.911,0.06,False,i,AB,1
57252.31,22.0059,0.09,False,z,AB,1
57256.29,21.4614,0.04,False,r,AB,1
57256.29,21.6,0.04,False,g,AB,1
57256.3,21.641,0.05,False,i,AB,1
57256.3,21.8859,0.09,False,z,AB,1
57265.29,21.1814,0.06,False,r,AB,1
57265.29,21.441,0.06,False,i,AB,1
57265.29,21.51,0.12,False,g,AB,1
57265.29,21.5759,0.05,False,z,AB,1
57276.31,20.831,0.02,False,i,AB,1
57276.31,20.98,0.13,False,g,AB,1
57276.31,20.6614,0.02,False,r,AB,1
57276.32,20.8259,0.03,False,z,AB,1
57277.31,20.6714,0.01,False,r,AB,1
57277.31,20.72,0.01,False,g,AB,1
57277.31,20.761,0.02,False,i,AB,1
57277.32,20.8459,0.02,False,z,AB,1
57284.32,20.32,0.01,False,g,AB,1
57284.33,20.401,0.02,False,i,AB,1
57284.33,20.4659,0.02,False,z,AB,1
57284.33,20.2914,0.01,False,r,AB,1
57288.2,20.3559,0.02,False,z,AB,1
57288.2,20.1514,0.02,False,r,AB,1
57288.2,20.331,0.02,False,i,AB,1
57291.22,20.0514,0.02,False,r,AB,1
57291.22,20.09,0.03,False,g,AB,1
57291.23,20.221,0.02,False,i,AB,1
57291.23,20.2659,0.02,False,z,AB,1
57299.22,19.9014,0.02,False,r,AB,1
57299.22,19.94,0.02,False,g,AB,1
57299.22,20.031,0.03,False,i,AB,1
57299.23,20.0759,0.04,False,z,AB,1
57303.17,19.931,0.01,False,i,AB,1
57303.17,20.0059,0.02,False,z,AB,1
57303.17,19.8314,0.01,False,r,AB,1
57303.17,19.87,0.01,False,g,AB,1
57304.21,19.84,0.01,False,g,AB,1
57304.21,19.8114,0.01,False,r,AB,1
57304.21,19.9759,0.02,False,z,AB,1
57304.21,19.921,0.01,False,i,AB,1
57308.420577,19.7886,0.0658,False,w,AB,1
57308.434717,19.8201,0.0555,False,w,AB,1
57308.44882,19.7797,0.0488,False,w,AB,1
57308.462948,19.7695,0.0416,False,w,AB,1
57310.467882,19.7313,0.0285,False,w,AB,1
57310.482023,19.6722,0.026,False,w,AB,1
57310.496134,19.7263,0.0259,False,w,AB,1
57310.510263,19.7533,0.0391,False,w,AB,1
57311.29,19.76,0.01,False,g,AB,1
57311.3,19.8659,0.01,False,z,AB,1
57311.3,19.7214,0.01,False,r,AB,1
57311.3,19.841,0.01,False,i,AB,1
57315.21,19.6914,0.01,False,r,AB,1
57315.21,19.73,0.01,False,g,AB,1
57315.21,19.791,0.01,False,i,AB,1
57315.21,19.8459,0.01,False,z,AB,1
57319.13,19.6614,0.01,False,r,AB,1
57319.14,19.761,0.01,False,i,AB,1
57319.14,19.8259,0.01,False,z,AB,1
57325.11,19.6614,0.02,False,r,AB,1
57325.11,19.761,0.02,False,i,AB,1
57325.11,19.79,0.02,False,g,AB,1
57325.11,19.7959,0.01,False,z,AB,1
57329.17,19.6814,0.01,False,r,AB,1
57329.17,19.771,0.01,False,i,AB,1
57329.17,19.81,0.01,False,g,AB,1
57329.18,19.7859,0.01,False,z,AB,1
57334.401586,19.8431,0.0946,False,w,AB,1
57334.413966,19.804,0.1089,False,w,AB,1
57334.426337,19.8418,0.0822,False,w,AB,1
57334.43871,19.7663,0.1021,False,w,AB,1
57339.12,19.8014,0.01,False,r,AB,1
57339.12,19.831,0.01,False,i,AB,1
57339.12,20.07,0.01,False,g,AB,1
57339.13,19.8559,0.01,False,z,AB,1
57345.23,19.8714,0.01,False,r,AB,1
57345.23,19.901,0.01,False,i,AB,1
57345.23,20.27,0.01,False,g,AB,1
57345.24,19.8759,0.01,False,z,AB,1
57355.21,19.991,0.01,False,i,AB,1
57355.21,20.0314,0.01,False,r,AB,1
57355.21,20.59,0.02,False,g,AB,1
57355.22,19.9859,0.01,False,z,AB,1
57365.11,20.231,0.01,False,i,AB,1
57365.11,20.3914,0.01,False,r,AB,1
57365.11,21.31,0.02,False,g,AB,1
57365.12,20.2159,0.01,False,z,AB,1
57372.1,20.501,0.01,False,i,AB,1
57372.1,20.7214,0.01,False,r,AB,1
57372.1,21.9,0.04,False,g,AB,1
57372.11,20.4259,0.01,False,z,AB,1
57385.06,22.79,0.06,False,g,AB,1
57385.07,20.9459,0.02,False,z,AB,1
57385.07,21.041,0.02,False,i,AB,1
57385.07,21.3914,0.02,False,r,AB,1
57389.11,21.241,0.03,False,i,AB,1
57389.11,21.5914,0.03,False,r,AB,1
57389.11,23.02,0.09,False,g,AB,1
57389.12,21.0959,0.03,False,z,AB,1
57396.1,21.2859,0.04,False,z,AB,1
57396.1,21.491,0.04,False,i,AB,1
57396.1,21.9314,0.04,False,r,AB,1
57396.1,23.88,0.19,False,g,AB,1
57403.1,22.3114,0.07,False,r,AB,1
57403.1,21.6459,0.05,False,z,AB,1
57403.1,21.751,0.05,False,i,AB,1
57403.1,23.64,0.24,False,g,AB,1
