mjd,mag,mag_err,UL,filter,detected
55495.481,19.88,0.23,False,r,1
55495.506,19.96,0.16,False,r,1
55495.53,19.96,0.18,False,r,1
55497.524,19.87,0.19,False,r,1
55503.502,19.6,0.11,False,r,1
55503.546,19.68,0.14,False,r,1
55504.434,19.54,0.09,False,r,1
55504.44,19.47,0.08,False,r,1
55504.447,19.64,0.09,False,r,1
55505.396,19.7,0.11,False,i,1
55505.398,19.62,0.11,False,i,1
55505.401,19.19,0.07,False,g,1
55505.404,19.32,0.08,False,g,1
55505.531,19.76,0.11,False,r,1
55506.501,19.69,0.13,False,r,1
55506.545,19.51,0.13,False,r,1
55507.498,19.82,0.15,False,r,1
55507.544,19.78,0.14,False,r,1
55508.02,21.1,0.16,False,UVM2,1
55508.027,20.24,0.13,False,UVW1,1
55508.032,18.95,0.11,False,U,1
55508.034,20.95,0.17,False,UVW2,1
55513.375,20.38,0.27,False,i,1
55513.377,20.26,0.25,False,r,1
55513.377,20.37,0.24,False,r,1
55513.421,20.02,0.16,False,r,1
55514.418,20.21,0.25,False,r,1
55515.37,20.11,0.15,False,i,1
55515.371,20.74,0.32,False,r,1
55515.373,20.55,0.16,False,r,1
55515.376,20.02,0.11,False,g,1
55515.415,20.15,0.16,False,r,1
55516.365,20.24,0.14,False,i,1
55516.368,20.26,0.15,False,r,1
55516.378,19.93,0.18,False,r,1
55516.424,20.35,0.16,False,r,1
55517.376,20.17,0.25,False,r,1
55517.42,20.62,0.27,False,r,1
55518.364,20.57,0.24,False,g,1
55518.402,20.54,0.26,False,r,1
55518.446,20.32,0.2,False,r,1
55519.451,20.14,0.36,False,r,1
55530.34,21.33,0.31,False,g,1
55532.324,21.03,0.25,False,i,1
55532.326,21.28,0.22,False,r,1
55532.333,21.86,0.22,False,g,1
55532.508,21.44,0.29,False,r,1
55534.353,20.71,0.17,False,i,1
55535.315,20.49,0.33,False,i,1
55535.318,21.55,0.24,False,r,1
55535.394,21.37,0.33,False,r,1
55538.307,21.58,0.24,False,i,1
55538.309,21.86,0.23,False,r,1
55538.316,22.5,0.26,False,g,1
55538.433,21.4,0.27,False,r,1
55539.304,21.32,0.22,False,i,1
55539.306,22.11,0.25,False,r,1
55543.493,21.29,0.26,False,r,1
55624.0,23.65,0.3,False,r,1
