mjd,mag,mag_err,UL,filter,detected
55227.463,18.52,0.09,False,r,1
55227.507,18.49,0.08,False,r,1
55242.264,18.74,0.06,False,g,1
55242.266,18.69,0.06,False,r,1
55242.267,18.9,0.08,False,i,1
55244.452,18.73,0.07,False,r,1
55244.496,18.8,0.07,False,r,1
55250.437,19.15,0.09,False,g,1
55250.438,18.88,0.08,False,r,1
55250.44,18.88,0.08,False,i,1
55250.442,19.7,0.17,False,u,1
55251.464,18.87,0.07,False,r,1
55251.51,18.87,0.11,False,r,1
55259.24,19.02,0.12,False,r,1
55260.407,19.24,0.08,False,r,1
55260.451,19.05,0.08,False,r,1
55260.539,19.54,0.16,False,g,1
55260.54,19.13,0.09,False,r,1
55260.542,18.98,0.08,False,i,1
55260.545,20.12,0.27,False,u,1
55266.465,19.38,0.09,False,r,1
55266.511,19.36,0.1,False,r,1
55266.534,20.22,0.14,False,g,1
55266.536,19.42,0.09,False,r,1
55266.538,19.35,0.09,False,i,1
55266.541,20.66,0.3,False,u,1
55268.376,19.51,0.08,False,r,1
55268.42,19.47,0.09,False,r,1
55270.268,19.59,0.14,False,r,1
55270.311,19.51,0.1,False,r,1
55271.226,20.62,0.19,False,g,1
55271.229,19.64,0.13,False,r,1
55271.23,19.85,0.17,False,i,1
55272.255,19.75,0.11,False,r,1
55272.298,19.75,0.1,False,r,1
55272.481,20.65,0.15,False,g,1
55272.484,19.82,0.1,False,r,1
55272.486,19.64,0.11,False,i,1
55274.38,19.9,0.12,False,r,1
55274.424,19.81,0.12,False,r,1
55276.422,20.1,0.13,False,r,1
55276.483,19.77,0.28,False,r,1
55279.162,20.42,0.31,False,r,1
55279.206,20.27,0.23,False,r,1
55282.335,21.37,0.21,False,g,1
55282.336,20.48,0.16,False,r,1
55283.303,20.38,0.29,False,r,1
55292.501,21.01,0.36,False,r,1
55292.502,20.97,0.34,False,r,1
55295.494,20.88,0.21,False,i,1
55296.146,21.2,0.26,False,r,1
55296.189,21.47,0.25,False,r,1
55296.452,21.47,0.31,False,r,1
55297.237,21.15,0.22,False,r,1
55297.321,22.46,0.35,False,g,1
55297.33,21.17,0.19,False,r,1
55302.474,21.92,0.3,False,g,1
55302.483,20.76,0.22,False,r,1
55302.485,20.89,0.22,False,i,1
55303.333,21.33,0.17,False,r,1
55303.335,21.25,0.27,False,i,1
