mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55267.413,19.79,0.14,False,r,AB,1,r,6141.12
55267.456,19.7,0.12,False,r,AB,1,r,6141.12
55384.2,18.54,0.07,False,r,AB,1,r,6141.12
55384.245,18.52,0.07,False,r,AB,1,r,6141.12
55391.275,18.72,0.15,False,i,AB,1,i,7457.89
55391.277,18.67,0.08,False,r,AB,1,r,6141.12
55392.213,18.63,0.14,False,i,AB,1,i,7457.89
55392.215,18.69,0.08,False,r,AB,1,r,6141.12
55392.217,19.12,0.19,False,B,AB,1,B,4369.53
55392.22,19.4,0.1,False,g,AB,1,g,4671.78
55404.163,18.99,0.23,False,i,AB,1,i,7457.89
55404.165,19.15,0.12,False,r,AB,1,r,6141.12
55569.533,20.09,0.35,False,i,AB,1,i,7457.89
55569.535,20.99,0.26,False,r,AB,1,r,6141.12
55571.53,20.76,0.26,False,r,AB,1,r,6141.12
55571.542,21.43,0.34,False,g,AB,1,g,4671.78
55573.525,20.82,0.25,False,r,AB,1,r,6141.12
55573.537,21.53,0.32,False,g,AB,1,g,4671.78
55577.547,21.1,0.28,False,r,AB,1,r,6141.12
55577.551,21.35,0.27,False,g,AB,1,g,4671.78
55585.491,20.08,0.34,False,i,AB,1,i,7457.89
55585.502,21.03,0.3,False,r,AB,1,r,6141.12
55591.474,21.22,0.28,False,r,AB,1,r,6141.12
55596.461,21.1,0.27,False,r,AB,1,r,6141.12
55596.474,21.83,0.34,False,g,AB,1,g,4671.78
55599.499,21.93,0.35,False,g,AB,1,g,4671.78
55604.44,21.31,0.29,False,r,AB,1,r,6141.12
55605.438,21.22,0.32,False,r,AB,1,r,6141.12
55605.451,21.78,0.34,False,g,AB,1,g,4671.78
55614.507,21.21,0.35,False,r,AB,1,r,6141.12
55621.393,21.14,0.25,False,r,AB,1,r,6141.12
55621.416,21.54,0.27,False,g,AB,1,g,4671.78
55622.389,21.31,0.3,False,r,AB,1,r,6141.12
55622.402,21.83,0.34,False,g,AB,1,g,4671.78
55629.383,21.16,0.33,False,r,AB,1,r,6141.12
55630.368,21.07,0.26,False,r,AB,1,r,6141.12
55631.38,21.8,0.34,False,g,AB,1,g,4671.78
55632.363,21.22,0.33,False,r,AB,1,r,6141.12
55649.35,21.27,0.26,False,r,AB,1,r,6141.12
55656.296,20.24,0.35,False,i,AB,1,i,7457.89
55656.312,21.65,0.35,False,r,AB,1,r,6141.12
56188.5,25.25,0.15,False,F625W,AB,1,F625W,6266.2
